AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,RegularEducationStudent,SpecialEducationStudent,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
100510000,1832.07,6335.23,12799.28,112816.00,1432237.00,4082478.00,11606598.00,21439170.00,0.745,355090.00,0.00,0.00,,,381803.00,11374694.00,23449198.00,23253210.00
101260303,3442.27,8310.53,14712.43,6350.75,2505526.49,4639107.00,28607076.28,12797079.96,0.7305,901232.46,158846.15,4370749.65,9437.11,20719.22,37562154.42,16758735.42,50644144.56,53023607.02
101260803,1717.60,9569.90,21427.10,185195.00,1212745.95,1149978.00,16437217.14,6816893.67,0.7637,488317.30,10018804.56,11879858.01,9141.04,24946.88,19276374.70,7812507.94,36803095.39,37324818.88
101261302,4592.18,8873.55,15351.62,0.00,2677119.02,4823013.00,40748890.78,19951410.59,0.715,1048082.65,222991.26,7712316.86,9056.43,20219.41,53958605.01,20988048.74,70497339.03,76810125.88
101262507,304.89,14543.41,23041.80,0.00,1260715.01,0.00,4434182.54,4374710.56,0.6756,18411.47,32251.26,399997.85,,,1357607.01,2172692.18,7025284.04,7025283.84
101262903,1206.91,8890.25,15136.72,0.00,419517.70,1688426.00,10729705.47,5903271.78,0.6873,382302.86,793849.00,1882361.52,9027.45,19519.06,12034654.81,5274245.55,18268615.40,19151293.29
101264003,3037.38,9425.76,15749.43,0.00,1410854.49,2463901.00,28629615.65,21656703.57,0.6258,687982.11,0.00,4787105.31,10230.90,23364.97,25793322.63,13732295.20,47836998.27,48860880.69
101266007,384.91,7273.66,10182.13,0.00,100385.00,0.00,2799682.05,2791092.33,0.715,41896.59,0.00,0.00,,,1027694.57,1077593.26,3919171.90,3919171.90
101268003,2854.80,9629.65,16510.06,0.00,2270817.97,4977770.00,27490697.38,16109435.90,0.6105,579523.87,835.00,5346411.49,9923.96,20861.13,27019035.52,13716244.40,47132877.14,45400124.39
101301303,1106.54,8349.40,14736.51,28500.00,443787.35,4365261.00,9238974.85,4830446.65,0.7482,561677.79,0.00,1889496.04,8932.28,18558.60,11528937.67,4587946.59,16306595.27,16803171.67
101301403,1820.12,10238.74,18855.76,0.00,1110417.90,3642062.00,18635784.89,17990505.71,0.5015,746641.09,500000.00,4171430.93,11181.51,25961.13,14957637.83,10765966.90,34319823.81,34558561.44
101302607,158.19,14368.63,21968.92,0.00,478987.00,5000.00,2272944.92,2468746.85,0.5397,34795.75,0.00,0.00,,,599172.97,1167478.95,3475219.62,3546906.82
101303503,798.39,10880.53,18776.35,0.00,394661.80,1795332.00,8686908.04,5033076.85,0.6794,385651.65,0.00,901223.50,11767.15,24631.11,8948423.35,5017064.07,14990847.26,14376162.00
101306503,620.3,9663.06,17648.77,0.00,230301.23,2565467.00,5994007.38,3183204.17,0.6948,312377.06,100000.00,500000.00,11000.36,25274.15,7866018.97,4141163.03,10947547.47,11379524.37
101308503,711.04,13382.59,24769.24,0.00,432209.37,9316985.00,9515514.27,12459019.92,0.2425,396082.74,0.00,2883501.78,15479.61,32680.19,6418524.97,4816748.88,17611847.67,19309754.26
101630504,565.23,10094.58,18082.25,0.00,193839.66,2621261.00,5705788.05,3507867.06,0.4941,383002.75,134424.60,882212.05,12605.37,23804.76,6431737.73,3249680.88,10220683.73,10267869.05
101630903,1102.69,8759.33,16039.23,86327.48,371312.36,1966185.00,9658788.15,6987036.17,0.6298,470226.61,0.00,2186580.52,9475.93,20938.14,10337952.47,5284316.38,17686239.14,17696301.00
101631003,1250.11,9698.42,15415.71,0.00,432135.39,1061387.00,12124057.56,4966706.28,0.7154,409716.41,0.00,285359.43,9344.73,21163.43,13633434.89,6452140.78,19271274.18,19032276.56
101631203,1215.84,9168.69,16884.76,3500.00,302633.31,-1174520.00,11147673.91,8189032.40,0.6101,389177.64,0.00,3239340.39,10278.71,21197.77,10768155.57,5749489.56,20529181.50,19259821.28
101631503,949.89,8538.03,14168.55,4700.00,222167.18,1323066.00,8110196.54,4852562.33,0.6471,397867.07,0.00,674637.28,10173.21,20392.27,9624100.47,4271174.59,13458575.48,14698829.98
101631703,5377.63,7416.55,14814.51,1042746.97,515737.62,9012613.00,39883473.70,57121994.56,0.4234,1724049.57,14250.70,11941631.46,8865.84,18939.33,22843229.51,25075054.80,79666956.50,80495212.39
101631803,1606.57,8424.36,14646.05,0.00,727079.00,-93488.00,13534284.10,8942340.00,0.7229,466860.44,0.00,2892146.74,8871.10,19517.83,13718097.00,6636558.87,23529850.15,23387516.00
101631903,1142.90,7999.66,15446.56,0.00,181674.00,5348432.00,9142824.01,10231243.01,0.528,459541.29,7492.00,1890857.00,10632.76,19642.00,7900559.59,6160683.58,17653905.88,18320968.60
101632403,1039.45,10670.72,17248.56,0.00,212579.92,2970025.00,11091639.22,7582652.87,0.5648,464277.92,0.00,340558.51,12160.48,24133.63,10133714.48,6032470.45,17928946.10,17928947.27
101633903,1693.87,9846.63,18904.41,0.00,378675.01,3049403.00,16678921.53,14009233.99,0.5039,976391.88,220456.10,2918320.65,12360.15,24240.11,16793357.76,11448004.45,32021638.51,31401722.86
101634207,134.61,14140.23,24727.28,0.00,130857.00,331371.00,1903360.39,2581596.59,0.6605,28179.09,8200.00,144536.21,,,655964.66,1252364.83,3328440.52,3376618.25
101636503,4157.37,8768.32,14835.82,0.00,266239.98,10809708.00,36453152.82,46659170.95,0.3361,1561294.79,1323.35,6828357.05,10391.83,19433.90,15002544.60,16835173.91,61677978.57,61929278.88
101637002,2930.65,7911.31,14851.24,0.00,789499.79,5516581.00,23185323.89,21427076.22,0.601,863458.72,8244.62,5584895.39,9337.52,18018.16,22369233.13,13890169.85,43523847.85,44594053.76
101638003,3261.56,9639.07,16533.22,0.00,686383.24,1036340.00,31438421.79,31593717.62,0.4684,1131813.62,0.00,4313198.65,10681.94,23285.77,21913538.57,17040682.83,53924116.89,54193639.43
101638803,1546.14,10105.61,18773.84,0.00,2180446.32,1166261.00,15624677.84,11032857.86,0.639,717942.74,115000.00,5139163.37,10672.28,24486.50,15951067.16,7545176.22,29026960.17,29279371.34
101638907,228.97,14263.26,21814.86,4675.00,881345.63,1614203.00,3265902.13,3480753.29,0.4643,42799.40,0.00,191854.06,,,885321.14,1489783.87,4995014.46,5247420.06
101833400,466.19,8236.69,14466.68,4813.75,201576.52,4519266.00,3839872.41,7690794.50,0.6059,104370.53,2401.00,217212.09,,,56828.59,2577966.84,6744235.62,7951600.61
102020001,610.68,10112.59,17183.39,4093.00,320674.00,4617970.00,6175594.00,10429117.00,0.3391,267831.00,0.00,86515.00,,,131061.00,3959590.00,10493623.00,10880852.00
102020003,111.69,15276.50,25614.59,0.00,412492.00,-46411.00,1706187.00,2527662.00,0.3391,146613.00,0.00,0.00,,,34510.00,1008017.00,2860817.00,2974664.00
102023030,342.03,11566.83,18660.01,562856.00,346294.00,1721812.00,3956193.00,5696846.00,0.3391,359095.00,0.00,0.00,,,43031.00,1504119.00,6382263.00,6086171.00
102023080,325.68,10074.69,17155.33,32206.00,284287.00,1262166.00,3281154.00,5779042.00,0.3391,38720.00,342.00,171977.00,,,39313.00,2063141.00,5587198.00,6102984.00
102023217,161.9,8213.13,18090.91,0.00,110835.00,177371.00,1329714.00,2911753.00,0.3391,31842.00,0.00,0.00,,,0.00,1567381.00,2928937.00,3022588.00
102027451,26583.37,14723.23,24433.44,1498892.03,45172752.66,186981769.00,391392927.76,322380753.31,0.3391,5844867.06,1483924.14,55691394.19,14325.63,32545.70,278486002.63,195094925.61,649523006.65,647523432.74
102027560,66.73,12537.59,33732.80,120165.00,19330.00,217405.00,836571.00,1923932.00,0.3391,0.00,200000.00,145161.00,,,0.00,1148924.00,2250821.00,2143262.00
103020002,557.36,9357.26,18351.44,6091.00,361678.00,1123993.00,5215325.00,9314359.00,0.6056,49400.00,0.00,429200.00,,,126661.00,4528267.00,10228283.00,9802698.00
103020003,394.98,7969.55,13960.76,0.00,255513.00,597437.00,3147846.00,4890598.00,0.7725,28056.00,0.00,500121.00,,,98172.00,1838252.00,5514275.00,5244283.00
103020004,412.67,8467.30,16624.62,0.00,273562.00,466264.00,3494225.00,6022427.00,0.2124,44396.00,0.00,400869.00,,,36085.00,2921042.00,6860532.00,6332074.00
103020005,375.91,8742.39,14989.71,210.00,145665.00,500469.00,3286309.00,5203474.00,0.61,29462.00,0.00,163284.00,,,83700.00,2155442.00,5634707.00,5432839.00
103020368,137.25,8859.64,14259.80,0.00,382022.00,277530.00,1215995.00,1873634.00,0.7725,12451.00,0.00,32954.00,,,8291.00,695772.00,1957172.00,2263947.00
103020407,324.72,13310.41,26348.12,0.00,291578.00,1582571.00,4322169.61,7300334.00,0.3658,302770.43,7891.00,1423545.44,,,1113947.00,2507303.47,8555788.95,8713750.00
