Name,AcademicYearId,AUN,DataElement,DisplayValue
Albert Gallatin Area SD,18,101260303,Instruction," $30,226,754.19 "
Brownsville Area SD,18,101260803,Instruction," $17,254,865.88 "
Connellsville Area SD,18,101261302,Instruction," $42,829,346.07 "
Frazier SD,18,101262903,Instruction," $11,311,846.01 "
Laurel Highlands SD,18,101264003,Instruction," $29,354,038.08 "
Uniontown Area SD,18,101268003,Instruction," $28,132,551.97 "
Carmichaels Area SD,18,101301303,Instruction," $9,524,864.15 "
Central Greene SD,18,101301403,Instruction," $19,554,722.37 "
Jefferson-Morgan SD,18,101303503,Instruction," $8,560,531.50 "
Southeastern Greene SD,18,101306503,Instruction," $6,410,123.25 "
West Greene SD,18,101308503,Instruction," $9,785,573.78 "
Avella Area SD,18,101630504,Instruction," $5,895,338.96 "
Bentworth SD,18,101630903,Instruction," $10,053,100.22 "
Bethlehem-Center SD,18,101631003,Instruction," $13,411,956.78 "
Burgettstown Area SD,18,101631203,Instruction," $11,820,005.29 "
California Area SD,18,101631503,Instruction," $8,557,048.32 "
Canon-McMillan SD,18,101631703,Instruction," $41,726,748.05 "
Charleroi SD,18,101631803,Instruction," $13,424,886.57 "
Chartiers-Houston SD,18,101631903,Instruction," $9,938,021.76 "
Fort Cherry SD,18,101632403,Instruction," $10,402,003.39 "
McGuffey SD,18,101633903,Instruction," $16,359,997.19 "
Peters Township SD,18,101636503,Instruction," $37,939,489.83 "
Ringgold SD,18,101637002,Instruction," $24,196,156.83 "
Trinity Area SD,18,101638003,Instruction," $32,461,172.27 "
Washington SD,18,101638803,Instruction," $15,802,555.56 "
Pittsburgh SD,18,102027451,Instruction," $405,797,021.12 "
Allegheny Valley SD,18,103020603,Instruction," $11,699,062.52 "
Avonworth SD,18,103020753,Instruction," $17,448,719.99 "
Pine-Richland SD,18,103021003,Instruction," $45,647,986.00 "
Baldwin-Whitehall SD,18,103021102,Instruction," $37,057,687.71 "
Bethel Park SD,18,103021252,Instruction," $51,697,051.27 "
Brentwood Borough SD,18,103021453,Instruction," $14,563,236.50 "
Carlynton SD,18,103021603,Instruction," $18,599,100.00 "
Chartiers Valley SD,18,103021752,Instruction," $38,965,212.48 "
Clairton City SD,18,103021903,Instruction," $10,624,446.00 "
Cornell SD,18,103022103,Instruction," $8,691,544.00 "
Deer Lakes SD,18,103022253,Instruction," $19,354,731.42 "
Duquesne City SD,18,103022503,Instruction," $13,329,620.62 "
East Allegheny SD,18,103022803,Instruction," $20,303,433.20 "
Elizabeth Forward SD,18,103023153,Instruction," $23,577,227.02 "
Fox Chapel Area SD,18,103023912,Instruction," $60,152,608.47 "
Gateway SD,18,103024102,Instruction," $45,439,354.14 "
Hampton Township SD,18,103024603,Instruction," $28,685,265.83 "
Highlands SD,18,103024753,Instruction," $28,012,231.06 "
Keystone Oaks SD,18,103025002,Instruction," $23,296,744.59 "
McKeesport Area SD,18,103026002,Instruction," $39,158,649.00 "
Montour SD,18,103026303,Instruction," $34,829,279.44 "
Moon Area SD,18,103026343,Instruction," $43,594,138.99 "
Mt Lebanon SD,18,103026402,Instruction," $57,263,561.66 "
North Allegheny SD,18,103026852,Instruction," $96,260,657.00 "
Northgate SD,18,103026873,Instruction," $14,471,319.00 "
North Hills SD,18,103026902,Instruction," $47,111,389.53 "
Penn Hills SD,18,103027352,Instruction," $54,236,594.17 "
Plum Borough SD,18,103027503,Instruction," $39,546,685.75 "
Quaker Valley SD,18,103027753,Instruction," $24,186,734.00 "
Riverview SD,18,103028203,Instruction," $12,213,174.87 "
Shaler Area SD,18,103028302,Instruction," $47,755,050.75 "
South Allegheny SD,18,103028653,Instruction," $15,949,010.91 "
South Fayette Township SD,18,103028703,Instruction," $25,914,983.40 "
South Park SD,18,103028753,Instruction," $17,326,421.67 "
Steel Valley SD,18,103028833,Instruction," $23,656,212.87 "
Sto-Rox SD,18,103028853,Instruction," $17,311,552.52 "
Upper Saint Clair SD,18,103029203,Instruction," $42,769,921.07 "
West Allegheny SD,18,103029403,Instruction," $30,831,146.87 "
West Jefferson Hills SD,18,103029553,Instruction," $27,225,351.59 "
West Mifflin Area SD,18,103029603,Instruction," $29,730,424.65 "
Wilkinsburg Borough SD,18,103029803,Instruction," $20,414,465.38 "
Woodland Hills SD,18,103029902,Instruction," $62,170,561.53 "
Butler Area SD,18,104101252,Instruction," $62,148,294.79 "
Karns City Area SD,18,104103603,Instruction," $13,441,324.28 "
Mars Area SD,18,104105003,Instruction," $26,686,249.84 "
Moniteau SD,18,104105353,Instruction," $11,427,278.98 "
Slippery Rock Area SD,18,104107503,Instruction," $20,533,693.00 "
