AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
100510000,1892.831,7140.96,14011.51,155788.0,1928348.0,5900172.0,13516636.0,24936368.0,0.7239,322263.0,0.0,0.0,375923.0,12526738.0,26521425.0,27240639.0
101260303,3407.059,9462.41,15867.88,14779.5,1928687.9,4376776.0,32238976.73,14220386.1,0.7353,845178.91,90592.4,4121251.39,37388135.65,16842619.64,54062806.17,53627802.05
101260803,1689.836,10359.07,24189.2,0.0,1118305.91,1565542.0,17505127.49,8014472.35,0.7599,567365.79,12504597.0,14251321.33,19410430.83,8551971.69,40875786.3,41047806.09
101261302,4414.699,9974.07,16879.95,0.0,2988110.16,5852100.0,44032511.18,20388568.53,0.6951,1215684.88,21518.52,7738486.75,50923785.15,21533220.36,74519903.17,74321982.36
101262507,286.08,17606.06,27281.53,0.0,1443748.51,25991.0,5036742.62,4672135.69,0.6646,9029.12,85014.13,366218.57,1603801.48,2392708.5,7804698.81,7804699.81
101262903,1177.583,9560.86,15579.68,0.0,367605.69,978776.0,11258707.35,6819292.09,0.6801,401493.53,158650.0,1764422.29,11253906.52,4921743.43,18346366.6,18599454.3
101264003,2963.872,10334.9,16515.11,0.0,1750309.17,2665992.0,30631315.67,22815865.63,0.5961,721722.84,0.0,2796130.77,24967650.08,14799490.81,48948660.09,49533824.88
101266007,301.693,9619.74,13204.91,0.0,93626.0,0.0,2902208.55,2765849.7,0.6951,29152.19,0.0,0.0,1124352.81,1052467.77,3983828.51,3983828.51
101268003,2837.071,10213.03,16661.03,17985.33,2412225.53,1168939.0,28975087.71,17739118.52,0.5941,613666.21,0.0,2903177.46,27003052.26,14758600.22,47268516.93,47154396.31
101301303,1105.797,9279.08,16292.5,34.5,635141.36,4458115.0,10260782.15,5382642.59,0.7618,621452.98,0.0,1831214.15,11635845.86,5302712.48,18016196.26,17653629.81
101301403,1733.58,10631.76,18953.34,0.0,582205.26,6520199.0,18431007.75,17492566.22,0.5448,778582.27,0.0,3105861.92,15324183.93,10541679.26,32857131.2,33398955.41
101302607,157.962,15394.92,24246.98,0.0,394947.0,265684.0,2431812.25,2558931.93,0.5651,78319.85,0.0,21638.88,874280.68,1298329.95,3830100.93,3828159.61
101303503,780.578,11436.84,18491.49,0.0,344937.29,3051882.0,8927349.01,5425591.4,0.6967,377637.8,0.0,948387.68,8852052.08,4180676.54,14434051.03,14622580.77
101306503,600.249,11304.44,19949.93,1170.28,390866.8,2498339.0,6785476.92,3364660.55,0.7053,340207.85,100000.0,604000.0,8028249.24,4244068.35,11974923.4,11883776.59
101308503,683.291,14004.07,23113.2,0.0,364074.44,13577607.0,9568853.98,12659244.0,0.2918,397112.96,0.0,874293.46,6000871.29,4952778.45,15793038.85,19024189.73
101630504,530.772,11433.6,20172.24,0.0,156256.01,2141935.0,6068632.32,3486418.46,0.5708,392720.27,182991.15,758359.32,6781000.77,3487148.72,10706860.63,10606666.39
101630903,1128.47,9250.76,16681.04,391461.51,376979.12,1824690.0,10439208.71,7749738.01,0.5951,473028.98,0.0,2206071.27,10320706.32,5314285.44,18824055.91,18447423.45
101631003,1217.518,11527.06,17849.28,106890.78,299684.99,-2270890.0,14034399.04,5316961.73,0.7255,402473.23,126673.57,551407.39,14159111.56,6636650.95,21731821.39,19902431.85
101631203,1113.767,10898.07,18840.67,0.0,265400.69,1158553.0,12137914.21,9105050.86,0.6011,408957.03,25538.62,2013653.69,11291651.84,6423587.12,20984112.05,20687642.01
101631503,896.874,10337.92,18493.78,0.0,241155.92,162357.0,9271814.2,5407818.45,0.6408,421220.39,0.0,2354319.27,9999505.62,4539236.87,16586590.73,15648479.99
101631703,5509.231,8110.55,15447.81,500619.53,610840.89,6319523.0,44682899.16,62568695.74,0.3731,1827164.36,36359.15,10526009.82,24313548.65,27568854.46,85105547.33,87529444.43
101631803,1542.094,8942.14,15668.41,0.0,771725.0,2392927.0,13789615.21,10289382.93,0.7206,436124.37,0.0,3133850.68,14594535.21,6802572.79,24162163.05,25655643.14
101631903,1162.6,8904.57,16763.9,0.0,202082.0,5813715.0,10352451.0,11435848.26,0.5101,444583.0,0.0,2222983.13,8021432.0,6469694.13,19489711.26,19659362.26
101632403,1016.706,10522.39,18244.78,0.0,213498.18,3278397.0,10698177.38,8108225.73,0.5738,423187.36,0.0,1249123.69,10436080.06,6179085.73,18549574.16,18757803.97
101633903,1640.15,9904.41,18754.39,0.0,411964.84,4904006.0,16244713.88,13827657.64,0.5087,904573.52,226947.28,2998642.3,16925897.4,10612079.31,30760009.01,31392467.16
101634207,226.839,8312.31,15243.48,0.0,124933.0,373549.0,1885555.21,2525304.35,0.6546,32604.53,0.0,172813.21,865183.12,1366843.15,3457816.1,3515420.47
101636503,4134.95,9383.1,16035.01,0.0,350798.5,10422235.0,38798634.72,50337778.33,0.3129,1682150.59,466.55,7316260.31,15644457.36,18506910.6,66303956.22,66333500.74
101637002,2939.704,8359.54,15926.02,0.0,949870.5,5294059.0,24574580.6,22763526.9,0.5903,936239.54,0.0,6370765.14,23178076.56,14936198.59,46817783.87,46891473.96
101638003,3252.38,10366.47,18363.33,0.0,1065569.61,3977686.0,33715702.81,36302509.15,0.4546,1208590.16,3856.02,5975998.08,22947472.07,18824242.11,59724533.16,60319406.85
