AUN,LEA Name,LEA Type,County,School Number,School Name,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
124150002,21st Century Cyber CS,Cyber CS,Chester,7691,21st Century Cyber CS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,83,165,245,224,255,227,"1,241"
103020407,A W Beattie Career Center,OCCCTC,Allegheny,5273,A W Beattie Career Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,350,308,920
119350303,Abington Heights SD,SD,Lackawanna,5091,Abington Heights HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,265,259,304,"1,127"
119350303,Abington Heights SD,SD,Lackawanna,6839,Abington Heights MS,0,0,0,0,0,0,0,0,0,0,0,0,0,257,291,276,273,0,0,0,0,"1,097"
119350303,Abington Heights SD,SD,Lackawanna,7570,Clarks Summit El Sch,0,0,0,0,0,0,45,47,0,80,90,91,88,0,0,0,0,0,0,0,0,441
119350303,Abington Heights SD,SD,Lackawanna,2407,Newton-Ransom Sch,0,0,0,0,0,0,17,17,0,41,33,46,42,0,0,0,0,0,0,0,0,196
119350303,Abington Heights SD,SD,Lackawanna,6398,South Abington Sch,0,0,0,0,0,0,37,19,0,52,57,67,57,0,0,0,0,0,0,0,0,289
119350303,Abington Heights SD,SD,Lackawanna,2402,Waverly Sch,0,0,0,0,0,0,17,27,0,66,66,74,60,0,0,0,0,0,0,0,0,310
123460302,Abington SD,SD,Montgomery,3242,Abington MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,634,675,0,0,0,0,"2,048"
123460302,Abington SD,SD,Montgomery,3241,Abington SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,691,682,666,"2,749"
123460302,Abington SD,SD,Montgomery,7707,Copper Beech Sch,0,0,0,0,0,0,0,0,138,151,136,148,167,178,0,0,0,0,0,0,0,918
123460302,Abington SD,SD,Montgomery,3229,Highland Sch,0,0,0,0,0,0,0,0,73,84,65,74,69,75,0,0,0,0,0,0,0,440
123460302,Abington SD,SD,Montgomery,5075,McKinley Sch,0,0,0,0,0,0,0,0,90,92,99,88,111,92,0,0,0,0,0,0,0,572
123460302,Abington SD,SD,Montgomery,3232,Overlook Sch,0,0,0,0,0,0,0,0,73,68,83,68,81,88,0,0,0,0,0,0,0,461
123460302,Abington SD,SD,Montgomery,3234,Roslyn Sch,0,0,0,0,0,0,0,0,61,70,66,67,80,71,0,0,0,0,0,0,0,415
