AUN,School District,County,"
MarketValue",mvpi,market_value_aid_ratio,"personal_income_aid_ratio","Personal Income",WADM,MV per WADM,PI per WADM
112011103,Bermudian Springs SD          ,Adams,"$750,254,271",0.5968,0.5936,0.6019,"$289,319,082",2424.229,"$309,481","$119,344"
112011603,Conewago Valley SD            ,Adams,"$1,611,144,631",0.5750,0.5517,0.6102,"$551,638,818",4719.528,"$341,378","$116,884"
112013054,Fairfield Area SD             ,Adams,"$648,496,454",0.4683,0.4082,0.5585,"$190,469,911",1439.047,"$450,642","$132,358"
112013753,Gettysburg Area SD            ,Adams,"$2,191,828,888",0.3042,0.1971,0.4652,"$574,779,450",3584.654,"$611,447","$160,344"
112015203,Littlestown Area SD           ,Adams,"$956,665,470",0.5374,0.5098,0.5791,"$323,421,832",2562.647,"$373,311","$126,206"
112018523,Upper Adams SD                ,Adams,"$631,153,452",0.6073,0.5885,0.6357,"$219,982,778",2014.138,"$313,361","$109,219"
102027451,Pittsburgh SD                 ,Allegheny,"$13,453,306,398",0.4265,0.4624,0.3729,"$6,177,533,018",32860.233,"$409,409","$187,994"
103020603,Allegheny Valley SD           ,Allegheny,"$596,208,026",0.3802,0.3639,0.4048,"$219,635,086",1230.793,"$484,409","$178,450"
103020753,Avonworth SD                  ,Allegheny,"$729,544,314",0.3211,0.4582,0.1155,"$468,892,085",1768.309,"$412,566","$265,164"
103021003,Pine-Richland SD              ,Allegheny,"$1,857,389,628",0.4339,0.5470,0.2643,"$1,187,455,559",5383.469,"$345,017","$220,574"
103021102,Baldwin-Whitehall SD          ,Allegheny,"$1,313,685,172",0.5826,0.6614,0.4647,"$817,519,076",5093.908,"$257,893","$160,489"
103021252,Bethel Park SD                ,Allegheny,"$1,932,449,781",0.4810,0.5321,0.4047,"$967,834,112",5423.028,"$356,341","$178,467"
103021453,Brentwood Borough SD          ,Allegheny,"$272,085,531",0.7007,0.7672,0.6010,"$183,583,652",1534.432,"$177,320","$119,642"
103021603,Carlynton SD                  ,Allegheny,"$517,625,444",0.5214,0.6098,0.3890,"$319,065,142",1741.942,"$297,154","$183,166"
103021752,Chartiers Valley SD           ,Allegheny,"$1,594,478,422",0.3685,0.4873,0.1906,"$990,922,711",4083.806,"$390,439","$242,646"
103021903,Clairton City SD              ,Allegheny,"$90,530,895",0.8373,0.8911,0.7569,"$79,580,333",1091.608,"$82,933","$72,901"
