AUN,School District,County,mvpi,market_value_aid_ratio," 
personal_income_aid_ratio","MarketValue","Personal Income", WADM,MV per WADM,PI per WADM
112011103,Bermudian Springs SD          ,Adams,0.6129,0.6198,0.6029,"$730,431,393","$308,725,361",2440.054,"$299,350","$126,523"
112011603,Conewago Valley SD            ,Adams,0.5842,0.5647,0.6135,"$1,622,342,750","$582,786,011",4733.458,"$342,739","$123,120"
112013054,Fairfield Area SD             ,Adams,0.4850,0.4294,0.5686,"$636,501,107","$194,706,971",1416.709,"$449,281","$137,436"
112013753,Gettysburg Area SD            ,Adams,0.3334,0.2366,0.4789,"$2,146,636,817","$592,962,052",3571.640,"$601,022","$166,019"
112015203,Littlestown Area SD           ,Adams,0.5481,0.5260,0.5814,"$943,085,461","$337,021,760",2526.966,"$373,208","$133,370"
112018523,Upper Adams SD                ,Adams,0.6226,0.6042,0.6503,"$628,937,518","$224,811,144",2017.864,"$311,684","$111,410"
103020603,Allegheny Valley SD           ,Allegheny,0.3800,0.4019,0.3473,"$569,701,581","$251,575,039",1209.857,"$470,883","$207,937"
103020753,Avonworth SD                  ,Allegheny,0.3377,0.4761,0.1304,"$749,716,702","$503,468,353",1817.414,"$412,518","$277,024"
103021102,Baldwin-Whitehall SD          ,Allegheny,0.5790,0.6570,0.4621,"$1,348,677,149","$855,705,497",4993.465,"$270,088","$171,365"
103021252,Bethel Park SD                ,Allegheny,0.4899,0.5403,0.4147,"$1,954,383,525","$1,006,782,371",5399.509,"$361,955","$186,458"
103021453,Brentwood Borough SD          ,Allegheny,0.6924,0.7591,0.5927,"$278,660,752","$190,616,172",1469.128,"$189,677","$129,747"
103021603,Carlynton SD                  ,Allegheny,0.5213,0.6126,0.3847,"$529,063,603","$339,950,140",1734.242,"$305,069","$196,022"
103021752,Chartiers Valley SD           ,Allegheny,0.3656,0.4877,0.1826,"$1,662,383,080","$1,073,137,830",4121.032,"$403,389","$260,405"
103021903,Clairton City SD              ,Allegheny,0.8335,0.8865,0.7541,"$94,800,375","$83,072,492",1060.454,"$89,396","$78,336"
103022103,Cornell SD                    ,Allegheny,0.5575,0.5686,0.5410,"$273,779,653","$117,866,730",805.985,"$339,683","$146,239"
103022253,Deer Lakes SD                 ,Allegheny,0.5163,0.5125,0.5221,"$891,852,282","$353,761,669",2323.683,"$383,809","$152,241"
103022503,Duquesne City SD              ,Allegheny,0.8770,0.9013,0.8409,"$69,673,605","$45,401,898",895.801,"$77,777","$50,683"
103022803,East Allegheny SD             ,Allegheny,0.7181,0.7466,0.6756,"$439,715,570","$227,762,171",2203.806,"$199,525","$103,349"
