AUN,LEA Name,County,"MarketValue","Personal Income","WADM","MV per WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi
112011103,Bermudian Springs SD,Adams,"$731,338,521","$313,361,924","2,475.680","$295,409",0.6290,"$126,576",0.6033,0.6187
112011603,Conewago Valley SD,Adams,"$1,622,317,545","$600,882,376","4,687.298","$346,109",0.5653,"$128,193",0.5983,0.5784
112013054,Fairfield Area SD,Adams,"$631,052,670","$199,552,780","1,378.243","$457,867",0.4249,"$144,787",0.5463,0.4734
112013753,Gettysburg Area SD,Adams,"$2,151,122,387","$589,312,361","3,611.212","$595,678",0.2518,"$163,189",0.4886,0.3464
112015203,Littlestown Area SD,Adams,"$943,159,180","$345,293,575","2,477.436","$380,699",0.5218,"$139,375",0.5632,0.5382
112018523,Upper Adams SD,Adams,"$619,000,823","$237,985,370","2,013.532","$307,420",0.6139,"$118,192",0.6296,0.6201
103020603,Allegheny Valley SD,Allegheny,"$569,941,186","$251,366,238","1,174.659","$485,197",0.3906,"$213,990",0.3294,0.3660
103020753,Avonworth SD,Allegheny,"$750,354,430","$527,447,984","1,833.123","$409,331",0.4859,"$287,731",0.1000,0.3315
103021102,Baldwin-Whitehall SD,Allegheny,"$1,348,677,148","$867,491,574","5,004.849","$269,474",0.6616,"$173,330",0.4568,0.5796
103021252,Bethel Park SD,Allegheny,"$1,954,383,526","$1,012,952,429","5,258.724","$371,645",0.5332,"$192,623",0.3963,0.4784
103021453,Brentwood Borough SD,Allegheny,"$278,660,752","$194,592,148","1,537.703","$181,218",0.7724,"$126,547",0.6034,0.7047
103021603,Carlynton SD,Allegheny,"$529,498,845","$337,090,405","1,737.332","$304,777",0.6172,"$194,027",0.3919,0.5270
103021752,Chartiers Valley SD,Allegheny,"$1,662,654,307","$1,105,753,145","4,044.530","$411,087",0.4837,"$273,394",0.1432,0.3474
103021903,Clairton City SD,Allegheny,"$95,303,749","$84,004,519","1,056.425","$90,213",0.8867,"$79,517",0.7508,0.8323
103022103,Cornell SD,Allegheny,"$274,226,913","$118,402,639",798.199,"$343,557",0.5685,"$148,337",0.5351,0.5551
103022253,Deer Lakes SD,Allegheny,"$891,852,282","$355,103,297","2,344.238","$380,444",0.5222,"$151,479",0.5253,0.5234
103022503,Duquesne City SD,Allegheny,"$78,227,424","$47,376,115",934.918,"$83,673",0.8949,"$50,674",0.8412,0.8733
103022803,East Allegheny SD,Allegheny,"$439,717,489","$231,662,091","2,132.958","$206,153",0.7411,"$108,610",0.6596,0.7084
103023153,Elizabeth Forward SD,Allegheny,"$630,469,162","$406,591,184","2,837.104","$222,222",0.7209,"$143,312",0.5509,0.6528
103023912,Fox Chapel Area SD,Allegheny,"$2,776,248,601","$1,937,971,212","5,063.298","$548,308",0.3113,"$382,748",0.1000,0.2267
103024102,Gateway SD,Allegheny,"$1,999,909,881","$762,429,635","4,466.027","$447,805",0.4376,"$170,717",0.4650,0.4485
103024603,Hampton Township SD,Allegheny,"$1,303,997,120","$844,824,371","3,572.664","$364,992",0.5416,"$236,469",0.2589,0.4284
103024753,Highlands SD,Allegheny,"$581,721,523","$382,040,237","3,004.847","$193,594",0.7569,"$127,141",0.6016,0.6947
103025002,Keystone Oaks SD,Allegheny,"$1,012,375,274","$539,964,018","2,352.352","$430,367",0.4595,"$229,542",0.2806,0.3879
103026002,McKeesport Area SD,Allegheny,"$658,410,808","$414,695,448","4,590.819","$143,419",0.8199,"$90,331",0.7169,0.7786
103026303,Montour SD,Allegheny,"$2,139,420,283","$826,709,970","3,452.261","$619,715",0.2216,"$239,469",0.2495,0.2327
