AUN,LEA Name,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,"mvpi",,,
112011103,Bermudian Springs SD,Adams,"$752,311,528","$323,252,433","2,459.031","$305,938",0.6330,"$131,455",0.6097,0.6236,,,
112011603,Conewago Valley SD,Adams,"$1,631,684,242","$629,943,919","4,643.105","$351,420",0.5784,"$135,672",0.5971,0.5858,,,
112013054,Fairfield Area SD,Adams,"$630,857,442","$204,978,938","1,336.350","$472,075",0.4336,"$153,387",0.5445,0.4779,,,
112013753,Gettysburg Area SD,Adams,"$2,146,177,146","$655,565,157","3,604.072","$595,486",0.2856,"$181,895",0.4599,0.3552,,,
112015203,Littlestown Area SD,Adams,"$943,757,490","$353,835,387","2,412.669","$391,167",0.5307,"$146,657",0.5645,0.5442,,,
112018523,Upper Adams SD,Adams,"$621,764,894","$245,881,519","2,050.687","$303,198",0.6363,"$119,902",0.6440,0.6393,,,
103020603,Allegheny Valley SD,Allegheny,"$619,506,081","$273,282,296","1,135.142","$545,752",0.3452,"$240,747",0.2851,0.3211,,,
103020753,Avonworth SD,Allegheny,"$877,775,910","$542,918,625","1,857.344","$472,597",0.4330,"$292,309",0.1320,0.3126,,,
103021102,Baldwin-Whitehall SD,Allegheny,"$1,602,095,194","$922,463,168","5,018.054","$319,266",0.6170,"$183,828",0.4541,0.5518,,,
103021252,Bethel Park SD,Allegheny,"$2,166,799,490","$1,053,237,842","5,117.792","$423,385",0.4921,"$205,799",0.3889,0.4507,,,
103021453,Brentwood Borough SD,Allegheny,"$327,891,057","$210,627,070","1,472.868","$222,620",0.7329,"$143,004",0.5754,0.6698,,,
103021603,Carlynton SD,Allegheny,"$606,820,776","$362,233,798","1,681.825","$360,810",0.5671,"$215,381",0.3604,0.4843,,,
103021752,Chartiers Valley SD,Allegheny,"$1,887,350,111","$1,150,183,930","3,980.358","$474,165",0.4311,"$288,964",0.1419,0.3153,,,
103021903,Clairton City SD,Allegheny,"$126,767,006","$82,960,475","1,050.054","$120,724",0.8552,"$79,005",0.7654,0.8192,,,
103022103,Cornell SD,Allegheny,"$317,221,195","$126,202,352",788.326,"$402,398",0.5172,"$160,089",0.5246,0.5201,,,
103022253,Deer Lakes SD,Allegheny,"$1,003,728,389","$376,571,107","2,326.762","$431,384",0.4825,"$161,843",0.5194,0.4972,,,
103022503,Duquesne City SD,Allegheny,"$97,725,460","$49,585,971",934.083,"$104,621",0.8745,"$53,085",0.8424,0.8616,,,
103022803,East Allegheny SD,Allegheny,"$500,085,070","$238,960,253","2,178.149","$229,591",0.7246,"$109,707",0.6742,0.7043,,,
103023153,Elizabeth Forward SD,Allegheny,"$741,218,732","$439,155,680","2,804.275","$264,317",0.6829,"$156,602",0.5350,0.6237,,,
103023912,Fox Chapel Area SD,Allegheny,"$3,053,185,591","$2,007,964,465","5,025.505","$607,538",0.2711,"$399,554",0.1000,0.2026,,,
103024102,Gateway SD,Allegheny,"$2,179,922,759","$776,988,605","4,307.971","$506,020",0.3929,"$180,360",0.4644,0.4214,,,
103024603,Hampton Township SD,Allegheny,"$1,457,316,063","$834,277,664","3,510.901","$415,083",0.5020,"$237,624",0.2944,0.4189,,,
103024753,Highlands SD,Allegheny,"$693,421,441","$401,489,834","3,027.680","$229,027",0.7253,"$132,606",0.6062,0.6775,,,
103025002,Keystone Oaks SD,Allegheny,"$1,157,547,544","$504,948,400","2,296.779","$503,987",0.3954,"$219,850",0.3471,0.3760,,,
