Fiscal Year,AUN,LEA Name,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi
20182019,112011103,Bermudian Springs SD,Adams,"$766,127,412","$343,001,905","2,417.169","$316,952",0.6307,"$141,902",0.5958,0.6167
20182019,112011603,Conewago Valley SD,Adams,"$1,649,243,639","$672,762,338","4,640.127","$355,430",0.5859,"$144,987",0.5870,0.5863
20182019,112013054,Fairfield Area SD,Adams,"$639,801,146","$219,490,518","1,255.684","$509,524",0.4063,"$174,797",0.5021,0.4445
20182019,112013753,Gettysburg Area SD,Adams,"$2,152,224,673","$758,033,565","3,731.975","$576,698",0.3280,"$203,118",0.4215,0.3654
20182019,112015203,Littlestown Area SD,Adams,"$957,635,175","$375,539,724","2,445.648","$391,567",0.5438,"$153,554",0.5626,0.5512
20182019,112018523,Upper Adams SD,Adams,"$632,903,179","$255,425,928","2,044.272","$309,598",0.6393,"$124,947",0.6441,0.6411
20182019,103020603,Allegheny Valley SD,Allegheny,"$642,541,973","$269,055,720","1,103.533","$582,258",0.3215,"$243,813",0.3055,0.3151
20182019,103020753,Avonworth SD,Allegheny,"$974,506,115","$534,418,424","1,992.523","$489,081",0.4301,"$268,211",0.2360,0.3524
20182019,103021102,Baldwin-Whitehall SD,Allegheny,"$1,666,303,356","$966,099,751","5,140.024","$324,182",0.6223,"$187,956",0.4646,0.5591
20182019,103021252,Bethel Park SD,Allegheny,"$2,221,715,936","$1,023,083,335","4,988.517","$445,366",0.4811,"$205,087",0.4158,0.4549
20182019,103021453,Brentwood Borough SD,Allegheny,"$336,202,906","$210,747,223","1,480.267","$227,123",0.7354,"$142,371",0.5945,0.6790
20182019,103021603,Carlynton SD,Allegheny,"$632,202,436","$364,270,097","1,701.209","$371,619",0.5670,"$214,124",0.3901,0.4962
20182019,103021752,Chartiers Valley SD,Allegheny,"$1,997,232,036","$1,133,671,625","3,926.535","$508,650",0.4073,"$288,720",0.1776,0.3153
20182019,103021903,Clairton City SD,Allegheny,"$128,653,843","$74,226,716","1,069.850","$120,254",0.8599,"$69,380",0.8024,0.8368
20182019,103022103,Cornell SD,Allegheny,"$338,638,901","$118,750,659",756.758,"$447,486",0.4786,"$156,920",0.5531,0.5083
20182019,103022253,Deer Lakes SD,Allegheny,"$1,024,682,268","$380,385,918","2,265.570","$452,284",0.4730,"$167,898",0.5218,0.4925
