Fiscal Year,AUN,School District,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi,H,"Market Value
Aid Ratio
July 2020",Percent Difference,"Market Value / Personal Income
Aid Ratio
July 2020",Percent Difference
20202021,112011103,Bermudian Springs SD,Adams,"$793,990,643","$387,017,556","2,387.224","$332,599",0.6305,"$162,120",0.5953,0.6164,,0.6306,-0.02%,0.6036,2.12%
20202021,112011603,Conewago Valley SD,Adams,"$1,701,939,708","$814,524,681","4,747.010","$358,528",0.6017,"$171,586",0.5716,0.5896,,0.6018,-0.02%,0.5947,-0.86%
20202021,112013054,Fairfield Area SD,Adams,"$652,384,484","$256,616,699","1,202.140","$542,685",0.3971,"$213,466",0.4671,0.4250,,0.3973,-0.05%,0.4251,-0.02%
20202021,112013753,Gettysburg Area SD,Adams,"$2,182,990,933","$728,209,966","3,738.269","$583,957",0.3512,"$194,798",0.5137,0.4161,,0.3514,-0.06%,0.4130,0.75%
20202021,112015203,Littlestown Area SD,Adams,"$989,186,301","$433,143,523","2,445.849","$404,434",0.5507,"$177,093",0.5579,0.5535,,0.5509,-0.04%,0.5502,0.60%
20202021,112018523,Upper Adams SD,Adams,"$641,583,651","$283,769,248","2,067.275","$310,352",0.6552,"$137,267",0.6573,0.6560,,0.6553,-0.02%,0.6354,3.24%
20202021,103020603,Allegheny Valley SD,Allegheny,"$676,091,523","$313,259,852","1,065.365","$634,610",0.2949,"$294,039",0.2659,0.2832,,0.2952,-0.10%,0.2171,30.45%
20202021,103020753,Avonworth SD,Allegheny,"$1,087,318,710","$640,622,393","2,133.502","$509,640",0.4338,"$300,268",0.2503,0.3603,,0.4340,-0.05%,0.3631,-0.77%
20202021,103021102,Baldwin-Whitehall SD,Allegheny,"$1,748,538,709","$1,041,127,428","5,276.767","$331,365",0.6319,"$197,304",0.5074,0.5820,,0.6320,-0.02%,0.5803,0.29%
20202021,103021252,Bethel Park SD,Allegheny,"$2,338,067,117","$1,184,612,149","4,798.958","$487,203",0.4587,"$246,847",0.3837,0.4286,,0.4589,-0.04%,0.4282,0.09%
20202021,103021453,Brentwood Borough SD,Allegheny,"$346,860,248","$231,933,404","1,471.526","$235,714",0.7382,"$157,614",0.6065,0.6855,,0.7382,0.00%,0.6832,0.34%
20202021,103021603,Carlynton SD,Allegheny,"$661,707,426","$433,979,883","1,658.604","$398,954",0.5568,"$261,653",0.3467,0.4726,,0.5569,-0.02%,0.4701,0.53%
20202021,103021752,Chartiers Valley SD,Allegheny,"$2,121,074,544","$1,195,464,671","3,915.716","$541,682",0.3982,"$305,299",0.2378,0.3340,,0.3984,-0.05%,0.3260,2.45%
20202021,103021903,Clairton City SD,Allegheny,"$129,538,723","$87,249,595","1,116.467","$116,025",0.8711,"$78,147",0.8049,0.8445,,0.8712,-0.01%,0.8467,-0.26%
20202021,103022103,Cornell SD,Allegheny,"$345,723,659","$135,995,927",708.076,"$488,257",0.4576,"$192,064",0.5205,0.4827,,0.4577,-0.02%,0.4616,4.57%
20202021,103022253,Deer Lakes SD,Allegheny,"$1,048,739,048","$417,641,728","2,226.860","$470,949",0.4768,"$187,547",0.5318,0.4987,,0.4770,-0.04%,0.4968,0.38%
20202021,103022503,Duquesne City SD,Allegheny,"$94,459,140","$59,531,061","1,023.697","$92,272",0.8975,"$58,153",0.8549,0.8804,,0.8976,-0.01%,0.8856,-0.59%
20202021,103022803,East Allegheny SD,Allegheny,"$487,456,395","$266,216,906","2,123.285","$229,576",0.7450,"$125,379",0.6870,0.7218,,0.7451,-0.01%,0.7134,1.18%
20202021,103023153,Elizabeth Forward SD,Allegheny,"$789,156,715","$481,515,360","2,769.984","$284,895",0.6835,"$173,833",0.5660,0.6365,,0.6832,0.04%,0.6388,-0.36%
20202021,103023912,Fox Chapel Area SD,Allegheny,"$3,308,820,963","$2,522,971,857","4,796.936","$689,778",0.2337,"$525,954",0.1000,0.1802,,0.2339,-0.09%,0.1803,-0.06%
20202021,103024102,Gateway SD,Allegheny,"$2,202,342,156","$868,728,258","4,141.880","$531,725",0.4093,"$209,742",0.4764,0.4360,,0.4095,-0.05%,0.4403,-0.98%
20202021,103024603,Hampton Township SD,Allegheny,"$1,640,295,019","$972,806,681","3,289.043","$498,714",0.4459,"$295,771",0.2616,0.3721,,0.4461,-0.04%,0.3668,1.44%
20202021,103024753,Highlands SD,Allegheny,"$732,647,173","$422,031,711","2,876.978","$254,658",0.7171,"$146,692",0.6338,0.6837,,0.7172,-0.01%,0.6834,0.04%
20202021,103025002,Keystone Oaks SD,Allegheny,"$1,281,234,600","$576,967,383","2,306.671","$555,447",0.3829,"$250,129",0.3755,0.3799,,0.3831,-0.05%,0.3557,6.80%
20202021,103026002,McKeesport Area SD,Allegheny,"$801,725,761","$501,155,541","4,467.114","$179,472",0.8006,"$112,187",0.7199,0.7682,,0.8007,-0.01%,0.7752,-0.90%
20202021,103026303,Montour SD,Allegheny,"$2,558,708,435","$1,042,164,963","3,450.047","$741,644",0.1760,"$302,072",0.2458,0.2039,,0.1763,-0.17%,0.2029,0.49%
20202021,103026343,Moon Area SD,Allegheny,"$2,340,893,113","$1,213,993,128","4,675.745","$500,646",0.4438,"$259,636",0.3518,0.4069,,0.4440,-0.05%,0.4158,-2.14%
20202021,103026402,Mt Lebanon SD,Allegheny,"$2,712,488,346","$1,998,827,891","6,329.485","$428,548",0.5239,"$315,796",0.2116,0.3989,,0.5241,-0.04%,0.4118,-3.13%
20202021,103026852,North Allegheny SD,Allegheny,"$5,615,420,300","$3,232,287,109","9,884.436","$568,107",0.3688,"$327,007",0.1836,0.2946,,0.3691,-0.08%,0.2843,3.62%
20202021,103026902,North Hills SD,Allegheny,"$2,713,901,606","$1,362,453,934","5,235.271","$518,387",0.4241,"$260,245",0.3503,0.3945,,0.4242,-0.02%,0.4053,-2.66%
20202021,103026873,Northgate SD,Allegheny,"$440,977,969","$327,882,044","1,300.241","$339,150",0.6232,"$252,170",0.3704,0.5220,,0.6234,-0.03%,0.5442,-4.08%
20202021,103027352,Penn Hills SD,Allegheny,"$1,471,872,002","$847,354,815","4,943.557","$297,735",0.6692,"$171,405",0.5721,0.6303,,0.6694,-0.03%,0.6324,-0.33%
