Fiscal Year,AUN,School District,County,"
Market
Value","
Personal
Income","
WADM","MV per
WADM",market_value_aid_ratio,"PI per
WADM",personal_income_aid_ratio,mvpi
20232024,112011103,Bermudian Springs SD,Adams,"$841,942,472","$450,869,549","2,268.017","$371,224",0.6181,"$198,794",0.5755,0.6010
20232024,112011603,Conewago Valley SD,Adams,"$1,813,008,246","$854,891,109","4,699.005","$385,828",0.6031,"$181,930",0.6116,0.6064
20232024,112013054,Fairfield Area SD,Adams,"$675,657,323","$281,043,098","1,206.093","$560,203",0.4236,"$233,019",0.5025,0.4551
20232024,112013753,Gettysburg Area SD,Adams,"$2,265,894,089","$866,026,347","3,700.536","$612,315",0.3700,"$234,027",0.5003,0.4221
20232024,112015203,Littlestown Area SD,Adams,"$1,038,511,448","$458,293,174","2,446.996","$424,402",0.5634,"$187,288",0.6001,0.5780
20232024,112018523,Upper Adams SD,Adams,"$666,599,066","$325,364,466","2,052.447","$324,782",0.6659,"$158,525",0.6615,0.6641
20232024,103020603,Allegheny Valley SD,Allegheny,"$706,289,339","$354,178,339","1,069.764","$660,229",0.3207,"$331,080",0.2931,0.3096
20232024,103020753,Avonworth SD,Allegheny,"$1,205,183,957","$709,802,013","2,168.295","$555,821",0.4282,"$327,354",0.3010,0.3773
20232024,103021102,Baldwin-Whitehall SD,Allegheny,"$1,917,006,724","$1,130,280,327","5,354.743","$358,001",0.6317,"$211,080",0.5493,0.5987
20232024,103021252,Bethel Park SD,Allegheny,"$2,489,055,344","$1,301,912,475","4,638.892","$536,562",0.4480,"$280,651",0.4007,0.4290
20232024,103021453,Brentwood Borough SD,Allegheny,"$374,229,152","$267,377,212","1,400.071","$267,292",0.7250,"$190,974",0.5922,0.6718
20232024,103021603,Carlynton SD,Allegheny,"$701,101,181","$436,944,681","1,609.436","$435,619",0.5518,"$271,489",0.4203,0.4991
20232024,103021752,Chartiers Valley SD,Allegheny,"$2,251,387,499","$1,386,645,424","3,932.061","$572,571",0.4109,"$352,651",0.2470,0.3453
20232024,103021903,Clairton City SD,Allegheny,"$133,799,086","$86,678,184","1,129.444","$118,464",0.8782,"$76,744",0.8362,0.8613
20232024,103022103,Cornell SD,Allegheny,"$365,236,295","$156,604,622",669.580,"$545,470",0.4388,"$233,884",0.5006,0.4634
20232024,103022253,Deer Lakes SD,Allegheny,"$961,101,612","$460,039,057","2,192.796","$438,299",0.5491,"$209,795",0.5521,0.5502
20232024,103022503,Duquesne City SD,Allegheny,"$92,150,058","$56,601,996","1,076.472","$85,603",0.9120,"$52,581",0.8878,0.9023
20232024,103022803,East Allegheny SD,Allegheny,"$505,708,493","$294,022,579","1,963.857","$257,507",0.7351,"$149,716",0.6803,0.7131
20232024,103023153,Elizabeth Forward SD,Allegheny,"$824,134,696","$558,680,519","2,789.427","$295,449",0.6961,"$200,285",0.5724,0.6465
20232024,103023912,Fox Chapel Area SD,Allegheny,"$3,451,853,360","$2,590,605,293","4,922.119","$701,294",0.2785,"$526,319",0.1000,0.2071
20232024,103024102,Gateway SD,Allegheny,"$2,238,022,985","$894,866,458","4,275.784","$523,418",0.4615,"$209,287",0.5531,0.4981
20232024,103024603,Hampton Township SD,Allegheny,"$1,760,082,000","$1,169,818,742","3,163.781","$556,322",0.4276,"$369,753",0.2105,0.3407
20232024,103024753,Highlands SD,Allegheny,"$762,465,156","$434,095,356","2,696.412","$282,770",0.7091,"$160,989",0.6563,0.6879
20232024,103025002,Keystone Oaks SD,Allegheny,"$1,324,283,858","$714,888,168","2,248.943","$588,847",0.3942,"$317,877",0.3213,0.3650
