,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
0,112011103.0,"$798,020,905","$383,403,645","2,362.744","$337,751",0.6286,"$162,270",0.6027,0.6181
1,112011603.0,"$1,719,070,707","$770,090,412","4,768.526","$360,503",0.6036,"$161,494",0.6046,0.6039
2,112013054.0,"$656,575,935","$247,859,515","1,192.612","$550,536",0.3947,"$207,829",0.4912,0.4332
3,112013753.0,"$2,187,714,084","$744,336,548","3,743.859","$584,347",0.3575,"$198,815",0.5133,0.4198
4,112015203.0,"$995,231,344","$430,266,430","2,525.808","$394,024",0.5668,"$170,348",0.583,0.5732
5,112018523.0,"$644,408,956","$290,917,238","2,028.412","$317,691",0.6507,"$143,421",0.6489,0.6499
6,103020603.0,"$681,817,883","$349,711,781","1,078.199","$632,367",0.3047,"$324,348",0.2059,0.2651
7,103020753.0,"$1,145,855,355","$673,435,532","2,178.974","$525,869",0.4218,"$309,060",0.2433,0.3503
8,103021102.0,"$1,765,283,796","$1,064,223,309","5,373.876","$328,493",0.6388,"$198,036",0.5152,0.5892
9,103021252.0,"$2,375,786,143","$1,209,946,889","4,760.589","$499,052",0.4513,"$254,159",0.3777,0.4217
10,103021453.0,"$351,489,248","$245,484,918","1,501.384","$234,110",0.7426,"$163,505",0.5997,0.6853
11,103021603.0,"$667,067,220","$450,946,865","1,682.866","$396,387",0.5642,"$267,963",0.3439,0.476
12,103021752.0,"$2,130,967,498","$1,205,635,532","3,913.432","$544,526",0.4013,"$308,076",0.2457,0.3389
13,103021903.0,"$129,094,866","$92,389,188","1,074.735","$120,117",0.868,"$85,964",0.7896,0.8366
14,103022103.0,"$343,892,010","$142,788,508",736.584,"$466,874",0.4867,"$193,852",0.5254,0.5021
15,103022253.0,"$937,060,984","$427,668,425","2,218.644","$422,357",0.5356,"$192,761",0.5281,0.5325
16,103022503.0,"$94,907,032","$56,386,372","1,095.688","$86,618",0.9048,"$51,462",0.874,0.8924
17,103022803.0,"$489,250,650","$265,408,576","2,099.305","$233,053",0.7438,"$126,426",0.6905,0.7224
18,103023153.0,"$793,954,671","$498,462,584","2,732.878","$290,519",0.6806,"$182,394",0.5535,0.6297
19,103023912.0,"$3,357,898,841","$2,228,380,525","4,854.572","$691,698",0.2394,"$459,027",0.1,0.1836
20,103024102.0,"$2,212,294,097","$921,096,969","4,278.958","$517,017",0.4315,"$215,261",0.473,0.4481
21,103024603.0,"$1,662,115,753","$966,729,511","3,250.243","$511,381",0.4377,"$297,432",0.2718,0.3713
22,103024753.0,"$734,344,386","$423,735,508","2,868.969","$255,961",0.7186,"$147,696",0.6384,0.6864
23,103025002.0,"$1,251,082,037","$654,611,493","2,317.014","$539,954",0.4063,"$282,523",0.3083,0.367
24,103026002.0,"$797,590,652","$481,567,919","4,456.739","$178,962",0.8033,"$108,053",0.7355,0.7761
25,103026303.0,"$2,627,965,457","$1,131,057,833","3,571.893","$735,734",0.191,"$316,655",0.2247,0.2044
