,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
0,112011103.0,7111.0,323048922.0,36844653.0,16947941.0,9908839.0,74.0,102744.0,3346710.0,386750355.0,383403645.0
1,112011603.0,15045.0,653054811.0,65577439.0,33745192.0,27174990.0,135.0,290484.0,9462020.0,779552432.0,770090412.0
2,112013054.0,4754.0,223277838.0,14286416.0,7894862.0,6808379.0,89.0,135325.0,4407980.0,252267495.0,247859515.0
3,112013753.0,12864.0,551277584.0,62483773.0,93718210.0,62183854.0,185.0,777535.0,25326873.0,769663421.0,744336548.0
4,112015203.0,7752.0,365417512.0,31604213.0,24981786.0,14317838.0,88.0,185886.0,6054919.0,436321349.0,430266430.0
5,112018523.0,6254.0,252539000.0,20022800.0,11190433.0,9170054.0,57.0,61555.0,2005049.0,292922287.0,290917238.0
6,103020603.0,6424.0,272604161.0,46318812.0,20092486.0,21298732.0,64.0,325494.0,10602410.0,360314191.0,349711781.0
7,103020753.0,6186.0,529891634.0,56732504.0,70516432.0,32446135.0,110.0,495841.0,16151173.0,689586705.0,673435532.0
8,103021102.0,18892.0,939901958.0,54462804.0,34429384.0,39910466.0,95.0,137576.0,4481303.0,1068704612.0,1064223309.0
9,103021252.0,17382.0,1006525993.0,92910610.0,60832286.0,58624287.0,158.0,274651.0,8946287.0,1218893176.0,1209946889.0
10,103021453.0,5348.0,227864883.0,11005154.0,2574504.0,4487380.0,23.0,13723.0,447003.0,245931921.0,245484918.0
11,103021603.0,7954.0,386194803.0,39808838.0,15566740.0,12717982.0,66.0,102584.0,3341498.0,454288363.0,450946865.0
12,103021752.0,16268.0,939725664.0,115309174.0,75835422.0,92625174.0,178.0,548299.0,17859902.0,1223495434.0,1205635532.0
13,103021903.0,2959.0,84423714.0,2877267.0,2525366.0,2601636.0,3.0,1191.0,38795.0,92427983.0,92389188.0
14,103022103.0,3246.0,131479177.0,5295501.0,4197778.0,2497550.0,17.0,20922.0,681498.0,143470006.0,142788508.0
15,103022253.0,7414.0,365231851.0,26960144.0,20009522.0,17215605.0,34.0,53685.0,1748697.0,429417122.0,427668425.0
16,103022503.0,2086.0,53216540.0,1499267.0,846503.0,1171098.0,6.0,10654.0,347036.0,56733408.0,56386372.0
