County,AUN,LEA,Total Graduates,Total College-Bound,Total College-Bound %,2- or 4-Year College or University,2- or 4-Year College or University %,Total Postsec Bound,Total Postsec Bound %,Non-Degree-Granting Postsec School,Non-Degree-Granting Postsec School %,Specialized Associate Degree-Granting Institution,Specialized Associate Degree-Granting Institution %
Lackawanna,119350303,Abington Heights SD,298,257,86.2%,250,83.9%,261,87.6%,4,1.3%,7,2.3%
Montgomery,123460302,Abington SD,582,521,89.5%,515,88.5%,528,90.7%,7,1.2%,6,1.0%
Fayette,101260303,Albert Gallatin Area SD,261,121,46.4%,85,32.6%,126,48.3%,5,1.9%,36,13.8%
Beaver,127040503,Aliquippa SD,74,40,54.1%,40,54.1%,41,55.4%,1,1.4%,0,0.0%
Allegheny,103020603,Allegheny Valley SD,91,67,73.6%,61,67.0%,69,75.8%,2,2.2%,6,6.6%
Clarion,106160303,Allegheny-Clarion Valley SD,68,41,60.3%,37,54.4%,41,60.3%,0,0.0%,4,5.9%
Lehigh,121390302,Allentown City SD,1073,604,56.3%,573,53.4%,644,60.0%,40,3.7%,31,2.9%
Blair,108070502,Altoona Area SD,515,329,63.9%,301,58.4%,339,65.8%,10,1.9%,28,5.4%
Beaver,127040703,Ambridge Area SD,168,112,66.7%,104,61.9%,112,66.7%,0,0.0%,8,4.8%
Lebanon,113380303,Annville-Cleona SD,110,65,59.1%,65,59.1%,69,62.7%,4,3.6%,0,0.0%
Berks,114060503,Antietam SD,76,65,85.5%,56,73.7%,65,85.5%,0,0.0%,9,11.8%
Armstrong,128030603,Apollo-Ridge SD,84,59,70.2%,52,61.9%,63,75.0%,4,4.8%,7,8.3%
Armstrong,128030852,Armstrong SD,311,215,69.1%,198,63.7%,219,70.4%,4,1.3%,17,5.5%
Bradford,117080503,Athens Area SD,140,66,47.1%,65,46.4%,66,47.1%,0,0.0%,1,0.7%
Potter,109530304,Austin Area SD,16,10,62.5%,10,62.5%,11,68.8%,1,6.3%,0,0.0%
Washington,101630504,Avella Area SD,51,38,74.5%,38,74.5%,38,74.5%,0,0.0%,0,0.0%
Chester,124150503,Avon Grove SD,418,320,76.6%,316,75.6%,327,78.2%,7,1.7%,4,1.0%
Allegheny,103020753,Avonworth SD,101,82,81.2%,82,81.2%,85,84.2%,3,3.0%,0,0.0%
Centre,110141003,Bald Eagle Area SD,146,93,63.7%,78,53.4%,96,65.8%,3,2.1%,15,10.3%
Allegheny,103021102,Baldwin-Whitehall SD,366,311,85.0%,301,82.2%,319,87.2%,8,2.2%,10,2.7%
Northampton,120480803,Bangor Area SD,268,203,75.7%,202,75.4%,207,77.2%,4,1.5%,1,0.4%
Beaver,127041203,Beaver Area SD,162,134,82.7%,129,79.6%,136,84.0%,2,1.2%,5,3.1%
Bedford,108051003,Bedford Area SD,151,82,54.3%,79,52.3%,84,55.6%,2,1.3%,3,2.0%
Westmoreland,107650603,Belle Vernon Area SD,205,141,68.8%,135,65.9%,149,72.7%,8,3.9%,6,2.9%
Centre,110141103,Bellefonte Area SD,222,149,67.1%,134,60.4%,158,71.2%,9,4.1%,15,6.8%
Blair,108071003,Bellwood-Antis SD,104,69,66.3%,69,66.3%,82,78.8%,13,12.5%,0,0.0%
Bucks,122091002,Bensalem Township SD,446,341,76.5%,341,76.5%,369,82.7%,28,6.3%,0,0.0%
Columbia,116191004,Benton Area SD,49,26,53.1%,26,53.1%,27,55.1%,1,2.0%,0,0.0%
Washington,101630903,Bentworth SD,89,61,68.5%,53,59.6%,61,68.5%,0,0.0%,8,9.0%
Somerset,108561003,Berlin Brothersvalley SD,70,41,58.6%,36,51.4%,44,62.9%,3,4.3%,5,7.1%
Adams,112011103,Bermudian Springs SD,136,100,73.5%,99,72.8%,100,73.5%,0,0.0%,1,0.7%
Columbia,116191103,Berwick Area SD,234,171,73.1%,170,72.6%,175,74.8%,4,1.7%,1,0.4%
Allegheny,103021252,Bethel Park SD,412,356,86.4%,345,83.7%,357,86.7%,1,0.2%,11,2.7%
Northampton,120481002,Bethlehem Area SD,1069,900,84.2%,884,82.7%,909,85.0%,9,0.8%,16,1.5%
Washington,101631003,Bethlehem-Center SD,86,55,64.0%,51,59.3%,62,72.1%,7,8.1%,4,4.7%
Beaver,127041503,Big Beaver Falls Area SD,132,80,60.6%,70,53.0%,81,61.4%,1,0.8%,10,7.6%
Cumberland,115210503,Big Spring SD,205,121,59.0%,115,56.1%,123,60.0%,2,1.0%,6,2.9%
Beaver,127041603,Blackhawk SD,207,163,78.7%,156,75.4%,177,85.5%,14,6.8%,7,3.4%
Cambria,108110603,Blacklick Valley SD,40,28,70.0%,24,60.0%,30,75.0%,2,5.0%,4,10.0%
Indiana,128321103,Blairsville-Saltsburg SD,147,105,71.4%,95,64.6%,107,72.8%,2,1.4%,10,6.8%
Columbia,116191203,Bloomsburg Area SD,94,71,75.5%,68,72.3%,75,79.8%,4,4.3%,3,3.2%
Schuylkill,129540803,Blue Mountain SD,230,160,69.6%,146,63.5%,170,73.9%,10,4.3%,14,6.1%
Susquehanna,119581003,Blue Ridge SD,77,39,50.6%,39,50.6%,42,54.5%,3,3.9%,0,0.0%
Berks,114060753,Boyertown Area SD,538,432,80.3%,410,76.2%,435,80.9%,3,0.6%,22,4.1%
McKean,109420803,Bradford Area SD,210,142,67.6%,127,60.5%,151,71.9%,9,4.3%,15,7.1%
Berks,114060853,Brandywine Heights Area SD,152,110,72.4%,104,68.4%,113,74.3%,3,2.0%,6,3.9%
Allegheny,103021453,Brentwood Borough SD,113,96,85.0%,90,79.6%,98,86.7%,2,1.8%,6,5.3%
Bucks,122091303,Bristol Borough SD,75,52,69.3%,52,69.3%,60,80.0%,8,10.7%,0,0.0%
Bucks,122091352,Bristol Township SD,426,299,70.2%,279,65.5%,308,72.3%,9,2.1%,20,4.7%
Jefferson,106330703,Brockway Area SD,94,62,66.0%,60,63.8%,62,66.0%,0,0.0%,2,2.1%
Jefferson,106330803,Brookville Area SD,111,77,69.4%,75,67.6%,82,73.9%,5,4.5%,2,1.8%
Fayette,101260803,Brownsville Area SD,103,73,70.9%,67,65.0%,73,70.9%,0,0.0%,6,5.8%
Washington,101631203,Burgettstown Area SD,83,54,65.1%,54,65.1%,61,73.5%,7,8.4%,0,0.0%
Westmoreland,107650703,Burrell SD,149,126,84.6%,120,80.5%,128,85.9%,2,1.3%,6,4.0%
Butler,104101252,Butler Area SD,599,452,75.5%,433,72.3%,463,77.3%,11,1.8%,19,3.2%
Washington,101631503,California Area SD,63,46,73.0%,45,71.4%,47,74.6%,1,1.6%,1,1.6%
Cambria,108111203,Cambria Heights SD,112,76,67.9%,68,60.7%,79,70.5%,3,2.7%,8,7.1%
Cameron,109122703,Cameron County SD,53,31,58.5%,27,50.9%,32,60.4%,1,1.9%,4,7.5%
Cumberland,115211003,Camp Hill SD,106,101,95.3%,98,92.5%,101,95.3%,0,0.0%,3,2.8%
Washington,101631703,Canon-McMillan SD,341,281,82.4%,243,71.3%,285,83.6%,4,1.2%,38,11.1%
Bradford,117081003,Canton Area SD,76,39,51.3%,39,51.3%,39,51.3%,0,0.0%,0,0.0%
Lackawanna,119351303,Carbondale Area SD,95,67,70.5%,64,67.4%,76,80.0%,9,9.5%,3,3.2%
Cumberland,115211103,Carlisle Area SD,337,223,66.2%,194,57.6%,223,66.2%,0,0.0%,29,8.6%
Allegheny,103021603,Carlynton SD,109,78,71.6%,70,64.2%,78,71.6%,0,0.0%,8,7.3%
Greene,101301303,Carmichaels Area SD,58,38,65.5%,37,63.8%,38,65.5%,0,0.0%,1,1.7%
Lehigh,121391303,Catasauqua Area SD,123,97,78.9%,90,73.2%,99,80.5%,2,1.6%,7,5.7%
Bucks,122092002,Centennial SD,426,347,81.5%,343,80.5%,359,84.3%,12,2.8%,4,0.9%
Bucks,122092102,Central Bucks SD,1575,1431,90.9%,1419,90.1%,1437,91.2%,6,0.4%,12,0.8%
Cambria,108111303,Central Cambria SD,160,120,75.0%,110,68.8%,123,76.9%,3,1.9%,10,6.3%
Columbia,116191503,Central Columbia SD,159,124,78.0%,124,78.0%,124,78.0%,0,0.0%,0,0.0%
Dauphin,115221402,Central Dauphin SD,755,598,79.2%,582,77.1%,611,80.9%,13,1.7%,16,2.1%
Fulton,111291304,Central Fulton SD,54,38,70.4%,36,66.7%,38,70.4%,0,0.0%,2,3.7%
Greene,101301403,Central Greene SD,151,85,56.3%,76,50.3%,85,56.3%,0,0.0%,9,6.0%
Beaver,127042003,Central Valley SD,187,154,82.4%,147,78.6%,158,84.5%,4,2.1%,7,3.7%
York,112671303,Central York SD,409,334,81.7%,311,76.0%,341,83.4%,7,1.7%,23,5.6%
Franklin,112281302,Chambersburg Area SD,596,319,53.5%,310,52.0%,325,54.5%,6,1.0%,9,1.5%
Washington,101631803,Charleroi SD,136,98,72.1%,73,53.7%,100,73.5%,2,1.5%,25,18.4%
Allegheny,103021752,Chartiers Valley SD,273,242,88.6%,234,85.7%,245,89.7%,3,1.1%,8,2.9%
Washington,101631903,Chartiers-Houston SD,87,63,72.4%,58,66.7%,63,72.4%,0,0.0%,5,5.7%
Montgomery,123461302,Cheltenham Township SD,346,285,82.4%,283,81.8%,288,83.2%,3,0.9%,2,0.6%
Delaware,125231232,Chester-Upland SD,312,203,65.1%,202,64.7%,204,65.4%,1,0.3%,1,0.3%
Bedford,108051503,Chestnut Ridge SD,113,58,51.3%,42,37.2%,65,57.5%,7,6.2%,16,14.2%
Delaware,125231303,Chichester SD,241,150,62.2%,143,59.3%,165,68.5%,15,6.2%,7,2.9%
Allegheny,103021903,Clairton City SD,41,23,56.1%,21,51.2%,24,58.5%,1,2.4%,2,4.9%
Clarion,106161203,Clarion Area SD,51,42,82.4%,42,82.4%,42,82.4%,0,0.0%,0,0.0%
Clarion,106161703,Clarion-Limestone Area SD,90,59,65.6%,57,63.3%,65,72.2%,6,6.7%,2,2.2%
Blair,108071504,Claysburg-Kimmel SD,69,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Clearfield,110171003,Clearfield Area SD,205,102,49.8%,86,42.0%,116,56.6%,14,6.8%,16,7.8%
Chester,124151902,Coatesville Area SD,546,357,65.4%,357,65.4%,430,78.8%,73,13.4%,0,0.0%
Lancaster,113361303,Cocalico SD,285,148,51.9%,142,49.8%,151,53.0%,3,1.1%,6,2.1%
Montgomery,123461602,Colonial SD,409,363,88.8%,361,88.3%,367,89.7%,4,1.0%,2,0.5%
Lancaster,113361503,Columbia Borough SD,82,48,58.5%,39,47.6%,50,61.0%,2,2.4%,9,11.0%
Mercer,104431304,Commodore Perry SD,43,29,67.4%,28,65.1%,31,72.1%,2,4.7%,1,2.3%
Somerset,108561803,Conemaugh Township Area SD,78,54,69.2%,50,64.1%,56,71.8%,2,2.6%,4,5.1%
Cambria,108111403,Conemaugh Valley SD,69,54,78.3%,51,73.9%,58,84.1%,4,5.8%,3,4.3%
Lancaster,113361703,Conestoga Valley SD,315,216,68.6%,213,67.6%,219,69.5%,3,1.0%,3,1.0%
Adams,112011603,Conewago Valley SD,307,212,69.1%,183,59.6%,213,69.4%,1,0.3%,29,9.4%
Crawford,105201033,Conneaut SD,204,113,55.4%,98,48.0%,129,63.2%,16,7.8%,15,7.4%
Fayette,101261302,Connellsville Area SD,255,167,65.5%,166,65.1%,191,74.9%,24,9.4%,1,0.4%
Berks,114061103,Conrad Weiser Area SD,253,174,68.8%,163,64.4%,198,78.3%,24,9.5%,11,4.3%
Allegheny,103022103,Cornell SD,60,53,88.3%,50,83.3%,54,90.0%,1,1.7%,3,5.0%
Lebanon,113381303,Cornwall-Lebanon SD,384,288,75.0%,265,69.0%,296,77.1%,8,2.1%,23,6.0%
Erie,105251453,Corry Area SD,204,98,48.0%,84,41.2%,111,54.4%,13,6.4%,14,6.9%
Potter,109531304,Coudersport Area SD,62,30,48.4%,30,48.4%,32,51.6%,2,3.2%,0,0.0%
