County,AUN,LEA,Total Graduates,Total College-Bound,Total College-Bound %,2- or 4-Year College or University,2- or 4-Year College or University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree-Granting Institution,Specialized Associate Degree-Granting Institution %,
Adams,112011103,Bermudian Springs SD,151,102,67.55,94,62.25,111,73.51,9,5.96,8,5.3,
Adams,112011603,Conewago Valley SD,287,218,75.96,190,66.2,219,76.31,1,0.35,28,9.76,
Adams,112013054,Fairfield Area SD,99,74,74.75,73,73.74,78,78.79,4,4.04,1,1.01,
Adams,112013753,Gettysburg Area SD,232,178,76.72,167,71.98,184,79.31,6,2.59,11,4.74,
Adams,112015203,Littlestown Area SD,145,72,49.66,69,47.59,81,55.86,9,6.21,3,2.07,
Adams,112018523,Upper Adams SD,115,86,74.78,76,66.09,88,76.52,2,1.74,10,8.7,
Allegheny,102027451,Pittsburgh SD,1500,746,49.73,540,36,746,49.73,0,0,206,13.73,
Allegheny,103020603,Allegheny Valley SD,72,61,84.72,54,75,63,87.5,2,2.78,7,9.72,
Allegheny,103020753,Avonworth SD,109,95,87.16,94,86.24,96,88.07,1,0.92,1,0.92,
Allegheny,103021003,Pine-Richland SD,374,331,88.5,331,88.5,331,88.5,0,0,0,0,
Allegheny,103021102,Baldwin-Whitehall SD,380,309,81.32,297,78.16,314,82.63,5,1.32,12,3.16,
Allegheny,103021252,Bethel Park SD,426,367,86.15,363,85.21,367,86.15,0,0,4,0.94,
Allegheny,103021453,Brentwood Borough SD,80,68,85,68,85,69,86.25,1,1.25,0,0,
Allegheny,103021603,Carlynton SD,105,74,70.48,62,59.05,74,70.48,0,0,12,11.43,
Allegheny,103021752,Chartiers Valley SD,277,229,82.67,229,82.67,233,84.12,4,1.44,0,0,
Allegheny,103021903,Clairton City SD,51,29,56.86,29,56.86,30,58.82,1,1.96,0,0,
Allegheny,103022103,Cornell SD,42,30,71.43,24,57.14,30,71.43,0,0,6,14.29,
Allegheny,103022253,Deer Lakes SD,140,111,79.29,111,79.29,119,85,8,5.71,0,0,
Allegheny,103022803,East Allegheny SD,122,83,68.03,75,61.48,86,70.49,3,2.46,8,6.56,
Allegheny,103023153,Elizabeth Forward SD,214,140,65.42,133,62.15,149,69.63,9,4.21,7,3.27,
Allegheny,103023912,Fox Chapel Area SD,329,274,83.28,273,82.98,287,87.23,13,3.95,1,0.3,
Allegheny,103024102,Gateway SD,335,270,80.6,266,79.4,270,80.6,0,0,4,1.19,
Allegheny,103024603,Hampton Township SD,289,259,89.62,256,88.58,260,89.97,1,0.35,3,1.04,
Allegheny,103024753,Highlands SD,168,112,66.67,112,66.67,129,76.79,17,10.12,0,0,
Allegheny,103025002,Keystone Oaks SD,177,136,76.84,132,74.58,142,80.23,6,3.39,4,2.26,
Allegheny,103026002,McKeesport Area SD,218,107,49.08,103,47.25,118,54.13,11,5.05,4,1.83,
Allegheny,103026303,Montour SD,260,230,88.46,230,88.46,230,88.46,0,0,0,0,
Allegheny,103026343,Moon Area SD,237,206,86.92,198,83.54,206,86.92,0,0,8,3.38,
Allegheny,103026402,Mt Lebanon SD,421,389,92.4,389,92.4,393,93.35,4,0.95,0,0,
Allegheny,103026852,North Allegheny SD,628,579,92.2,571,90.92,579,92.2,0,0,8,1.27,
Allegheny,103026873,Northgate SD,82,68,82.93,63,76.83,68,82.93,0,0,5,6.1,
Allegheny,103026902,North Hills SD,317,268,84.54,268,84.54,274,86.44,6,1.89,0,0,
Allegheny,103027352,Penn Hills SD,307,212,69.06,202,65.8,227,73.94,15,4.89,10,3.26,
Allegheny,103027503,Plum Borough SD,342,283,82.75,277,80.99,292,85.38,9,2.63,6,1.75,
Allegheny,103027753,Quaker Valley SD,182,139,76.37,139,76.37,148,81.32,9,4.95,0,0,
Allegheny,103028203,Riverview SD,89,74,83.15,74,83.15,76,85.39,2,2.25,0,0,
Allegheny,103028302,Shaler Area SD,383,302,78.85,301,78.59,321,83.81,19,4.96,1,0.26,
Allegheny,103028653,South Allegheny SD,137,115,83.94,100,72.99,115,83.94,0,0,15,10.95,
Allegheny,103028703,South Fayette Township SD,186,166,89.25,157,84.41,168,90.32,2,1.08,9,4.84,
Allegheny,103028753,South Park SD,165,133,80.61,133,80.61,134,81.21,1,0.61,0,0,
Allegheny,103028833,Steel Valley SD,126,88,69.84,82,65.08,92,73.02,4,3.17,6,4.76,
Allegheny,103028853,Sto-Rox SD,81,43,53.09,41,50.62,43,53.09,0,0,2,2.47,
Allegheny,103029203,Upper Saint Clair SD,353,329,93.2,328,92.92,331,93.77,2,0.57,1,0.28,
Allegheny,103029403,West Allegheny SD,270,196,72.59,196,72.59,211,78.15,15,5.56,0,0,
Allegheny,103029553,West Jefferson Hills SD,225,200,88.89,195,86.67,200,88.89,0,0,5,2.22,
Allegheny,103029603,West Mifflin Area SD,302,206,68.21,193,63.91,210,69.54,4,1.32,13,4.3,
Allegheny,103029803,Wilkinsburg Borough SD,29,4,13.79,3,10.34,4,13.79,0,0,1,3.45,
Allegheny,103029902,Woodland Hills SD,276,208,75.36,201,72.83,218,78.99,10,3.62,7,2.54,
Armstrong,128030603,Apollo-Ridge SD,75,49,65.33,43,57.33,52,69.33,3,4,6,8,
Armstrong,128030852,Armstrong SD,341,194,56.89,181,53.08,203,59.53,9,2.64,13,3.81,
Armstrong,128033053,Freeport Area SD,143,119,83.22,114,79.72,130,90.91,11,7.69,5,3.5,
Armstrong,128034503,Leechburg Area SD,45,39,86.67,34,75.56,39,86.67,0,0,5,11.11,
