county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,149,79,53.02%,73,48.99%,83,55.70%,4,2.68%,6,4.03%
,,,9999,Bermudian Springs SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112011603,Conewago Valley SD,0017,New Oxford SHS,278,177,63.67%,177,63.67%,184,66.19%,7,2.52%,0,0.00%
,,,9999,Conewago Valley SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,76,48,63.16%,44,57.89%,49,64.47%,1,1.32%,4,5.26%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,202,146,72.28%,143,70.79%,153,75.74%,7,3.47%,3,1.49%
,,,9999,Gettysburg Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,165,113,68.48%,100,60.61%,114,69.09%,1,0.61%,13,7.88%
,,,9999,Littlestown Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,105,70,66.67%,66,62.86%,74,70.48%,4,3.81%,4,3.81%
,,,9999,Upper Adams SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,123,94,76.42%,93,75.61%,98,79.67%,4,3.25%,1,0.81%
,102020003,Academy CS,7846,Academy CS,21,15,71.43%,5,23.81%,15,71.43%,0,0.00%,10,47.62%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,34,31,91.18%,31,91.18%,31,91.18%,0,0.00%,0,0.00%
,102023217,Hill House Passport Academy Charter Scho,8308,Hill House Passport Academy Charter Scho,99,35,35.35%,35,35.35%,40,40.40%,5,5.05%,0,0.00%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,0412,Pittsburgh Carrick HS,186,138,74.19%,126,67.74%,147,79.03%,9,4.84%,12,6.45%
,,,0416,Pittsburgh Perry HS,98,2,2.04%,2,2.04%,2,2.04%,0,0.00%,0,0.00%
,,,6047,Pittsburgh Oliver,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6664,Pittsburgh Pioneer,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6811,Pittsburgh Conroy,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,6915,Pittsburgh Brashear HS,298,220,73.83%,214,71.81%,230,77.18%,10,3.36%,6,2.01%
,,,8105,Pittsburgh Obama 6-12,103,4,3.88%,4,3.88%,4,3.88%,0,0.00%,0,0.00%
,,,8106,Pittsburgh CAPA 6-12,129,117,90.70%,117,90.70%,120,93.02%,3,2.33%,0,0.00%
,,,8107,Pittsburgh Science and Technology Academ,88,2,2.27%,2,2.27%,2,2.27%,0,0.00%,0,0.00%
,,,8110,Pittsburgh Milliones 6-12,88,1,1.14%,1,1.14%,1,1.14%,0,0.00%,0,0.00%
,,,8203,Academy at Westinghouse,87,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,8300,Pittsburgh Online Academy,25,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Pittsburgh SD,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,29,26,89.66%,25,86.21%,28,96.55%,2,6.90%,1,3.45%
,103020603,Allegheny Valley SD,0029,Springdale JSHS,72,51,70.83%,49,68.06%,51,70.83%,0,0.00%,2,2.78%
,,,9999,Allegheny Valley SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103020753,Avonworth SD,5199,Avonworth HS,120,109,90.83%,106,88.33%,109,90.83%,0,0.00%,3,2.50%
,,,9999,Avonworth SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,103021003,Pine-Richland SD,0315,Pine-Richland HS,355,318,89.58%,318,89.58%,319,89.86%,1,0.28%,0,0.00%
,,,9999,Pine-Richland SD,6,1,16.67%,1,16.67%,1,16.67%,0,0.00%,0,0.00%
,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,326,259,79.45%,249,76.38%,267,81.90%,8,2.45%,10,3.07%
,,,9999,Baldwin-Whitehall SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021252,Bethel Park SD,0062,Bethel Park HS,371,310,83.56%,310,83.56%,310,83.56%,0,0.00%,0,0.00%
,,,9999,Bethel Park SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021453,Brentwood Borough SD,0070,Brentwood SHS,89,74,83.15%,72,80.90%,74,83.15%,0,0.00%,2,2.25%
,103021603,Carlynton SD,0079,Carlynton JSHS,93,58,62.37%,58,62.37%,60,64.52%,2,2.15%,0,0.00%
,,,9999,Carlynton SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,273,237,86.81%,228,83.52%,246,90.11%,9,3.30%,9,3.30%
,,,9999,Chartiers Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021903,Clairton City SD,8094,Clairton MS/HS,41,30,73.17%,28,68.29%,30,73.17%,0,0.00%,2,4.88%
,,,9999,Clairton City SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103022103,Cornell SD,8087,Cornell HS,36,29,80.56%,28,77.78%,29,80.56%,0,0.00%,1,2.78%
,103022253,Deer Lakes SD,0513,Deer Lakes HS,151,118,78.15%,118,78.15%,128,84.77%,10,6.62%,0,0.00%
,103022803,East Allegheny SD,8340,East Allegheny JSHS,104,78,75.00%,75,72.12%,78,75.00%,0,0.00%,3,2.88%
,,,9999,East Allegheny SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,166,112,67.47%,105,63.25%,114,68.67%,2,1.20%,7,4.22%
,,,9999,Elizabeth Forward SD,2,0,0.00%,0,0.00%,1,50.00%,1,50.00%,0,0.00%
,103023410,Spectrum CS,7648,Spectrum CS,3,2,66.67%,2,66.67%,2,66.67%,0,0.00%,0,0.00%
,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,326,283,86.81%,280,85.89%,289,88.65%,6,1.84%,3,0.92%
,,,9999,Fox Chapel Area SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,103024102,Gateway SD,0170,Gateway SHS,276,202,73.19%,198,71.74%,203,73.55%,1,0.36%,4,1.45%
,,,9999,Gateway SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103024603,Hampton Township SD,5190,Hampton HS,252,218,86.51%,218,86.51%,227,90.08%,9,3.57%,0,0.00%
,,,9999,Hampton Township SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103024753,Highlands SD,5153,Highlands SHS,166,110,66.27%,101,60.84%,114,68.67%,4,2.41%,9,5.42%
,,,9999,Highlands SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,134,107,79.85%,100,74.63%,107,79.85%,0,0.00%,7,5.22%
,,,9999,Keystone Oaks SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026002,McKeesport Area SD,6105,McKeesport Area SHS,246,162,65.85%,149,60.57%,195,79.27%,33,13.41%,13,5.28%
,103026303,Montour SD,5017,Montour HS,244,206,84.43%,204,83.61%,208,85.25%,2,0.82%,2,0.82%
,,,9999,Montour SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026343,Moon Area SD,4951,Moon SHS,289,264,91.35%,259,89.62%,264,91.35%,0,0.00%,5,1.73%
,,,9999,Moon Area SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,428,406,94.86%,404,94.39%,406,94.86%,0,0.00%,2,0.47%
,,,9999,Mt Lebanon SD,6,1,16.67%,1,16.67%,4,66.67%,3,50.00%,0,0.00%
,103026852,North Allegheny SD,8305,North Allegheny HS,657,502,76.41%,502,76.41%,502,76.41%,0,0.00%,0,0.00%
