county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,148,85,57.43%,80,54.05%,85,57.43%,0,0.00%,5,3.38%
,,,9999,Bermudian Springs SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,,Bermudian Springs SD,,,150,86,57.33%,81,54.00%,86,57.33%,0,0.00%,5,3.33%
,112011603,Conewago Valley SD,0017,New Oxford SHS,278,151,54.32%,151,54.32%,162,58.27%,11,3.96%,0,0.00%
,,Conewago Valley SD,,,278,151,54.32%,151,54.32%,162,58.27%,11,3.96%,0,0.00%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,72,44,61.11%,43,59.72%,44,61.11%,0,0.00%,1,1.39%
,,,9999,Fairfield Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Fairfield Area SD,,,74,44,59.46%,43,58.11%,44,59.46%,0,0.00%,1,1.35%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,246,170,69.11%,164,66.67%,176,71.54%,6,2.44%,6,2.44%
,,Gettysburg Area SD,,,246,170,69.11%,164,66.67%,176,71.54%,6,2.44%,6,2.44%
,112015203,Littlestown Area SD,0014,Littlestown SHS,143,70,48.95%,70,48.95%,79,55.24%,9,6.29%,0,0.00%
,,,9999,Littlestown Area SD,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
