,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,83,56,67.5%,56,67,80.7%,11,13.3%,0
1,3241.0,637,567,89.0%,562,575,90.3%,8,1.3%,5
2,5091.0,297,263,88.6%,255,268,90.2%,5,1.7%,8
3,7846.0,51,11,21.6%,11,14,27.5%,3,5.9%,0
4,7824.0,67,23,34.3%,21,23,34.3%,0,0.0%,2
5,7858.0,144,35,24.3%,35,38,26.4%,3,2.1%,0
6,6001.0,304,160,52.6%,132,171,56.3%,11,3.6%,28
7,6554.0,72,43,59.7%,37,45,62.5%,2,2.8%,6
8,29.0,106,91,85.8%,85,92,86.8%,1,0.9%,6
9,4664.0,63,37,58.7%,37,42,66.7%,5,7.9%,0
10,2795.0,383,243,63.4%,233,245,64.0%,2,0.5%,10
11,2794.0,685,369,53.9%,362,380,55.5%,11,1.6%,7
12,913.0,512,349,68.2%,309,370,72.3%,21,4.1%,40
13,7425.0,7,1,14.3%,1,1,14.3%,0,0.0%,0
14,6555.0,188,121,64.4%,105,125,66.5%,4,2.1%,16
15,2725.0,113,89,78.8%,86,91,80.5%,2,1.8%,3
16,820.0,77,44,57.1%,43,49,63.6%,5,6.5%,1
17,2320.0,80,63,78.8%,56,64,80.0%,1,1.3%,7
18,582.0,54,33,61.1%,28,35,64.8%,2,3.7%,5
19,6575.0,88,65,73.9%,64,69,78.4%,4,4.5%,1
20,596.0,136,99,72.8%,92,103,75.7%,4,2.9%,7
21,7640.0,77,56,72.7%,51,57,74.0%,1,1.3%,5
22,958.0,173,117,67.6%,117,123,71.1%,6,3.5%,0
23,6222.0,22,11,50.0%,11,12,54.5%,1,4.5%,0
24,4165.0,41,24,58.5%,24,29,70.7%,5,12.2%,0
25,7721.0,42,29,69.0%,29,29,69.0%,0,0.0%,0
26,1367.0,383,315,82.2%,314,332,86.7%,17,4.4%,1
27,5199.0,65,57,87.7%,54,57,87.7%,0,0.0%,3
28,1335.0,169,100,59.2%,86,103,60.9%,3,1.8%,14
29,50.0,354,309,87.3%,277,317,89.5%,8,2.3%,32
30,3434.0,257,200,77.8%,196,201,78.2%,1,0.4%,4
31,7847.0,14,11,78.6%,9,12,85.7%,1,7.1%,2
32,640.0,169,143,84.6%,133,143,84.6%,0,0.0%,10
33,726.0,153,89,58.2%,87,94,61.4%,5,3.3%,2
34,742.0,27,17,63.0%,16,17,63.0%,0,0.0%,1
35,4930.0,263,212,80.6%,192,212,80.6%,0,0.0%,20
36,1343.0,246,185,75.2%,159,186,75.6%,1,0.4%,26
37,917.0,100,63,63.0%,63,69,69.0%,6,6.0%,0
38,5116.0,479,393,82.0%,378,410,85.6%,17,3.5%,15
39,1595.0,70,55,78.6%,55,56,80.0%,1,1.4%,0
40,4188.0,90,76,84.4%,65,77,85.6%,1,1.1%,11
41,6207.0,63,41,65.1%,41,41,65.1%,0,0.0%,0
42,3.0,156,114,73.1%,94,119,76.3%,5,3.2%,20
43,1605.0,212,169,79.7%,162,172,81.1%,3,1.4%,7
44,62.0,371,353,95.1%,341,357,96.2%,4,1.1%,12
45,4957.0,504,445,88.3%,435,457,90.7%,12,2.4%,10
46,3465.0,638,539,84.5%,529,544,85.3%,5,0.8%,10
47,4181.0,96,71,74.0%,59,74,77.1%,3,3.1%,12
48,649.0,128,96,75.0%,80,97,75.8%,1,0.8%,16
49,1677.0,249,147,59.0%,138,166,66.7%,19,7.6%,9
50,6707.0,226,177,78.3%,177,196,86.7%,19,8.4%,0
51,5135.0,68,42,61.8%,42,46,67.6%,4,5.9%,0
52,4706.0,88,72,81.8%,64,73,83.0%,1,1.1%,8
53,2353.0,67,52,77.6%,43,53,79.1%,1,1.5%,9
54,1612.0,108,85,78.7%,82,88,81.5%,3,2.8%,3
55,3891.0,224,177,79.0%,156,178,79.5%,1,0.4%,21
56,4034.0,96,71,74.0%,70,75,78.1%,4,4.2%,1
57,6306.0,531,381,71.8%,348,381,71.8%,0,0.0%,33
58,4691.0,243,183,75.3%,171,185,76.1%,2,0.8%,12
59,6308.0,165,119,72.1%,110,120,72.7%,1,0.6%,9
60,70.0,116,94,81.0%,83,94,81.0%,0,0.0%,11
61,1014.0,89,55,61.8%,55,65,73.0%,10,11.2%,0
62,1029.0,422,282,66.8%,255,301,71.3%,19,4.5%,27
63,2362.0,80,57,71.3%,49,60,75.0%,3,3.8%,8
64,6162.0,136,72,52.9%,68,86,63.2%,14,10.3%,4
65,4818.0,128,69,53.9%,59,69,53.9%,0,0.0%,10
66,1030.0,343,187,54.5%,177,194,56.6%,7,2.0%,10
67,4195.0,114,80,70.2%,80,86,75.4%,6,5.3%,0
68,4340.0,142,115,81.0%,106,117,82.4%,2,1.4%,9
69,1147.0,588,472,80.3%,453,489,83.2%,17,2.9%,19
70,4203.0,68,57,83.8%,51,60,88.2%,3,4.4%,6
71,5212.0,119,84,70.6%,76,88,73.9%,4,3.4%,8
72,1299.0,63,49,77.8%,44,50,79.4%,1,1.6%,5
73,1682.0,109,100,91.7%,98,100,91.7%,0,0.0%,2
74,4217.0,306,249,81.4%,240,250,81.7%,1,0.3%,9
75,988.0,91,67,73.6%,65,69,75.8%,2,2.2%,2
76,4870.0,76,27,35.5%,22,28,36.8%,1,1.3%,5
77,2420.0,95,74,77.9%,63,74,77.9%,0,0.0%,11
78,7577.0,50,18,36.0%,17,25,50.0%,7,14.0%,1
79,1694.0,322,226,70.2%,207,226,70.2%,0,0.0%,19
80,79.0,112,93,83.0%,79,93,83.0%,0,0.0%,14
81,7112.0,74,50,67.6%,46,50,67.6%,0,0.0%,4
82,2798.0,112,89,79.5%,87,89,79.5%,0,0.0%,2
83,1040.0,477,412,86.4%,408,427,89.5%,15,3.1%,4
84,654.0,167,154,92.2%,154,154,92.2%,0,0.0%,0
85,7293.0,171,80,46.8%,78,81,47.4%,1,0.6%,2
86,7726.0,22,16,72.7%,16,19,86.4%,3,13.6%,0
87,5133.0,507,474,93.5%,470,477,94.1%,3,0.6%,4
88,7790.0,569,531,93.3%,530,539,94.7%,8,1.4%,1
89,1043.0,453,408,90.1%,403,408,90.1%,0,0.0%,5
90,1208.0,164,128,78.0%,117,134,81.7%,6,3.7%,11
91,1619.0,157,133,84.7%,125,134,85.4%,1,0.6%,8
92,1746.0,411,296,72.0%,277,313,76.2%,17,4.1%,19
93,1745.0,451,391,86.7%,381,401,88.9%,10,2.2%,10
94,6252.0,66,42,63.6%,40,45,68.2%,3,4.5%,2
95,5118.0,154,113,73.4%,99,117,76.0%,4,2.6%,14
96,7720.0,20,9,45.0%,9,12,60.0%,3,15.0%,0
97,4545.0,386,325,84.2%,305,335,86.8%,10,2.6%,20
98,2191.0,591,311,52.6%,288,317,53.6%,6,1.0%,23
99,4715.0,125,93,74.4%,78,94,75.2%,1,0.8%,15
100,7578.0,135,126,93.3%,125,126,93.3%,0,0.0%,1
101,6706.0,262,238,90.8%,237,241,92.0%,3,1.1%,1
102,4235.0,91,68,74.7%,61,68,74.7%,0,0.0%,7
103,3260.0,403,386,95.8%,374,388,96.3%,2,0.5%,12
104,6492.0,414,152,36.7%,150,152,36.7%,0,0.0%,2
105,732.0,131,84,64.1%,72,89,67.9%,5,3.8%,12
106,1849.0,261,139,53.3%,136,171,65.5%,32,12.3%,3
107,7727.0,87,71,81.6%,70,76,87.4%,5,5.7%,1
108,7156.0,53,41,77.4%,41,41,77.4%,0,0.0%,0
109,1475.0,86,72,83.7%,72,76,88.4%,4,4.7%,0
110,1480.0,72,48,66.7%,45,49,68.1%,1,1.4%,3
111,921.0,68,43,63.2%,36,46,67.6%,3,4.4%,7
112,6236.0,226,153,67.7%,136,161,71.2%,8,3.5%,17
113,5012.0,534,351,65.7%,350,411,77.0%,60,11.2%,1
114,7989.0,17,3,17.6%,3,4,23.5%,1,5.9%,0
115,6290.0,301,163,54.2%,136,167,55.5%,4,1.3%,27
116,7628.0,18,18,100.0%,18,18,100.0%,0,0.0%,0
117,3333.0,441,394,89.3%,385,397,90.0%,3,0.7%,9
118,2515.0,109,61,56.0%,56,68,62.4%,7,6.4%,5
119,5178.0,154,63,40.9%,55,65,42.2%,2,1.3%,8
120,6122.0,51,34,66.7%,30,38,74.5%,4,7.8%,4
121,7774.0,91,41,45.1%,41,51,56.0%,10,11.0%,0
122,7510.0,114,72,63.2%,72,87,76.3%,15,13.2%,0
123,3978.0,105,69,65.7%,61,72,68.6%,3,2.9%,8
124,5136.0,62,44,71.0%,41,45,72.6%,1,1.6%,3
125,2532.0,252,204,81.0%,154,212,84.1%,8,3.2%,50
126,17.0,274,181,66.1%,156,184,67.2%,3,1.1%,25
127,1637.0,82,43,52.4%,43,50,61.0%,7,8.5%,0
128,1639.0,44,25,56.8%,25,25,56.8%,0,0.0%,0
129,1644.0,79,50,63.3%,45,51,64.6%,1,1.3%,5
130,6643.0,85,22,25.9%,11,22,25.9%,0,0.0%,11
131,5228.0,309,205,66.3%,195,221,71.5%,16,5.2%,10
132,777.0,251,205,81.7%,184,215,85.7%,10,4.0%,21
133,6946.0,55,49,89.1%,49,49,89.1%,0,0.0%,0
134,4800.0,383,293,76.5%,293,293,76.5%,0,0.0%,0
135,1998.0,186,101,54.3%,101,102,54.8%,1,0.5%,0
136,3869.0,70,49,70.0%,47,51,72.9%,2,2.9%,2
137,5096.0,555,521,93.9%,520,522,94.1%,1,0.2%,1
138,7749.0,531,445,83.8%,445,449,84.6%,4,0.8%,0
139,4098.0,107,61,57.0%,45,62,57.9%,1,0.9%,16
140,1632.0,76,40,52.6%,35,40,52.6%,0,0.0%,5
141,1654.0,219,123,56.2%,110,126,57.5%,3,1.4%,13
142,2860.0,272,234,86.0%,230,236,86.8%,2,0.7%,4
143,7624.0,47,4,8.5%,1,4,8.5%,0,0.0%,3
144,1701.0,588,468,79.6%,460,480,81.6%,12,2.0%,8
145,1529.0,107,75,70.1%,69,79,73.8%,4,3.7%,6
146,2869.0,213,190,89.2%,190,192,90.1%,2,0.9%,0
147,4553.0,380,288,75.8%,267,299,78.7%,11,2.9%,21
148,4810.0,262,196,74.8%,185,197,75.2%,1,0.4%,11
149,3425.0,202,164,81.2%,146,165,81.7%,1,0.5%,18
150,5278.0,239,107,44.8%,87,112,46.9%,5,2.1%,20
151,513.0,153,125,81.7%,125,130,85.0%,5,3.3%,0
152,7671.0,127,0,0.0%,0,0,0.0%,0,0.0%,0
153,5261.0,450,374,83.1%,369,390,86.7%,16,3.6%,5
154,4352.0,215,174,80.9%,149,176,81.9%,2,0.9%,25
155,4801.0,301,262,87.0%,262,262,87.0%,0,0.0%,0
156,2539.0,203,115,56.7%,114,126,62.1%,11,5.4%,1
157,4558.0,217,155,71.4%,143,162,74.7%,7,3.2%,12
158,7759.0,471,445,94.5%,440,446,94.7%,1,0.2%,5
159,1387.0,428,388,90.7%,386,389,90.9%,1,0.2%,2
160,7550.0,27,0,0.0%,0,1,3.7%,1,3.7%,0
161,6156.0,268,177,66.0%,162,187,69.8%,10,3.7%,15
162,2429.0,160,141,88.1%,136,141,88.1%,0,0.0%,5
163,5193.0,132,91,68.9%,83,95,72.0%,4,3.0%,8
164,6364.0,123,96,78.0%,96,96,78.0%,0,0.0%,0
