,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,139,82,58.99%,81,58.27%,87,62.59%,5,3.60%,1
2,17.0,289,190,65.74%,190,65.74%,190,65.74%,0,0.00%,0
4,6269.0,82,27,32.93%,26,31.71%,27,32.93%,0,0.00%,1
6,6271.0,202,142,70.30%,136,67.33%,154,76.24%,12,5.94%,6
8,14.0,145,92,63.45%,83,57.24%,98,67.59%,6,4.14%,9
10,21.0,134,92,68.66%,92,68.66%,96,71.64%,4,2.99%,0
12,7727.0,118,88,74.58%,88,74.58%,92,77.97%,4,3.39%,0
13,7846.0,18,5,27.78%,5,27.78%,6,33.33%,1,5.56%,0
14,7562.0,37,25,67.57%,23,62.16%,28,75.68%,3,8.11%,2
15,8308.0,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
16,409.0,351,51,14.53%,51,14.53%,53,15.10%,2,0.57%,0
17,412.0,150,17,11.33%,14,9.33%,19,12.67%,2,1.33%,3
18,416.0,90,55,61.11%,52,57.78%,59,65.56%,4,4.44%,3
19,6047.0,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
20,6664.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
21,6811.0,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
22,6915.0,298,22,7.38%,22,7.38%,28,9.40%,6,2.01%,0
23,8105.0,117,1,0.85%,1,0.85%,1,0.85%,0,0.00%,0
24,8106.0,129,106,82.17%,106,82.17%,108,83.72%,2,1.55%,0
25,8107.0,77,1,1.30%,1,1.30%,1,1.30%,0,0.00%,0
26,8110.0,45,11,24.44%,11,24.44%,12,26.67%,1,2.22%,0
27,8203.0,85,52,61.18%,51,60.00%,57,67.06%,5,5.88%,1
28,8300.0,20,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
30,7772.0,29,21,72.41%,21,72.41%,27,93.10%,6,20.69%,0
31,7832.0,5,3,60.00%,3,60.00%,5,100.00%,2,40.00%,0
33,29.0,64,43,67.19%,37,57.81%,43,67.19%,0,0.00%,6
34,5199.0,114,104,91.23%,104,91.23%,104,91.23%,0,0.00%,0
36,315.0,345,278,80.58%,278,80.58%,282,81.74%,4,1.16%,0
38,50.0,364,283,77.75%,283,77.75%,304,83.52%,21,5.77%,0
40,62.0,336,292,86.90%,292,86.90%,292,86.90%,0,0.00%,0
42,70.0,90,57,63.33%,56,62.22%,60,66.67%,3,3.33%,1
44,79.0,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
45,6706.0,255,175,68.63%,173,67.84%,176,69.02%,1,0.39%,2
47,8094.0,34,16,47.06%,16,47.06%,16,47.06%,0,0.00%,0
49,8087.0,49,34,69.39%,33,67.35%,38,77.55%,4,8.16%,1
50,513.0,115,72,62.61%,71,61.74%,72,62.61%,0,0.00%,1
51,8340.0,123,90,73.17%,71,57.72%,92,74.80%,2,1.63%,19
53,144.0,158,111,70.25%,111,70.25%,114,72.15%,3,1.90%,0
55,7648.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
56,156.0,341,272,79.77%,272,79.77%,272,79.77%,0,0.00%,0
57,170.0,231,151,65.37%,148,64.07%,154,66.67%,3,1.30%,3
59,5190.0,230,214,93.04%,213,92.61%,214,93.04%,0,0.00%,1
60,5153.0,150,94,62.67%,88,58.67%,100,66.67%,6,4.00%,6
62,5112.0,140,95,67.86%,89,63.57%,101,72.14%,6,4.29%,6
