,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,102,80,78.4%,66,86,84.3%,6,5.9%,14
1,5091.0,269,228,84.8%,218,233,86.6%,5,1.9%,10
2,3241.0,612,542,88.6%,536,553,90.4%,11,1.8%,6
3,7846.0,56,26,46.4%,22,30,53.6%,4,7.1%,4
4,7824.0,58,0,0.0%,0,0,0.0%,0,0.0%,0
5,7858.0,251,163,64.9%,143,169,67.3%,6,2.4%,20
6,6001.0,273,152,55.7%,123,160,58.6%,8,2.9%,29
7,8086.0,65,35,53.8%,31,39,60.0%,4,6.2%,4
8,29.0,103,91,88.3%,90,91,88.3%,0,0.0%,1
9,4664.0,89,58,65.2%,53,59,66.3%,1,1.1%,5
10,2795.0,363,279,76.9%,267,285,78.5%,6,1.7%,12
11,2794.0,644,336,52.2%,336,336,52.2%,0,0.0%,0
12,913.0,524,363,69.3%,328,391,74.6%,28,5.3%,35
13,7425.0,4,1,25.0%,1,1,25.0%,0,0.0%,0
14,6555.0,211,150,71.1%,138,152,72.0%,2,0.9%,12
15,2725.0,137,101,73.7%,98,105,76.6%,4,2.9%,3
16,820.0,90,64,71.1%,58,68,75.6%,4,4.4%,6
17,2320.0,109,82,75.2%,69,85,78.0%,3,2.8%,13
18,8122.0,9,7,77.8%,6,7,77.8%,0,0.0%,1
19,6575.0,71,60,84.5%,58,61,85.9%,1,1.4%,2
20,596.0,135,93,68.9%,93,94,69.6%,1,0.7%,0
21,7640.0,76,47,61.8%,46,51,67.1%,4,5.3%,1
22,958.0,209,143,68.4%,143,149,71.3%,6,2.9%,0
23,6222.0,15,9,60.0%,9,9,60.0%,0,0.0%,0
24,4165.0,51,39,76.5%,31,40,78.4%,1,2.0%,8
25,7721.0,37,22,59.5%,22,26,70.3%,4,10.8%,0
26,1367.0,418,357,85.4%,350,361,86.4%,4,1.0%,7
27,5199.0,91,69,75.8%,68,73,80.2%,4,4.4%,1
28,1335.0,165,102,61.8%,88,105,63.6%,3,1.8%,14
29,50.0,351,328,93.4%,302,332,94.6%,4,1.1%,26
30,3434.0,280,214,76.4%,205,218,77.9%,4,1.4%,9
31,7847.0,11,8,72.7%,7,8,72.7%,0,0.0%,1
