,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,149,79,53.02%,73,48.99%,83,55.70%,4,2.68%,6
1,9999.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2,17.0,278,177,63.67%,177,63.67%,184,66.19%,7,2.52%,0
3,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4,6269.0,76,48,63.16%,44,57.89%,49,64.47%,1,1.32%,4
5,6271.0,202,146,72.28%,143,70.79%,153,75.74%,7,3.47%,3
6,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
7,14.0,165,113,68.48%,100,60.61%,114,69.09%,1,0.61%,13
8,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
9,21.0,105,70,66.67%,66,62.86%,74,70.48%,4,3.81%,4
10,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
11,7727.0,123,94,76.42%,93,75.61%,98,79.67%,4,3.25%,1
12,7846.0,21,15,71.43%,5,23.81%,15,71.43%,0,0.00%,10
13,7562.0,34,31,91.18%,31,91.18%,31,91.18%,0,0.00%,0
14,8308.0,99,35,35.35%,35,35.35%,40,40.40%,5,5.05%,0
15,409.0,296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
16,412.0,186,138,74.19%,126,67.74%,147,79.03%,9,4.84%,12
17,416.0,98,2,2.04%,2,2.04%,2,2.04%,0,0.00%,0
18,6047.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
19,6664.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
20,6811.0,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
21,6915.0,298,220,73.83%,214,71.81%,230,77.18%,10,3.36%,6
22,8105.0,103,4,3.88%,4,3.88%,4,3.88%,0,0.00%,0
23,8106.0,129,117,90.70%,117,90.70%,120,93.02%,3,2.33%,0
24,8107.0,88,2,2.27%,2,2.27%,2,2.27%,0,0.00%,0
25,8110.0,88,1,1.14%,1,1.14%,1,1.14%,0,0.00%,0
26,8203.0,87,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
27,8300.0,25,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
28,9999.0,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
29,7772.0,29,26,89.66%,25,86.21%,28,96.55%,2,6.90%,1
30,29.0,72,51,70.83%,49,68.06%,51,70.83%,0,0.00%,2
31,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
32,5199.0,120,109,90.83%,106,88.33%,109,90.83%,0,0.00%,3
33,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0
34,315.0,355,318,89.58%,318,89.58%,319,89.86%,1,0.28%,0
35,9999.0,6,1,16.67%,1,16.67%,1,16.67%,0,0.00%,0
36,50.0,326,259,79.45%,249,76.38%,267,81.90%,8,2.45%,10
37,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
38,62.0,371,310,83.56%,310,83.56%,310,83.56%,0,0.00%,0
39,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
