,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
0,3.0,122,53,43.44%,50,40.98%,57,46.72%,4,3.28%,3,2.46%
1,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
2,,123,53,43.09%,50,40.65%,57,46.34%,4,3.25%,3,2.44%
3,17.0,273,137,50.18%,134,49.08%,148,54.21%,11,4.03%,3,1.10%
4,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
5,,275,138,50.18%,135,49.09%,149,54.18%,11,4.00%,3,1.09%
6,6269.0,72,38,52.78%,38,52.78%,42,58.33%,4,5.56%,0,0.00%
7,,72,38,52.78%,38,52.78%,42,58.33%,4,5.56%,0,0.00%
8,6271.0,231,141,61.04%,141,61.04%,147,63.64%,6,2.60%,0,0.00%
9,,231,141,61.04%,141,61.04%,147,63.64%,6,2.60%,0,0.00%
10,14.0,136,72,52.94%,72,52.94%,75,55.15%,3,2.21%,0,0.00%
11,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
12,,140,72,51.43%,72,51.43%,75,53.57%,3,2.14%,0,0.00%
13,21.0,122,63,51.64%,63,51.64%,63,51.64%,0,0.00%,0,0.00%
14,,122,63,51.64%,63,51.64%,63,51.64%,0,0.00%,0,0.00%
15,,963,505,52.44%,499,51.82%,533,55.35%,28,2.91%,6,0.62%
16,7727.0,106,81,76.42%,76,71.70%,81,76.42%,0,0.00%,5,4.72%
17,,106,81,76.42%,76,71.70%,81,76.42%,0,0.00%,5,4.72%
18,7846.0,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
19,,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
20,7562.0,22,11,50.00%,7,31.82%,12,54.55%,1,4.55%,4,18.18%
21,,22,11,50.00%,7,31.82%,12,54.55%,1,4.55%,4,18.18%
22,8308.0,91,32,35.16%,32,35.16%,41,45.05%,9,9.89%,0,0.00%
23,,91,32,35.16%,32,35.16%,41,45.05%,9,9.89%,0,0.00%
24,409.0,337,245,72.70%,244,72.40%,256,75.96%,11,3.26%,1,0.30%
25,412.0,112,67,59.82%,66,58.93%,68,60.71%,1,0.89%,1,0.89%
26,416.0,75,54,72.00%,52,69.33%,56,74.67%,2,2.67%,2,2.67%
27,6047.0,12,2,16.67%,2,16.67%,2,16.67%,0,0.00%,0,0.00%
28,6664.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
29,6811.0,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
30,6915.0,250,95,38.00%,95,38.00%,96,38.40%,1,0.40%,0,0.00%
31,8105.0,88,5,5.68%,5,5.68%,5,5.68%,0,0.00%,0,0.00%
32,8106.0,126,110,87.30%,110,87.30%,115,91.27%,5,3.97%,0,0.00%
33,8107.0,97,79,81.44%,79,81.44%,79,81.44%,0,0.00%,0,0.00%
34,8110.0,40,10,25.00%,8,20.00%,10,25.00%,0,0.00%,2,5.00%
35,8203.0,85,27,31.76%,26,30.59%,27,31.76%,0,0.00%,1,1.18%
36,8300.0,23,19,82.61%,18,78.26%,19,82.61%,0,0.00%,1,4.35%
37,9999.0,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
38,,"1,265",714,56.44%,706,55.81%,734,58.02%,20,1.58%,8,0.63%
39,7772.0,25,24,96.00%,22,88.00%,24,96.00%,0,0.00%,2,8.00%
40,,25,24,96.00%,22,88.00%,24,96.00%,0,0.00%,2,8.00%
41,7832.0,35,26,74.29%,23,65.71%,28,80.00%,2,5.71%,3,8.57%
42,,35,26,74.29%,23,65.71%,28,80.00%,2,5.71%,3,8.57%
43,29.0,60,45,75.00%,35,58.33%,45,75.00%,0,0.00%,10,16.67%
44,,60,45,75.00%,35,58.33%,45,75.00%,0,0.00%,10,16.67%
45,5199.0,112,89,79.46%,87,77.68%,89,79.46%,0,0.00%,2,1.79%
46,,112,89,79.46%,87,77.68%,89,79.46%,0,0.00%,2,1.79%
47,315.0,345,296,85.80%,296,85.80%,299,86.67%,3,0.87%,0,0.00%
48,,345,296,85.80%,296,85.80%,299,86.67%,3,0.87%,0,0.00%
49,50.0,339,236,69.62%,236,69.62%,239,70.50%,3,0.88%,0,0.00%
50,9999.0,14,0,0.00%,0,0.00%,2,14.29%,2,14.29%,0,0.00%
51,,353,236,66.86%,236,66.86%,241,68.27%,5,1.42%,0,0.00%
52,62.0,338,270,79.88%,270,79.88%,270,79.88%,0,0.00%,0,0.00%
53,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
54,,339,270,79.65%,270,79.65%,270,79.65%,0,0.00%,0,0.00%
55,70.0,101,69,68.32%,61,60.40%,74,73.27%,5,4.95%,8,7.92%
56,,101,69,68.32%,61,60.40%,74,73.27%,5,4.95%,8,7.92%
57,79.0,76,44,57.89%,44,57.89%,45,59.21%,1,1.32%,0,0.00%
58,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
59,,78,44,56.41%,44,56.41%,45,57.69%,1,1.28%,0,0.00%
60,6706.0,266,193,72.56%,190,71.43%,198,74.44%,5,1.88%,3,1.13%
61,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
62,,268,193,72.01%,190,70.90%,198,73.88%,5,1.87%,3,1.12%
63,8094.0,45,20,44.44%,20,44.44%,20,44.44%,0,0.00%,0,0.00%
64,,45,20,44.44%,20,44.44%,20,44.44%,0,0.00%,0,0.00%
65,8087.0,36,18,50.00%,18,50.00%,22,61.11%,4,11.11%,0,0.00%
66,,36,18,50.00%,18,50.00%,22,61.11%,4,11.11%,0,0.00%
67,513.0,136,93,68.38%,90,66.18%,95,69.85%,2,1.47%,3,2.21%
68,9999.0,3,0,0.00%,0,0.00%,1,33.33%,1,33.33%,0,0.00%
69,,139,93,66.91%,90,64.75%,96,69.06%,3,2.16%,3,2.16%
70,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
71,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
72,8340.0,95,46,48.42%,45,47.37%,53,55.79%,7,7.37%,1,1.05%
73,9999.0,8,2,25.00%,2,25.00%,2,25.00%,0,0.00%,0,0.00%
74,,103,48,46.60%,47,45.63%,55,53.40%,7,6.80%,1,0.97%
75,144.0,182,117,64.29%,116,63.74%,117,64.29%,0,0.00%,1,0.55%
76,9999.0,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
77,,183,118,64.48%,117,63.93%,118,64.48%,0,0.00%,1,0.55%
78,7648.0,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
79,,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
80,156.0,326,270,82.82%,264,80.98%,271,83.13%,1,0.31%,6,1.84%
81,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
82,,327,270,82.57%,264,80.73%,271,82.87%,1,0.31%,6,1.83%
83,170.0,257,140,54.47%,138,53.70%,142,55.25%,2,0.78%,2,0.78%
84,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
85,,262,140,53.44%,138,52.67%,142,54.20%,2,0.76%,2,0.76%
86,5190.0,206,161,78.16%,161,78.16%,165,80.10%,4,1.94%,0,0.00%
87,,206,161,78.16%,161,78.16%,165,80.10%,4,1.94%,0,0.00%
88,5153.0,143,95,66.43%,87,60.84%,98,68.53%,3,2.10%,8,5.59%
89,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
90,,145,95,65.52%,87,60.00%,98,67.59%,3,2.07%,8,5.52%
