county,AUN,LEA,School Number,School,Total Graduates,2- or 4-Year College or University,2- or 4-Year College or University %,Specialized Associate Degree-Granting Institution,Specialized Associate Degree-Granting Institution %,Total College-Bound,Total College-Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Total Postsecondary Bound,Total Postsecondary Bound %
Chester,124150002,21st Century Cyber CS,7691,21st Century Cyber CS,71,50,70.4%,0,0.0%,50,70.4%,12,16.9%,62,87.3%
Montgomery,123460302,Abington  SD,3241,Abington SHS,580,508,87.6%,8,1.4%,516,89.0%,5,0.9%,521,89.8%
Lackawanna,119350303,Abington Heights SD,5091,Abington Heights HS,315,259,82.2%,11,3.5%,270,85.7%,6,1.9%,276,87.6%
Allegheny,102020003,Academy CS,7846,Academy CS,33,1,3.0%,3,9.1%,4,12.1%,2,6.1%,6,18.2%
Montgomery,125230001,Achievement House CS,7824,Achievement House CS,81,15,18.5%,4,4.9%,19,23.5%,4,4.9%,23,28.4%
Chester,126510020,Agora Cyber CS,7858,Agora Cyber CS,30,9,30.0%,1,3.3%,10,33.3%,0,0.0%,10,33.3%
Fayette,101260303,Albert Gallatin Area SD,6001,Albert Gallatin Area SHS,243,111,45.7%,17,7.0%,128,52.7%,20,8.2%,148,60.9%
Beaver,127040503,Aliquippa SD,6554,Aliquippa SHS,89,47,52.8%,8,9.0%,55,61.8%,6,6.7%,61,68.5%
Allegheny,103020603,Allegheny Valley SD,0029,Springdale JSHS,98,82,83.7%,3,3.1%,85,86.7%,4,4.1%,89,90.8%
Clarion,106160303,Allegheny-Clarion Valley SD,4664,Allegheny-Clarion Valley HS,86,34,39.5%,5,5.8%,39,45.3%,9,10.5%,48,55.8%
Lehigh,121390302,Allentown City SD,2795,Louis E Dieruff HS,387,254,65.6%,6,1.6%,260,67.2%,5,1.3%,265,68.5%
Lehigh,121390302,Allentown City SD,2794,William Allen HS,693,395,57.0%,4,0.6%,399,57.6%,9,1.3%,408,58.9%
Blair,108070502,Altoona Area SD,0913,Altoona Area HS,512,299,58.4%,23,4.5%,322,62.9%,21,4.1%,343,67.0%
Blair,108070502,Altoona Area SD,7425,Kimmel Alternative School,5,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Beaver,127040703,Ambridge Area SD,6555,Ambridge Area HS,190,137,72.1%,11,5.8%,148,77.9%,4,2.1%,152,80.0%
Lebanon,113380303,Annville-Cleona SD,2725,Annville Cleona JSHS,108,77,71.3%,0,0.0%,77,71.3%,5,4.6%,82,75.9%
Berks,114060503,Antietam SD,0820,Antietam MS/HS,98,69,70.4%,1,1.0%,70,71.4%,6,6.1%,76,77.6%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,91,62,68.1%,6,6.6%,68,74.7%,3,3.3%,71,78.0%
Philadelphia,126513190,Architecture and Design CHS,7578,Architecture and Design CHS,131,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Armstrong,128030852,Armstrong SD,0582,Elderton JSHS,48,30,62.5%,7,14.6%,37,77.1%,0,0.0%,37,77.1%
Armstrong,128030852,Armstrong SD,6575,Ford City JSHS,98,74,75.5%,7,7.1%,81,82.7%,2,2.0%,83,84.7%
Armstrong,128030852,Armstrong SD,0596,Kittanning SHS,132,104,78.8%,0,0.0%,104,78.8%,1,0.8%,105,79.5%
Armstrong,128030852,Armstrong SD,7640,West Shamokin JSHS,73,47,64.4%,3,4.1%,50,68.5%,3,4.1%,53,72.6%
Bradford,117080503,Athens Area SD,0958,Athens Area HS,205,119,58.0%,4,2.0%,123,60.0%,4,2.0%,127,62.0%
Potter,109530304,Austin Area SD,6222,Austin Area JSHS,18,8,44.4%,0,0.0%,8,44.4%,1,5.6%,9,50.0%
Washington,101630504,Avella Area SD,4165,Avella Area JSHS,62,39,62.9%,0,0.0%,39,62.9%,8,12.9%,47,75.8%
Chester,124150003,Avon Grove CS,7721,Avon Grove CS,33,25,75.8%,0,0.0%,25,75.8%,0,0.0%,25,75.8%
Chester,124150503,Avon Grove SD,1367,Avon Grove HS,421,328,77.9%,0,0.0%,328,77.9%,17,4.0%,345,81.9%
Allegheny,103020753,Avonworth SD,5199,Avonworth HS,91,74,81.3%,5,5.5%,79,86.8%,0,0.0%,79,86.8%
Centre,110141003,Bald Eagle Area SD,1335,Bald Eagle Area JSHS,162,87,53.7%,11,6.8%,98,60.5%,1,0.6%,99,61.1%
Allegheny,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,400,309,77.3%,23,5.8%,332,83.0%,15,3.8%,347,86.8%
Northampton,120480803,Bangor Area SD,3434,Bangor Area HS,309,190,61.5%,3,1.0%,193,62.5%,1,0.3%,194,62.8%
Beaver,127040001,Beaver Area Academic CS,7847,Beaver Area Academic CS,9,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Beaver,127041203,Beaver Area SD,0640,Beaver Area SHS,165,128,77.6%,0,0.0%,128,77.6%,6,3.6%,134,81.2%
Bedford,108051003,Bedford Area SD,0726,Bedford SHS,128,66,51.6%,1,0.8%,67,52.3%,5,3.9%,72,56.3%
Bedford,108051003,Bedford Area SD,0742,Hyndman MSHS,30,17,56.7%,0,0.0%,17,56.7%,2,6.7%,19,63.3%
Westmoreland,107650603,Belle Vernon Area SD,4930,Belle Vernon Area HS,239,168,70.3%,14,5.9%,182,76.2%,2,0.8%,184,77.0%
Centre,110141103,Bellefonte Area SD,1343,Bellefonte Area HS,255,174,68.2%,20,7.8%,194,76.1%,1,0.4%,195,76.5%
Blair,108071003,Bellwood-Antis SD,0917,Bellwood-Antis HS,102,67,65.7%,0,0.0%,67,65.7%,8,7.8%,75,73.5%
Bucks,122091002,Bensalem Township SD,5116,Bensalem Twp HS,466,334,71.7%,12,2.6%,346,74.2%,25,5.4%,371,79.6%
Columbia,116191004,Benton Area SD,1595,Benton Area MSHS,54,34,63.0%,1,1.9%,35,64.8%,2,3.7%,37,68.5%
Washington,101630903,Bentworth SD,4188,Bentworth SHS,92,60,65.2%,19,20.7%,79,85.9%,1,1.1%,80,87.0%
Somerset,108561003,Berlin Brothersvalley SD,6207,Berlin Brothersvalley SHS,82,56,68.3%,4,4.9%,60,73.2%,0,0.0%,60,73.2%
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,154,76,49.4%,23,14.9%,99,64.3%,2,1.3%,101,65.6%
Columbia,116191103,Berwick Area SD,1605,Berwick Area HS,208,144,69.2%,4,1.9%,148,71.2%,2,1.0%,150,72.1%
Allegheny,103021252,Bethel Park SD,0062,Bethel Park SHS,460,442,96.1%,11,2.4%,453,98.5%,1,0.2%,454,98.7%
Northampton,120481002,Bethlehem Area SD,4957,Freedom HS,468,389,83.1%,18,3.8%,407,87.0%,2,0.4%,409,87.4%
Northampton,120481002,Bethlehem Area SD,3465,Liberty HS,655,535,81.7%,17,2.6%,552,84.3%,1,0.2%,553,84.4%
Washington,101631003,Bethlehem-Center SD,4181,Bethlehem-Center SHS,95,49,51.6%,14,14.7%,63,66.3%,2,2.1%,65,68.4%
Beaver,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,147,93,63.3%,19,12.9%,112,76.2%,2,1.4%,114,77.6%
Cumberland,115210503,Big Spring SD,1677,Big Spring HS,208,120,57.7%,3,1.4%,123,59.1%,13,6.3%,136,65.4%
Beaver,127041603,Blackhawk SD,6707,Blackhawk HS,223,157,70.4%,0,0.0%,157,70.4%,19,8.5%,176,78.9%
Cambria,108110603,Blacklick Valley SD,5135,Blacklick Valley JSHS,46,28,60.9%,4,8.7%,32,69.6%,3,6.5%,35,76.1%
Indiana,128321103,Blairsville-Saltsburg SD,4706,Blairsville SHS,95,60,63.2%,10,10.5%,70,73.7%,3,3.2%,73,76.8%
Indiana,128321103,Blairsville-Saltsburg SD,2353,Saltsburg MS/HS,82,52,63.4%,9,11.0%,61,74.4%,3,3.7%,64,78.0%
Columbia,116191203,Bloomsburg Area SD,1612,Bloomsburg Area HS,99,73,73.7%,3,3.0%,76,76.8%,2,2.0%,78,78.8%
Schuylkill,129540803,Blue Mountain SD,3891,Blue Mountain HS,226,163,72.1%,8,3.5%,171,75.7%,12,5.3%,183,81.0%
Susquehanna,119581003,Blue Ridge SD,4034,Blue Ridge HS,76,52,68.4%,3,3.9%,55,72.4%,0,0.0%,55,72.4%
Berks,114060753,Boyertown Area SD,6306,Boyertown Area SHS,556,378,68.0%,22,4.0%,400,71.9%,12,2.2%,412,74.1%
McKean,109420803,Bradford Area SD,4691,Bradford Area HS,253,181,71.5%,8,3.2%,189,74.7%,10,4.0%,199,78.7%
Berks,114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,140,107,76.4%,2,1.4%,109,77.9%,1,0.7%,110,78.6%
Allegheny,103021453,Brentwood Borough SD,0070,Brentwood SHS,103,81,78.6%,0,0.0%,81,78.6%,5,4.9%,86,83.5%
Bucks,122091303,Bristol Borough SD,1014,Bristol HS,99,62,62.6%,5,5.1%,67,67.7%,2,2.0%,69,69.7%
Bucks,122091352,Bristol Township SD,1029,Truman SHS,352,260,73.9%,8,2.3%,268,76.1%,12,3.4%,280,79.5%
Jefferson,106330703,Brockway Area SD,2362,Brockway Area JSHS,67,39,58.2%,9,13.4%,48,71.6%,6,9.0%,54,80.6%
Jefferson,106330803,Brookville Area SD,6162,Brookville JSHS,140,82,58.6%,3,2.1%,85,60.7%,11,7.9%,96,68.6%
Fayette,101260803,Brownsville Area SD,4818,Brownsville Area HS,106,48,45.3%,8,7.5%,56,52.8%,0,0.0%,56,52.8%
Bucks,122091457,Bucks County Technical High School,1030,Bucks County Technical High School,312,195,62.5%,4,1.3%,199,63.8%,0,0.0%,199,63.8%
