county,AUN,LEA,LEA Type,School Number,School,Total Graduates,Total College-Bound,Total College-Bound %,2- or 4-Year College or University,2- or 4-Year College or University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree-Granting Institution,Specialized Associate Degree-Granting Institution %
Chester,124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,125,72,57.6%,72,57.6%,80,64.0%,8,6.4%,0,0.0%
Lackawanna,119350303,Abington Heights SD,SD,5091,Abington Heights HS,279,246,88.2%,239,85.7%,246,88.2%,0,0.0%,7,2.5%
Lackawanna,119350303,Abington Heights SD,SD,9999,Abington Heights SD,1,0,0.0%,0,0.0%,1,100.0%,1,100.0%,0,0.0%
Montgomery,123460302,Abington SD,SD,3241,Abington SHS,588,521,88.6%,518,88.1%,527,89.6%,6,1.0%,3,0.5%
Allegheny,102020003,Academy CS,CS,7846,Academy CS,48,21,43.8%,21,43.8%,24,50.0%,3,6.3%,0,0.0%
Chester,125230001,Achievement House CS,CS,7824,Achievement House CS,190,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Chester,126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,1022,458,44.8%,433,42.4%,509,49.8%,51,5.0%,25,2.4%
Fayette,101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,248,125,50.4%,91,36.7%,136,54.8%,11,4.4%,34,13.7%
Beaver,127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,73,42,57.5%,42,57.5%,49,67.1%,7,9.6%,0,0.0%
Allegheny,103020603,Allegheny Valley SD,SD,9999,Allegheny Valley SD,8,4,50.0%,3,37.5%,4,50.0%,0,0.0%,1,12.5%
Allegheny,103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,79,62,78.5%,59,74.7%,62,78.5%,0,0.0%,3,3.8%
Clarion,106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,71,51,71.8%,51,71.8%,53,74.6%,2,2.8%,0,0.0%
Lehigh,121390302,Allentown City SD,SD,9999,Allentown City SD,112,37,33.0%,34,30.4%,46,41.1%,9,8.0%,3,2.7%
Lehigh,121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,356,247,69.4%,232,65.2%,248,69.7%,1,0.3%,15,4.2%
Lehigh,121390302,Allentown City SD,SD,2794,William Allen HS,547,324,59.2%,310,56.7%,337,61.6%,13,2.4%,14,2.6%
Blair,108070502,Altoona Area SD,SD,0913,Altoona Area HS,500,310,62.0%,310,62.0%,332,66.4%,22,4.4%,0,0.0%
Blair,108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,4,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
