county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,160,102,63.75%,93,58.13%,107,66.88%,5,3.13%,9,5.63%
,112011603,Conewago Valley SD,0017,New Oxford SHS,277,209,75.45%,195,70.40%,217,78.34%,8,2.89%,14,5.05%
,,,9999,Conewago Valley SD,9,4,44.44%,3,33.33%,5,55.56%,1,11.11%,1,11.11%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,91,65,71.43%,61,67.03%,67,73.63%,2,2.20%,4,4.40%
,,,9999,Fairfield Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,222,167,75.23%,154,69.37%,173,77.93%,6,2.70%,13,5.86%
,,,9999,Gettysburg Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,154,81,52.60%,73,47.40%,89,57.79%,8,5.19%,8,5.19%
,,,9999,Littlestown Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,121,84,69.42%,78,64.46%,90,74.38%,6,4.96%,6,4.96%
,,,9999,Upper Adams SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,141,113,80.14%,111,78.72%,116,82.27%,3,2.13%,2,1.42%
,102020003,Academy CS,7846,Academy CS,25,11,44.00%,11,44.00%,11,44.00%,0,0.00%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,34,32,94.12%,32,94.12%,33,97.06%,1,2.94%,0,0.00%
