county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Associate Degree Granting Institution %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,147,99,67.35%,99,67.35%,105,71.43%,6,4.08%,0,0.00%
,,,9999,Bermudian Springs SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112011603,Conewago Valley SD,0017,New Oxford SHS,267,176,65.92%,167,62.55%,186,69.66%,10,3.75%,9,3.37%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,89,73,82.02%,73,82.02%,75,84.27%,2,2.25%,0,0.00%
,,,9999,Fairfield Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,263,201,76.43%,186,70.72%,205,77.95%,4,1.52%,15,5.70%
,,,9999,Gettysburg Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,155,105,67.74%,92,59.35%,107,69.03%,2,1.29%,13,8.39%
,,,9999,Littlestown Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,114,74,64.91%,69,60.53%,75,65.79%,1,0.88%,5,4.39%
,,,9999,Upper Adams SD,7,0,0.00%,0,0.00%,1,14.29%,1,14.29%,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,132,95,71.97%,91,68.94%,98,74.24%,3,2.27%,4,3.03%
,102020003,The New Academy CS,7846,Academy CS,15,7,46.67%,7,46.67%,10,66.67%,3,20.00%,0,0.00%
,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,41,37,90.24%,35,85.37%,39,95.12%,2,4.88%,2,4.88%
,102023217,Hill House Passport Academy Charter School,8308,Hill House Passport Academy Charter School,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,333,199,59.76%,198,59.46%,203,60.96%,4,1.20%,1,0.30%
,,,0412,Pittsburgh Carrick HS,148,114,77.03%,101,68.24%,118,79.73%,4,2.70%,13,8.78%
