county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,122,53,43.44%,50,40.98%,57,46.72%,4,3.28%,3,2.46%
,,,9999,Bermudian Springs SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Bermudian Springs SD,,,123,53,43.09%,50,40.65%,57,46.34%,4,3.25%,3,2.44%
,112011603,Conewago Valley SD,0017,New Oxford SHS,273,137,50.18%,134,49.08%,148,54.21%,11,4.03%,3,1.10%
,,,9999,Conewago Valley SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,,Conewago Valley SD,,,275,138,50.18%,135,49.09%,149,54.18%,11,4.00%,3,1.09%
,112013054,Fairfield Area SD,6269,Fairfield Area HS,72,38,52.78%,38,52.78%,42,58.33%,4,5.56%,0,0.00%
,,Fairfield Area SD,,,72,38,52.78%,38,52.78%,42,58.33%,4,5.56%,0,0.00%
,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,231,141,61.04%,141,61.04%,147,63.64%,6,2.60%,0,0.00%
,,Gettysburg Area SD,,,231,141,61.04%,141,61.04%,147,63.64%,6,2.60%,0,0.00%
,112015203,Littlestown Area SD,0014,Littlestown SHS,136,72,52.94%,72,52.94%,75,55.15%,3,2.21%,0,0.00%
,,,9999,Littlestown Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Littlestown Area SD,,,140,72,51.43%,72,51.43%,75,53.57%,3,2.14%,0,0.00%
,112018523,Upper Adams SD,0021,Biglerville HS,122,63,51.64%,63,51.64%,63,51.64%,0,0.00%,0,0.00%
,,Upper Adams SD,,,122,63,51.64%,63,51.64%,63,51.64%,0,0.00%,0,0.00%
