Schl,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,137,27.0,45.3,22.6,5.1,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,60,8.3,45.0,36.7,10.0,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,11,138,29.7,37.0,24.6,8.7,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,60,11.7,35.0,36.7,16.7,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,11,138,13.8,71.0,13.0,2.2,,
000000003,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,60,1.7,71.7,21.7,5.0,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,All Students,11,252,34.1,38.1,20.6,7.1,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,95,17.9,35.8,29.5,16.8,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,All Students,11,253,37.9,36.4,15.4,10.3,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,Historically Underperforming,11,94,19.1,35.1,22.3,23.4,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,All Students,11,256,12.9,59.8,19.9,7.4,,
000000017,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,Historically Underperforming,11,97,5.2,45.4,32.0,17.5,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,All Students,11,69,36.2,52.2,5.8,5.8,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,19,31.6,31.6,15.8,21.1,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,All Students,11,71,26.8,56.3,9.9,7.0,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,Historically Underperforming,11,19,15.8,52.6,5.3,26.3,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,All Students,11,69,10.1,72.5,11.6,5.8,,
000006269,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,Historically Underperforming,11,19,0.0,63.2,15.8,21.1,,
000006271,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,All Students,11,322,24.5,48.4,20.8,6.2,,
000006271,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,11,119,10.1,42.9,31.1,16.0,,
000006271,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,All Students,11,325,29.2,40.0,23.4,7.4,,
000006271,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,Historically Underperforming,11,121,12.4,35.5,36.4,15.7,,
000006271,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,All Students,11,325,11.4,71.1,12.9,4.6,,
