Grade,AUN,Schl,County,District Name,School Name,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,139,27.3,45.3,21.6,5.8
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,47,14.9,29.8,38.3,17.0
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,139,25.9,38.1,23.7,12.2
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,48,14.6,25.0,33.3,27.1
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,139,7.2,71.2,16.5,5.0
11,112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,48,2.1,52.1,33.3,12.5
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,All Students,270,28.5,43.7,23.3,4.4
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,Historically Underperforming,92,12.0,42.4,32.6,13.0
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,All Students,264,31.1,40.5,18.6,9.8
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,Historically Underperforming,90,8.9,47.8,23.3,20.0
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,All Students,264,7.6,62.5,23.5,6.4
11,112011603,000000017,Adams,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,Historically Underperforming,91,2.2,45.1,40.7,12.1
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,All Students,76,18.4,53.9,26.3,1.3
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,16,18.8,37.5,37.5,6.3
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,All Students,76,19.7,52.6,19.7,7.9
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,Historically Underperforming,16,18.8,37.5,18.8,25.0
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,All Students,76,10.5,63.2,23.7,2.6
11,112013054,000006269,Adams,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,Historically Underperforming,16,6.3,43.8,37.5,12.5
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,All Students,197,41.1,33.5,18.8,6.6
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,84,15.5,40.5,28.6,15.5
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,All Students,195,35.4,38.5,19.0,7.2
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,Historically Underperforming,81,13.6,38.3,30.9,17.3
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,All Students,194,21.6,63.9,10.3,4.1
11,112013753,000006271,Adams,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,Historically Underperforming,77,13.0,58.4,18.2,10.4
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,All Students,144,29.2,51.4,16.7,2.8
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,Historically Underperforming,121,32.2,49.6,15.7,2.5
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,All Students,144,39.6,43.1,12.5,4.9
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,Historically Underperforming,121,43.8,38.8,12.4,5.0
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,All Students,145,9.7,73.1,11.0,6.2
11,112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,Historically Underperforming,122,9.8,71.3,13.1,5.7
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,All Students,133,27.1,41.4,28.6,3.0
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,Historically Underperforming,57,10.5,36.8,45.6,7.0
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Biology,All Students,132,45.5,31.8,19.7,3.0
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Historically Underperforming,56,32.1,28.6,33.9,5.4
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,133,9.8,67.7,18.0,4.5
11,112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Historically Underperforming,57,3.5,54.4,31.6,10.5
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,All Students,6,,,,
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,4,,,,
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,All Students,5,,,,
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,4,,,,
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,All Students,6,,,,
11,103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,5,,,,
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,56,8.9,58.9,26.8,5.4
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,30,3.3,53.3,33.3,10.0
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,53,22.6,49.1,17.0,11.3
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,27,14.8,51.9,22.2,11.1
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,55,10.9,69.1,18.2,1.8
11,103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,29,13.8,58.6,24.1,3.4
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Algebra I,All Students,106,34.9,33.0,25.5,6.6
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Algebra I,Historically Underperforming,24,16.7,25.0,37.5,20.8
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Biology,All Students,113,23.9,38.1,24.8,13.3
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Biology,Historically Underperforming,26,0.0,26.9,38.5,34.6
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Literature,All Students,116,19.0,67.2,12.1,1.7
11,103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Literature,Historically Underperforming,26,3.8,61.5,26.9,7.7
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,358,16.5,51.4,23.7,8.4
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,142,9.2,37.3,38.0,15.5
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,360,28.9,43.3,19.7,8.1
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,145,11.7,38.6,31.7,17.9
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,354,14.1,64.4,15.5,5.9
11,103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,138,4.3,54.3,26.8,14.5
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Algebra I,All Students,329,27.7,52.9,16.7,2.7
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Algebra I,Historically Underperforming,67,16.4,34.3,37.3,11.9
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Biology,All Students,329,42.6,36.5,15.5,5.5
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Biology,Historically Underperforming,68,22.1,35.3,26.5,16.2
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Literature,All Students,329,16.7,71.7,9.1,2.4
11,103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Literature,Historically Underperforming,68,10.3,58.8,22.1,8.8
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,86,15.1,37.2,34.9,12.8
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,51,3.9,29.4,47.1,19.6
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,86,18.6,32.6,29.1,19.8
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,51,7.8,27.5,37.3,27.5
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,86,11.6,48.8,24.4,15.1
11,103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,51,3.9,41.2,33.3,21.6
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,97,15.5,49.5,26.8,8.2
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,52,11.5,38.5,36.5,13.5
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,97,26.8,53.6,13.4,6.2
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,52,21.2,46.2,21.2,11.5
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,96,24.0,51.0,17.7,7.3
11,103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Literature,Historically Underperforming,51,13.7,47.1,25.5,13.7
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,247,15.4,59.1,19.4,6.1
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,80,12.5,47.5,26.3,13.8
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,248,33.5,50.8,11.7,4.0
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,81,23.5,48.1,18.5,9.9
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,246,11.0,70.7,13.0,5.3
11,103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Historically Underperforming,82,6.1,61.0,20.7,12.2
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Algebra I,All Students,122,9.8,30.3,41.8,18.0
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Algebra I,Historically Underperforming,85,4.7,22.4,50.6,22.4
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Biology,All Students,122,22.1,23.0,33.6,21.3
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Biology,Historically Underperforming,85,10.6,22.4,40.0,27.1
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Literature,All Students,123,7.3,59.3,22.8,10.6
11,102020001,000007727,Allegheny,CITY CHS,CITY CHS,Literature,Historically Underperforming,87,4.6,55.2,25.3,14.9
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,37,8.1,43.2,35.1,13.5
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,33,6.1,45.5,33.3,15.2
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,35,5.7,37.1,22.9,34.3
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,31,6.5,32.3,25.8,35.5
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,36,2.8,50.0,25.0,22.2
11,103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,32,3.1,46.9,25.0,25.0
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Algebra I,All Students,46,4.3,28.3,39.1,28.3
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,41,4.9,24.4,39.0,31.7
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Biology,All Students,46,10.9,39.1,28.3,21.7
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,41,7.3,39.0,29.3,24.4
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Literature,All Students,46,4.3,45.7,37.0,13.0
11,103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,41,2.4,41.5,41.5,14.6
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,112,29.5,40.2,22.3,8.0
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,41,19.5,36.6,26.8,17.1
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Biology,All Students,114,32.5,39.5,24.6,3.5
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,42,26.2,31.0,33.3,9.5
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Literature,All Students,112,18.8,62.5,14.3,4.5
11,103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Literature,Historically Underperforming,40,10.0,55.0,27.5,7.5
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,112,1.8,33.0,37.5,27.7
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,59,0.0,22.0,42.4,35.6
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,115,7.8,27.8,34.8,29.6
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,62,1.6,19.4,45.2,33.9
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,114,1.8,48.2,35.1,14.9
11,103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,61,0.0,39.3,41.0,19.7
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,All Students,146,29.5,48.6,20.5,1.4
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,Historically Underperforming,48,16.7,47.9,31.3,4.2
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,All Students,152,31.6,49.3,14.5,4.6
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,Historically Underperforming,56,19.6,42.9,26.8,10.7
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Literature,All Students,138,19.6,58.7,15.9,5.8
11,103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Literature,Historically Underperforming,48,8.3,47.9,29.2,14.6
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Algebra I,All Students,11,0.0,27.3,36.4,36.4
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Algebra I,Historically Underperforming,8,,,,
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Biology,All Students,11,0.0,27.3,18.2,54.5
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Biology,Historically Underperforming,8,,,,
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Literature,All Students,8,,,,
11,103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Literature,Historically Underperforming,6,,,,
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Algebra I,All Students,336,54.8,34.8,6.5,3.9
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Algebra I,Historically Underperforming,109,27.5,45.0,16.5,11.0
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Biology,All Students,335,54.0,36.1,6.9,3.0
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Biology,Historically Underperforming,108,28.7,47.2,14.8,9.3
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Literature,All Students,332,34.9,55.4,5.4,4.2
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Literature,Historically Underperforming,106,11.3,62.3,13.2,13.2
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,214,21.5,51.9,21.5,5.1
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,108,13.9,41.7,35.2,9.3
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,All Students,215,43.7,36.7,11.2,8.4
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,109,29.4,37.6,17.4,15.6
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,All Students,212,12.7,71.2,10.4,5.7
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,106,8.5,62.3,17.9,11.3
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,231,51.5,39.8,7.8,0.9
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,39,35.9,35.9,23.1,5.1
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,231,53.7,34.2,10.8,1.3
