Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
0003,Algebra I,All Students,139,27.3,45.3,21.6,5.8
0003,Algebra I,Historically Underperforming,47,14.9,29.8,38.3,17.0
0003,Biology,All Students,139,25.9,38.1,23.7,12.2
0003,Biology,Historically Underperforming,48,14.6,25.0,33.3,27.1
0003,Literature,All Students,139,7.2,71.2,16.5,5.0
0003,Literature,Historically Underperforming,48,2.1,52.1,33.3,12.5
0017,Algebra I,All Students,270,28.5,43.7,23.3,4.4
0017,Algebra I,Historically Underperforming,92,12.0,42.4,32.6,13.0
0017,Biology,All Students,264,31.1,40.5,18.6,9.8
0017,Biology,Historically Underperforming,90,8.9,47.8,23.3,20.0
0017,Literature,All Students,264,7.6,62.5,23.5,6.4
0017,Literature,Historically Underperforming,91,2.2,45.1,40.7,12.1
6269,Algebra I,All Students,76,18.4,53.9,26.3,1.3
6269,Algebra I,Historically Underperforming,16,18.8,37.5,37.5,6.3
6269,Biology,All Students,76,19.7,52.6,19.7,7.9
6269,Biology,Historically Underperforming,16,18.8,37.5,18.8,25.0
6269,Literature,All Students,76,10.5,63.2,23.7,2.6
6269,Literature,Historically Underperforming,16,6.3,43.8,37.5,12.5
6271,Algebra I,All Students,197,41.1,33.5,18.8,6.6
6271,Algebra I,Historically Underperforming,84,15.5,40.5,28.6,15.5
6271,Biology,All Students,195,35.4,38.5,19.0,7.2
6271,Biology,Historically Underperforming,81,13.6,38.3,30.9,17.3
6271,Literature,All Students,194,21.6,63.9,10.3,4.1
6271,Literature,Historically Underperforming,77,13.0,58.4,18.2,10.4
0014,Algebra I,All Students,144,29.2,51.4,16.7,2.8
0014,Algebra I,Historically Underperforming,121,32.2,49.6,15.7,2.5
0014,Biology,All Students,144,39.6,43.1,12.5,4.9
0014,Biology,Historically Underperforming,121,43.8,38.8,12.4,5.0
0014,Literature,All Students,145,9.7,73.1,11.0,6.2
0014,Literature,Historically Underperforming,122,9.8,71.3,13.1,5.7
0021,Algebra I,All Students,133,27.1,41.4,28.6,3.0
0021,Algebra I,Historically Underperforming,57,10.5,36.8,45.6,7.0
0021,Biology,All Students,132,45.5,31.8,19.7,3.0
0021,Biology,Historically Underperforming,56,32.1,28.6,33.9,5.4
0021,Literature,All Students,133,9.8,67.7,18.0,4.5
0021,Literature,Historically Underperforming,57,3.5,54.4,31.6,10.5
5273,Algebra I,All Students,6,,,,
5273,Algebra I,Historically Underperforming,4,,,,
5273,Biology,All Students,5,,,,
5273,Biology,Historically Underperforming,4,,,,
5273,Literature,All Students,6,,,,
5273,Literature,Historically Underperforming,5,,,,
0029,Algebra I,All Students,56,8.9,58.9,26.8,5.4
0029,Algebra I,Historically Underperforming,30,3.3,53.3,33.3,10.0
0029,Biology,All Students,53,22.6,49.1,17.0,11.3
0029,Biology,Historically Underperforming,27,14.8,51.9,22.2,11.1
0029,Literature,All Students,55,10.9,69.1,18.2,1.8
0029,Literature,Historically Underperforming,29,13.8,58.6,24.1,3.4
5199,Algebra I,All Students,106,34.9,33.0,25.5,6.6
5199,Algebra I,Historically Underperforming,24,16.7,25.0,37.5,20.8
5199,Biology,All Students,113,23.9,38.1,24.8,13.3
5199,Biology,Historically Underperforming,26,0.0,26.9,38.5,34.6
5199,Literature,All Students,116,19.0,67.2,12.1,1.7
5199,Literature,Historically Underperforming,26,3.8,61.5,26.9,7.7
0050,Algebra I,All Students,358,16.5,51.4,23.7,8.4
0050,Algebra I,Historically Underperforming,142,9.2,37.3,38.0,15.5
0050,Biology,All Students,360,28.9,43.3,19.7,8.1
0050,Biology,Historically Underperforming,145,11.7,38.6,31.7,17.9
0050,Literature,All Students,354,14.1,64.4,15.5,5.9
0050,Literature,Historically Underperforming,138,4.3,54.3,26.8,14.5
0062,Algebra I,All Students,329,27.7,52.9,16.7,2.7
0062,Algebra I,Historically Underperforming,67,16.4,34.3,37.3,11.9
0062,Biology,All Students,329,42.6,36.5,15.5,5.5
0062,Biology,Historically Underperforming,68,22.1,35.3,26.5,16.2
0062,Literature,All Students,329,16.7,71.7,9.1,2.4
0062,Literature,Historically Underperforming,68,10.3,58.8,22.1,8.8
0070,Algebra I,All Students,86,15.1,37.2,34.9,12.8
0070,Algebra I,Historically Underperforming,51,3.9,29.4,47.1,19.6
0070,Biology,All Students,86,18.6,32.6,29.1,19.8
0070,Biology,Historically Underperforming,51,7.8,27.5,37.3,27.5
0070,Literature,All Students,86,11.6,48.8,24.4,15.1
0070,Literature,Historically Underperforming,51,3.9,41.2,33.3,21.6
0079,Algebra I,All Students,97,15.5,49.5,26.8,8.2
0079,Algebra I,Historically Underperforming,52,11.5,38.5,36.5,13.5
0079,Biology,All Students,97,26.8,53.6,13.4,6.2
0079,Biology,Historically Underperforming,52,21.2,46.2,21.2,11.5
0079,Literature,All Students,96,24.0,51.0,17.7,7.3
0079,Literature,Historically Underperforming,51,13.7,47.1,25.5,13.7
6706,Algebra I,All Students,247,15.4,59.1,19.4,6.1
6706,Algebra I,Historically Underperforming,80,12.5,47.5,26.3,13.8
6706,Biology,All Students,248,33.5,50.8,11.7,4.0
6706,Biology,Historically Underperforming,81,23.5,48.1,18.5,9.9
6706,Literature,All Students,246,11.0,70.7,13.0,5.3
6706,Literature,Historically Underperforming,82,6.1,61.0,20.7,12.2
7727,Algebra I,All Students,122,9.8,30.3,41.8,18.0
7727,Algebra I,Historically Underperforming,85,4.7,22.4,50.6,22.4
7727,Biology,All Students,122,22.1,23.0,33.6,21.3
7727,Biology,Historically Underperforming,85,10.6,22.4,40.0,27.1
7727,Literature,All Students,123,7.3,59.3,22.8,10.6
7727,Literature,Historically Underperforming,87,4.6,55.2,25.3,14.9
8094,Algebra I,All Students,37,8.1,43.2,35.1,13.5
8094,Algebra I,Historically Underperforming,33,6.1,45.5,33.3,15.2
