AUN,Schl,County,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,58,37.9,37.9,15.5,8.6
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Economically Disadvantaged,11,17,17.6,47.1,17.6,17.6
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,ELL,11,1,,,,
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,IEP,11,4,,,,
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,11,98,12.2,30.6,33.7,23.5
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Economically Disadvantaged,11,33,6.1,27.3,30.3,36.4
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,ELL,11,2,,,,
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,IEP,11,7,,,,
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,11,28,0.0,21.4,50.0,28.6
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,Economically Disadvantaged,11,13,0.0,15.4,46.2,38.5
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,ELL,11,2,,,,
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,IEP,11,6,,,,
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,All Students,11,106,65.1,16.0,3.8,15.1
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,Economically Disadvantaged,11,29,51.7,10.3,10.3,27.6
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,ELL,11,2,,,,
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,IEP,11,19,10.5,0.0,15.8,73.7
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,All Students,11,128,7.8,31.3,40.6,20.3
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,Economically Disadvantaged,11,48,2.1,29.2,45.8,22.9
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,ELL,11,4,,,,
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,IEP,11,33,3.0,12.1,39.4,45.5
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,All Students,11,241,10.0,54.8,27.4,7.9
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,Economically Disadvantaged,11,75,4.0,50.7,32.0,13.3
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,ELL,11,2,,,,
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,IEP,11,30,3.3,6.7,46.7,43.3
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,All Students,11,35,34.3,48.6,8.6,8.6
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,Economically Disadvantaged,11,6,,,,
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,IEP,11,1,,,,
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,All Students,11,41,7.3,31.7,34.1,26.8
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,Economically Disadvantaged,11,11,0.0,36.4,36.4,27.3
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,IEP,11,7,,,,
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,All Students,11,67,4.5,56.7,25.4,13.4
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,Economically Disadvantaged,11,12,0.0,50.0,33.3,16.7
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,IEP,11,7,,,,
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,All Students,11,62,71.0,12.9,16.1,0.0
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,Economically Disadvantaged,11,12,33.3,25.0,41.7,0.0
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,IEP,11,4,,,,
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,All Students,11,205,20.5,35.1,34.6,9.8
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,Economically Disadvantaged,11,65,7.7,27.7,43.1,21.5
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,IEP,11,24,0.0,29.2,33.3,37.5
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,All Students,11,218,16.1,52.3,24.3,7.3
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,Economically Disadvantaged,11,65,7.7,47.7,30.8,13.8
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,IEP,11,24,0.0,16.7,33.3,50.0
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,All Students,11,44,31.8,54.5,2.3,11.4
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,Economically Disadvantaged,11,11,18.2,45.5,9.1,27.3
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,IEP,11,5,,,,
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,All Students,11,12,0.0,25.0,8.3,66.7
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,Economically Disadvantaged,11,5,,,,
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,IEP,11,6,,,,
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,All Students,11,145,11.0,64.1,22.1,2.8
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,Economically Disadvantaged,11,39,5.1,61.5,30.8,2.6
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,IEP,11,16,0.0,12.5,62.5,25.0
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,All Students,11,42,73.8,19.0,2.4,4.8
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,Economically Disadvantaged,11,12,66.7,8.3,8.3,16.7
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,ELL,11,1,,,,
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,IEP,11,4,,,,
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,All Students,11,103,18.4,35.0,31.1,15.5
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Economically Disadvantaged,11,46,10.9,26.1,43.5,19.6
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,ELL,11,9,,,,
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,IEP,11,13,7.7,15.4,30.8,46.2
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,11,101,8.9,55.4,23.8,11.9
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Economically Disadvantaged,11,45,2.2,48.9,28.9,20.0
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,ELL,11,8,,,,
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,IEP,11,13,7.7,15.4,23.1,53.8
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,All Students,11,1,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,All Students,11,1,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,Economically Disadvantaged,11,1,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,All Students,11,1,,,,
103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,Economically Disadvantaged,11,1,,,,
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,24,25.0,54.2,20.8,0.0
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Economically Disadvantaged,11,6,,,,
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,IEP,11,2,,,,
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,27,3.7,22.2,51.9,22.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Economically Disadvantaged,11,8,,,,
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,IEP,11,4,,,,
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,48,12.5,56.3,22.9,8.3
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Economically Disadvantaged,11,11,9.1,54.5,27.3,9.1
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,IEP,11,4,,,,
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Algebra I,All Students,11,61,59.0,29.5,9.8,1.6
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Algebra I,Economically Disadvantaged,11,2,,,,
