2013-14 Percent of Low Income by School,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,8.8
212010503,Annunciation BVM School,Adams,Conewago Valley SD,17.8
212012003,Delone Catholic High School,Adams,Conewago Valley SD,10.6
212012373,Freedom Christian School,Adams,Gettysburg Area SD,6.7
212012503,Gettysburg SDA Church School,Adams,Gettysburg Area SD,66.7
212013003,Immaculate Conception BVM Sch,Adams,Conewago Valley SD,9.3
212017003,Sacred Heart School,Adams,Conewago Valley SD,10.9
212017403,St Francis Xavier School,Adams,Gettysburg Area SD,14.9
203020115,Abundant Life Academy,Allegheny,Upper Saint Clair SD,70
300020115,Academy,Allegheny,Pittsburgh SD,0
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,31.7
203020355,Aquinas Academy,Allegheny,Hampton Township SD,1.1
203020405,Assumption School,Allegheny,Northgate SD,37.5
202021005,Bishop Canevin High School,Allegheny,Pittsburgh SD,16.7
300630351,Bradley School,Allegheny,Montour SD,99.1
202027805,Brookline Reg Cath E S Intrmd,Allegheny,Pittsburgh SD,47.4
202021105,Campus School of Carlow University,Allegheny,Pittsburgh SD,2.7
202021305,Central Catholic,Allegheny,Pittsburgh SD,35.2
203020255,Cheswick Christian Academy,Allegheny,Allegheny Valley SD,43.9
202025305,Christ Lutheran School,Allegheny,Woodland Hills SD,53.1
203027965,Christ the Divine Tchr Cath Ac,Allegheny,Fox Chapel Area SD,26.6
202021405,Community Day School,Allegheny,Pittsburgh SD,7.3
201630005,Cornerstone Christian Preparatory Academy,Allegheny,South Park SD,53.9
202027445,East Catholic,Allegheny,Woodland Hills SD,56.4
300023260,Easter Seals of Western and Central PA,Allegheny,Brentwood Borough SD,0
300023270,Easter Seals of Western and Central PA,Allegheny,North Hills SD,0
300020400,Easter Seals of Western and Central PA,Allegheny,Pittsburgh SD,0
300023240,Easter Seals of Western and Central PA,Allegheny,Pittsburgh SD,0
203022325,Eden Christian Acad - Wexford,Allegheny,Pine-Richland SD,0
203020004,Eden Christian Academy,Allegheny,Avonworth SD,0
203022345,Eden Christian Academy,Allegheny,North Hills SD,0
300022370,Education Center at Watson Institute,Allegheny,Quaker Valley SD,38.2
202028805,Ellis School,Allegheny,Pittsburgh SD,0
202028905,Falk School,Allegheny,Pittsburgh SD,16
203022675,Fox Chapel Country Day,Allegheny,Fox Chapel Area SD,5
300024400,Glen Montessori School,Allegheny,Quaker Valley SD,0
203022945,Greater Works Christian School,Allegheny,Gateway SD,50
207652255,Harvest Baptist Academy,Allegheny,Highlands SD,64.1
203022975,Hillcrest Christian Academy,Allegheny,Bethel Park SD,10.9
202023005,Hillel Academy of Pittsburgh,Allegheny,Pittsburgh SD,44.8
203025305,Holy Child Catholic School,Allegheny,Chartiers Valley SD,18.3
303020017,Holy Family Institute East,Allegheny,Woodland Hills SD,100
300024478,Holy Family Institute Educational Program,Allegheny,Pittsburgh SD,92.7
203023295,Holy Trinity School,Allegheny,Montour SD,16.1
203023465,Imani Christian Academy,Allegheny,Pittsburgh SD,81.3
203023675,Jubilee Christian School,Allegheny,Mt Lebanon SD,17.9
302020005,Kentucky Avenue School,Allegheny,Pittsburgh SD,6.3
303020014,LEAP Preschool,Allegheny,Fox Chapel Area SD,0
203020018,Legacy Christian Academy,Allegheny,Mt Lebanon SD,0
203025485,Mon Yough Catholic School,Allegheny,McKeesport Area SD,38.5
300026330,Montessori Centre Academy Inc,Allegheny,Shaler Area SD,0
300026470,Montessori Childrens Community,Allegheny,Quaker Valley SD,0
203024285,Mount Lebanon Montessori School,Allegheny,Mt Lebanon SD,0
302020002,Neighborhood Academy,Allegheny,Pittsburgh SD,69.9
303020076,New Story,Allegheny,Gateway SD,48.2
203024355,North American Martyrs School,Allegheny,Gateway SD,15.3
202024475,North Catholic High School,Allegheny,Pittsburgh SD,53.7
202026125,Northside Catholic School,Allegheny,Pittsburgh SD,73.1
202024495,Oakland Catholic High School,Allegheny,Pittsburgh SD,12.5
300027040,Oakland School,Allegheny,Pittsburgh SD,0
203020605,Our Lady Most Blessed Sacramnt,Allegheny,Highlands SD,34.5
203024545,Our Lady of Grace School,Allegheny,Chartiers Valley SD,20.5
203024605,Our Lady Sacred Heart HS,Allegheny,Moon Area SD,38.1
202024645,Pittsburgh New Church School,Allegheny,Pittsburgh SD,0
202024675,Pittsburgh Urban Christian Sch,Allegheny,Wilkinsburg Borough SD,46.3
303020074,PLEA School,Allegheny,Wilkinsburg Borough SD,58.8
203021385,Praise Christian Academy,Allegheny,East Allegheny SD,0
302020059,Pressley Ridge Career Development Center,Allegheny,Pittsburgh SD,100
300028220,Pressley Ridge Day School-Pittsburgh,Allegheny,Pittsburgh SD,100
302020006,Pressley Ridge School for Autism,Allegheny,Avonworth SD,100
303020022,Pressley Ridge School for the Deaf Program,Allegheny,Pittsburgh SD,100
203024685,Providence Heights Alpha Sch,Allegheny,North Allegheny SD,0
203024715,Redeemer Lutheran Sch-Oakmont,Allegheny,Penn Hills SD,21.6
203020017,Renaissance Christian Academy,Allegheny,Penn Hills SD,89.1
227046205,Rhema Christian School,Allegheny,Moon Area SD,9.3
203024755,Robinson Township Christian School,Allegheny,Montour SD,0
202024855,Sacred Heart Elementary School,Allegheny,Pittsburgh SD,20.9
202023425,Saint Maria Goretti,Allegheny,Pittsburgh SD,51.6
203025205,Serra Catholic High School,Allegheny,McKeesport Area SD,68.1
203024805,Seton Lasalle High School,Allegheny,Mt Lebanon SD,20.8
203025225,Sewickley Academy,Allegheny,Quaker Valley SD,0
203025245,Shady Side Academy Junior Sch,Allegheny,Pittsburgh SD,12.9
203025265,Shady Side Academy Middle Sch,Allegheny,Fox Chapel Area SD,10.5
203025255,Shady Side Academy Senior Sch,Allegheny,Fox Chapel Area SD,4.9
203020011,Sister Thea Bowman Catholic Academy,Allegheny,Wilkinsburg Borough SD,86.2
303020003,Sleepy Hollow Academy,Allegheny,South Park SD,96.2
303020034,Southwood School,Allegheny,Upper Saint Clair SD,100
203025345,St Agnes School,Allegheny,West Mifflin Area SD,54.1
203025385,St Alexis School,Allegheny,North Allegheny SD,3.6
203025445,St Alphonsus School,Allegheny,Pine-Richland SD,8.3
203025525,St Anne School,Allegheny,Keystone Oaks SD,38
202025455,St Anthony School Programs at Bishop Canevin HS,Allegheny,Pittsburgh SD,23.5
203020013,St Anthony School Programs at Mon Yough Catholic,Allegheny,McKeesport Area SD,33.3
202025475,St Anthony School Programs at Serra Catholic HS,Allegheny,McKeesport Area SD,50
203020014,St Anthony School Programs at St Mary,Allegheny,Fox Chapel Area SD,8.3
203025575,St Anthony School Programs at St Thomas More,Allegheny,Bethel Park SD,15.4
203020015,St Anthony School Programs at St. Therese,Allegheny,Steel Valley SD,30
203025685,St Bartholomew School,Allegheny,Penn Hills SD,30.1
