2020-21 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,99.40
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0.00
325230047,Aardvark Child Care and Learning Center Inc,Delaware,Garnet Valley SD,0.00
219357281,Abington Christian Academy,Lackawanna,Valley View SD,0.00
223460102,Abington Friends School,Montgomery,Abington SD,0.00
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0.00
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,18.70
203020115,Abundant Life International School,Allegheny,Northgate SD,100.00
326510076,Academy in Manayunk,Montgomery,Colonial SD,1.60
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,0.00
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0.00
223460162,Academy of the New Church Girls,Montgomery,Bryn Athyn SD,0.00
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,46.40
300181250,Acorn School,Clinton,Keystone Central SD,0.00
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,10.70
301260001,Adelphoi Education at Albert Gallatin,Fayette,Connellsville Area SD,100.00
304100017,Adelphoi Education at Butler,Butler,Butler Area SD,81.30
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,100.00
328328469,Adelphoi Education at Indiana,Indiana,Indiana Area SD,67.60
328033370,Adelphoi Education at Kittanning,Armstrong,Armstrong SD,100.00
307655266,Adelphoi Education at Latrobe,Westmoreland,Greater Latrobe SD,90.90
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0.00
213360009,Airport View Amish School,Lancaster,Warwick SD,0.00
226510132,Al Aqsa Islamic School,Philadelphia,Philadelphia City SD,87.30
215210009,Al Huda School,Cumberland,West Shore SD,66.70
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,25.90
206160034,Alexander Amish School,Clarion,North Clarion County SD,0.00
219359001,All Saints Academy,Lackawanna,Scranton SD,11.80
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,26.90
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,0.00
208057235,Allegheny Valley Christian School,Bedford,Chestnut Ridge SD,0.00
206330012,Allens Mills School,Jefferson,Brockway Area SD,0.00
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,18.00
211440003,Allison Gap School,Mifflin,Mifflin County SD,0.00
