2022-23 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,PNP County,District Name,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,100.0
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0.0
325230047,Aardvark Child Care and Learning Center Inc,Delaware,Garnet Valley SD,0.0
219357281,Abington Christian Academy,Lackawanna,Valley View SD,30.3
223460102,Abington Friends School,Montgomery,Abington SD,0.0
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0.0
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,17.4
203020115,Abundant Life International School,Allegheny,Northgate SD,100.0
326510076,Academy in Manayunk,Montgomery,Colonial SD,1.7
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,0.0
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0.0
223460162,Academy of the New Church Girls,Montgomery,Bryn Athyn SD,0.0
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,43.2
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,32.5
226511712,Adelaide Educational Academy Center,Philadelphia,Philadelphia City SD,0.0
301260001,Adelphoi Education at Albert Gallatin,Fayette,Connellsville Area SD,100.0
327048329,Adelphoi Education at Beaver,Beaver,Rochester Area SD,100.0
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,100.0
328328469,Adelphoi Education at Indiana,Indiana,Indiana Area SD,100.0
328033370,Adelphoi Education at Kittanning,Armstrong,Armstrong SD,100.0
307655266,Adelphoi Education at Latrobe,Westmoreland,Greater Latrobe SD,100.0
308076091,Adelphoi Education at Williams,Blair,Hollidaysburg Area SD,50.0
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0.0
213360009,Airport View Amish School,Lancaster,Warwick SD,0.0
226510132,Al Aqsa Islamic School,Philadelphia,Philadelphia City SD,97.6
215210009,Al Huda School,Cumberland,West Shore SD,9.5
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,32.6
206160034,Alexander Amish School,Clarion,North Clarion County SD,0.0
219359001,All Saints Academy,Lackawanna,Scranton SD,21.2
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,28.4
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,12.5
206330012,Allens Mills School,Jefferson,Brockway Area SD,0.0
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,20.6
211440003,Allison Gap School,Mifflin,Mifflin County SD,0.0
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0.0
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0.0
213360074,Amish Road School,Lancaster,Pequea Valley SD,0.0
213360402,Amsterdam School,Lancaster,Eastern Lancaster County SD,0.0
213363498,Anchor Christian Academy,Lancaster,Lancaster SD,28.4
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0.0
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,1.6
212280503,Antrim Mennonite School,Franklin,Greencastle-Antrim SD,0.0
208561055,Apostolic Christian Academy,Somerset,Somerset Area SD,0.0
213360452,Apple Grove Amish School,Lancaster,Eastern Lancaster County SD,0.0
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0.0
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,28.3
203020355,Aquinas Academy,Allegheny,Hampton Township SD,6.7
300157550,ARC of Chester County,Chester,West Chester Area SD,0.0
203023295,Archangel Gabriel School,Allegheny,Montour SD,34.9
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,0.0
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,0.0
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,0.0
207650755,Armbrust Wesleyan Christian Academy,Westmoreland,Mount Pleasant Area SD,16.0
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,0.0
208072849,Arrows Christian Academy,Blair,Altoona Area SD,35.4
220520858,Ascend Acton Academy,Pike,Delaware Valley SD,0.0
224150262,Ashville,Lancaster,Solanco SD,0.0
224150272,Ashville Parochial School,Chester,Oxford Area SD,0.0
224155052,Assumption Academy,Chester,Tredyffrin-Easttown SD,0.0
224150502,Assumption BVM School,Chester,Avon Grove SD,0.0
229548702,Assumption BVM School,Schuylkill,Pottsville Area SD,11.0
322090040,ATG Learning Academy,Bucks,Central Bucks SD,20.0
205200204,Atlantic Amish School,Crawford,Conneaut SD,0.0
214066792,Autumn Ridge Mennonite School,Berks,Conrad Weiser Area SD,0.0
203028105,Ave Maria Academy-Bethel Park Campus,Allegheny,Bethel Park SD,19.9
203029033,Ave Maria Academy-Mt Lebanon Campus,Allegheny,Mt Lebanon SD,14.0
224150562,Avon Grove Nazarene Academy,Chester,Avon Grove SD,0.0
211441003,Back Mountain Amish School,Mifflin,Mifflin County SD,0.0
213360899,Back Run Amish School,Lancaster,Manheim Central SD,0.0
203029112,Bakerstown UMC Day School,Allegheny,Pine-Richland SD,0.0
300460900,Bala House Montessori,Montgomery,Lower Merion SD,0.0
210180503,Bald Eagle Boys Camp School,Clinton,Keystone Central SD,0.0
217410002,Bald Eagle School,Lycoming,Montgomery Area SD,0.0
216190000,Bald Hill School,Columbia,Millville Area SD,0.0
223469252,Baldwin School,Montgomery,Lower Merion SD,3.9
216550000,Bannerville Hill Amish School,Snyder,Midd-West SD,0.0
211440008,Barefoot School,Mifflin,Mifflin County SD,0.0
211441203,Barrville Amish School,Mifflin,Mifflin County SD,0.0
213360565,Bartview Amish School,Lancaster,Solanco SD,0.0
213360602,Bartville Amish School,Lancaster,Solanco SD,0.0
304100000,BCCC Childrens Creative Learning Center,Butler,Butler Area SD,0.0
300421500,Beacon Light Academy/CCTE,McKean,Bradford Area SD,100.0
206330014,Bear Lane School,Jefferson,Punxsutawney Area SD,0.0
206160000,Bear Run School,Clarion,Keystone SD,0.0
213366841,Beartown School,Lancaster,Eastern Lancaster County SD,0.0
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,20.2
227042850,Beaver Co Christian School Lower,Beaver,Big Beaver Falls Area SD,17.8
216490103,Beaver Run Parochial School,Montour,Warrior Run SD,0.0
216600503,Beaver Run School,Union,Lewisburg Area SD,0.0
213360582,Beaver Valley Amish Paroch Sch,Lancaster,Lampeter-Strasburg SD,0.0
205620254,Beaver Valley Amish School,Warren,Warren County SD,0.0
300041580,Beaver Valley Montessori School,Beaver,Beaver Area SD,50.0
213360592,Bell Amish School,Lancaster,Solanco SD,0.0
213360016,Bellaire Ridge Amish School,Lancaster,Elizabethtown Area SD,0.0
