Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year:  2008 - 2009,,,,,,,
,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,512,143,27.9%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,610,77,12.6%
123460302,Abington  SD,SD,3242,Abington JHS,"1,773",264,14.9%
123460302,Abington  SD,SD,3241,Abington SHS,"1,971",226,11.5%
123460302,Abington  SD,SD,7707,Copper Beech Sch,951,124,13.0%
123460302,Abington  SD,SD,3229,Highland Sch,402,52,12.9%
123460302,Abington  SD,SD,5075,McKinley Sch,605,80,13.2%
123460302,Abington  SD,SD,3232,Overlook Sch,415,106,25.5%
123460302,Abington  SD,SD,3234,Roslyn Sch,440,93,21.1%
123460302,Abington  SD,SD,3226,Rydal East Sch,513,16,3.1%
123460302,Abington  SD,SD,4910,Willow Hill Sch,333,105,31.5%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,220",98,8.0%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,073",116,10.8%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,394,53,13.5%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,267,47,17.6%
119350303,Abington Heights SD,SD,6398,South Abington Sch,282,28,9.9%
119350303,Abington Heights SD,SD,2402,Waverly Sch,311,31,10.0%
102020003,Academy CS,CS,7846,Academy CS,151,126,83.4%
125230001,Achievement House CS,CS,7824,Achievement House CS,267,105,39.3%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,186,91,48.9%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,487,231,47.4%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"4,202","2,463",58.6%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,280,145,51.8%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,243",708,57.0%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,485,259,53.4%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,395,250,63.3%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,254,172,67.7%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,206,110,53.4%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,363,231,63.6%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,230,165,71.7%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,329,191,58.1%
127040503,Aliquippa SD,SD,0615,Aliquippa El Sch,468,405,86.5%
127040503,Aliquippa SD,SD,7338,Aliquippa MS,334,281,84.1%
127040503,Aliquippa SD,SD,6554,Aliquippa SHS,334,269,80.5%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,303,107,35.3%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,244,82,33.6%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,598,178,29.8%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,398,174,43.7%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,468,184,39.3%
121390302,Allentown City SD,SD,2790,Central El Sch,812,757,93.2%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,292,274,93.8%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,979,813,83.0%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,763,647,84.8%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,740,505,68.2%
121390302,Allentown City SD,SD,2773,Jackson El Sch,393,351,89.3%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,640,512,80.0%
121390302,Allentown City SD,SD,2775,Lehigh Park El Sch,355,257,72.4%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,361,336,93.1%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,839","1,226",66.7%
121390302,Allentown City SD,SD,2777,McKinley El Sch,233,214,91.8%
121390302,Allentown City SD,SD,2778,Midway Manor Early Chld Ctr,363,309,85.1%
121390302,Allentown City SD,SD,2779,Mosser El Sch,667,571,85.6%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,609,348,57.1%
121390302,Allentown City SD,SD,2781,Ritter El Sch,565,409,72.4%
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,545,455,83.5%
121390302,Allentown City SD,SD,6448,Sheridan El Sch,675,626,92.7%
121390302,Allentown City SD,SD,2793,South Mountain MS,"1,119",865,77.3%
121390302,Allentown City SD,SD,4929,Trexler MS,956,792,82.8%
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,810,630,77.8%
