Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2011 - 2012,,,,,,,
,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,746,180,24.1%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,648,191,29.5%
128000000,ARIN IU 28,IU,9999,ARIN IU 28,12,4,33.3%
168518013,ARISE Academy Charter High School,CS,8122,ARISE Academy Charter High School,183,183,100.0%
181519176,ASPIRA Bilingual Cyber Charter School,CS,8148,ASPIRA Bilingual Cyber Charter School,64,42,65.6%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,135",124,10.9%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,056",118,11.2%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,376,47,12.5%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,257,56,21.8%
119350303,Abington Heights SD,SD,6398,South Abington Sch,268,37,13.8%
119350303,Abington Heights SD,SD,2402,Waverly Sch,301,39,13.0%
123460302,Abington SD,SD,3242,Abington JHS,"1,702",331,19.4%
123460302,Abington SD,SD,3241,Abington SHS,"1,830",259,14.2%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,044",188,18.0%
123460302,Abington SD,SD,3229,Highland Sch,451,78,17.3%
123460302,Abington SD,SD,5075,McKinley Sch,614,78,12.7%
123460302,Abington SD,SD,3232,Overlook Sch,471,108,22.9%
123460302,Abington SD,SD,3234,Roslyn Sch,411,88,21.4%
123460302,Abington SD,SD,3226,Rydal East Sch,544,42,7.7%
123460302,Abington SD,SD,4910,Willow Hill Sch,367,132,36.0%
102020003,Academy CS,CS,7846,Academy CS,190,164,86.3%
125230001,Achievement House CS,CS,7824,Achievement House CS,531,246,46.3%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,380,224,58.9%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,433,221,51.0%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"8,142","5,436",66.8%
101260303,Albert Gallatin Area SD,SD,2115,A L Wilson El Sch,257,136,52.9%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,090",529,48.5%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,461,252,54.7%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,407,249,61.2%
101260303,Albert Gallatin Area SD,SD,2116,D Ferd Swaney El Sch,231,144,62.3%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,243,158,65.0%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,335,206,61.5%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,240,184,76.7%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,311,184,59.2%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,711,648,91.1%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,478,422,88.3%
103000000,Allegheny IU 3,IU,9999,Allegheny IU 3,565,236,41.8%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,311,156,50.2%
103020603,Allegheny Valley SD,SD,9999,Allegheny Valley SD,29,7,24.1%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,221,61,27.6%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,464,160,34.5%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,377,167,44.3%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,394,150,38.1%
106160303,Allegheny-Clarion Valley SD,SD,9999,Allegheny-Clarion Valley SD,3,2,66.7%
121390302,Allentown City SD,SD,9999,Allentown City SD,292,178,61.0%
121390302,Allentown City SD,SD,2790,Central El Sch,659,601,91.2%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,351,283,80.6%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,874,756,86.5%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,898,791,88.1%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,670,512,76.4%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,693,520,75.0%
121390302,Allentown City SD,SD,2775,Lehigh Park El Sch,319,238,74.6%
121390302,Allentown City SD,SD,7131,Lincoln Early Chld Ctr,265,238,89.8%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,783","1,357",76.1%
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,848,732,86.3%
121390302,Allentown City SD,SD,2777,McKinley El Sch,326,271,83.1%
121390302,Allentown City SD,SD,2779,Mosser El Sch,839,750,89.4%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,533,338,63.4%
121390302,Allentown City SD,SD,2781,Ritter El Sch,530,405,76.4%
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,787,642,81.6%
121390302,Allentown City SD,SD,6448,Sheridan El Sch,688,620,90.1%
121390302,Allentown City SD,SD,2793,South Mountain MS,"1,129",902,79.9%
121390302,Allentown City SD,SD,4929,Trexler MS,954,805,84.4%
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,751,616,82.0%
121390302,Allentown City SD,SD,2786,Washington El Sch,529,470,88.8%
121390302,Allentown City SD,SD,2794,William Allen HS,"2,842","1,985",69.8%
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,347,262,75.5%
108070502,Altoona Area SD,SD,0913,Altoona Area HS,"1,662",848,51.0%
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,"1,837","1,072",58.4%
108070502,Altoona Area SD,SD,0891,Baker El Sch,333,140,42.0%
108070502,Altoona Area SD,SD,0908,Irving El Sch,332,120,36.1%
108070502,Altoona Area SD,SD,0895,Juniata El Sch,417,274,65.7%
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,568,332,58.5%
108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,56,51,91.1%
108070502,Altoona Area SD,SD,0933,Logan El Sch,611,358,58.6%
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,496,307,61.9%
108070502,Altoona Area SD,SD,0909,Penn-Lincoln El Sch,399,349,87.5%
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,586,319,54.4%
108070502,Altoona Area SD,SD,6708,Washington-Jefferson El Sch,294,249,84.7%
108070502,Altoona Area SD,SD,5302,Wright El Sch,319,273,85.6%
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,768,301,39.2%
127040703,Ambridge Area SD,SD,0633,Ambridge Area JHS,413,204,49.4%
127040703,Ambridge Area SD,SD,0629,Economy El Sch,702,201,28.6%
127040703,Ambridge Area SD,SD,0661,Highland El Sch,517,342,66.2%
127040703,Ambridge Area SD,SD,0632,State Street El Sch,337,151,44.8%
113380303,Annville-Cleona SD,SD,2725,Annville Cleona HS,512,93,18.2%
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,430,123,28.6%
113380303,Annville-Cleona SD,SD,8178,Annville-Cleona MS,262,59,22.5%
113380303,Annville-Cleona SD,SD,2723,Cleona El Sch,302,89,29.5%
114060503,Antietam SD,SD,0820,Antietam MS/HS,471,161,34.2%
114060503,Antietam SD,SD,5205,Mt Penn El Sch,405,161,39.8%
114060503,Antietam SD,SD,7838,Mt Penn Primary Ctr,169,63,37.3%
104510394,Antonia Pantoja Community Charter School,CS,8031,Antonia Pantoja Community Charter School,722,666,92.2%
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,584,277,47.4%
128030603,Apollo-Ridge SD,SD,2320,Apollo-Ridge HS,397,162,40.8%
128030603,Apollo-Ridge SD,SD,6570,Apollo-Ridge MS,346,152,43.9%
108000000,Appalachia IU 8,IU,9999,Appalachia IU 8,337,139,41.2%
128030852,Armstrong SD,SD,0569,Dayton El Sch,273,140,51.3%
128030852,Armstrong SD,SD,6574,Elderton El Sch,272,94,34.6%
128030852,Armstrong SD,SD,0582,Elderton JSHS,304,91,29.9%
128030852,Armstrong SD,SD,6575,Ford City JSHS,676,238,35.2%
128030852,Armstrong SD,SD,6572,Kittanning JHS,345,165,47.8%
128030852,Armstrong SD,SD,0596,Kittanning SHS,632,209,33.1%
128030852,Armstrong SD,SD,0580,Kittanning Twp El Sch,160,74,46.3%
128030852,Armstrong SD,SD,5002,Lenape El Sch,720,323,44.9%
128030852,Armstrong SD,SD,6577,Shannock Valley El Sch,365,151,41.4%
128030852,Armstrong SD,SD,7896,West Hills Intermediate Sch,504,219,43.5%
128030852,Armstrong SD,SD,7895,West Hills Primary Sch,654,248,37.9%
128030852,Armstrong SD,SD,7640,West Shamokin JSHS,545,245,45.0%
117080503,Athens Area SD,SD,0958,Athens Area HS,498,187,37.6%
117080503,Athens Area SD,SD,4918,Audrielle Lynch-Ellen Bustin El Sch,604,325,53.8%
117080503,Athens Area SD,SD,0972,Gladys Burnham El Sch,115,60,52.2%
117080503,Athens Area SD,SD,6732,Harlan Rowe JHS,375,167,44.5%
117080503,Athens Area SD,SD,6362,Harriet Child El Sch,101,46,45.5%
117080503,Athens Area SD,SD,7211,S R U MS,380,180,47.4%
117080503,Athens Area SD,SD,0952,Sheshequin-Ulster El Sch,170,91,53.5%
109530304,Austin Area SD,SD,6221,Austin Area El Sch,115,51,44.3%
109530304,Austin Area SD,SD,6222,Austin Area JSHS,107,45,42.1%
101630504,Avella Area SD,SD,4165,Avella Area JSHS,299,129,43.1%
101630504,Avella Area SD,SD,9999,Avella Area SD,3,2,66.7%
101630504,Avella Area SD,SD,7098,Avella El Center,298,117,39.3%
124150003,Avon Grove CS,CS,7721,Avon Grove CS,"1,529",192,12.6%
124150503,Avon Grove SD,SD,1367,Avon Grove HS,"1,791",334,18.6%
124150503,Avon Grove SD,SD,1365,Avon Grove Intrmd Sch,"1,548",341,22.0%
124150503,Avon Grove SD,SD,5216,Fred S Engle MS,910,180,19.8%
124150503,Avon Grove SD,SD,7323,Penn London El Sch,"1,014",268,26.4%
103020753,Avonworth SD,SD,0034,Avonworth El Sch,762,89,11.7%
103020753,Avonworth SD,SD,5199,Avonworth HS,402,50,12.4%
103020753,Avonworth SD,SD,7669,Avonworth MS,330,35,10.6%
103020753,Avonworth SD,SD,9999,Avonworth SD,23,6,26.1%
117000000,BLaST IU 17,IU,9999,BLaST IU 17,290,21,7.2%
110141003,Bald Eagle Area SD,SD,1335,Bald Eagle Area JSHS,"1,034",404,39.1%
110141003,Bald Eagle Area SD,SD,9999,Bald Eagle Area SD,3,1,33.3%
110141003,Bald Eagle Area SD,SD,1333,Howard El Sch,82,23,28.0%
110141003,Bald Eagle Area SD,SD,1334,Mountaintop Area El Sch,167,61,36.5%
110141003,Bald Eagle Area SD,SD,1331,Port Matilda El Sch,146,46,31.5%
110141003,Bald Eagle Area SD,SD,1330,Wingate El Sch,402,167,41.5%
103021102,Baldwin-Whitehall SD,SD,0050,Baldwin SHS,"1,519",374,24.6%
103021102,Baldwin-Whitehall SD,SD,6787,Harrison MS,876,282,32.2%
103021102,Baldwin-Whitehall SD,SD,0037,McAnnulty El Sch,345,102,29.6%
103021102,Baldwin-Whitehall SD,SD,5194,Paynter El Sch,716,279,39.0%
103021102,Baldwin-Whitehall SD,SD,0048,Whitehall El Sch,741,210,28.3%
120480803,Bangor Area SD,SD,3434,Bangor Area HS,"1,087",393,36.2%
120480803,Bangor Area SD,SD,5257,Bangor Area MS,519,216,41.6%
120480803,Bangor Area SD,SD,7301,DeFranco El Sch,496,203,40.9%
120480803,Bangor Area SD,SD,5099,Five Points El Sch,589,233,39.6%
120480803,Bangor Area SD,SD,3430,Washington El Sch,541,264,48.8%
118400001,Bear Creek Community CS,CS,7827,Bear Creek Community CS,426,136,31.9%
127040001,Beaver Area Academic CS,CS,7847,Beaver Area Academic CS,96,41,42.7%
127041203,Beaver Area SD,SD,7386,Beaver Area MS,303,61,20.1%
127041203,Beaver Area SD,SD,0640,Beaver Area SHS,645,97,15.0%
127041203,Beaver Area SD,SD,8065,College Square El Sch,431,76,17.6%
127041203,Beaver Area SD,SD,7823,Dutch Ridge El Sch,598,114,19.1%
127041307,Beaver County CTC,CTC,6985,Beaver County CTC,587,232,39.5%
127000000,Beaver Valley IU 27,IU,9999,Beaver Valley IU 27,164,70,42.7%
108051003,Bedford Area SD,SD,7545,Bedford El Sch,772,338,43.8%
108051003,Bedford Area SD,SD,7021,Bedford MS,450,172,38.2%
108051003,Bedford Area SD,SD,0726,Bedford SHS,610,204,33.4%
108051003,Bedford Area SD,SD,0741,Hyndman/Londonderry El Sch,32,22,68.8%
108051307,Bedford County Technical Center,CTC,7096,Bedford County Technical Center,553,243,43.9%
107650603,Belle Vernon Area SD,SD,4930,Belle Vernon Area HS,876,213,24.3%
107650603,Belle Vernon Area SD,SD,4329,Bellmar MS,339,131,38.6%
107650603,Belle Vernon Area SD,SD,4328,Marion El Sch,568,241,42.4%
107650603,Belle Vernon Area SD,SD,4325,Rostraver El Sch,583,169,29.0%
107650603,Belle Vernon Area SD,SD,4330,Rostraver MS,296,69,23.3%
110141103,Bellefonte Area SD,SD,1343,Bellefonte Area HS,923,226,24.5%
110141103,Bellefonte Area SD,SD,1342,Bellefonte Area MS,625,171,27.4%
110141103,Bellefonte Area SD,SD,1341,Bellefonte El Sch,436,196,45.0%
110141103,Bellefonte Area SD,SD,1339,Benner El Sch,258,50,19.4%
110141103,Bellefonte Area SD,SD,1340,Marion-Walker El Sch,372,85,22.8%
110141103,Bellefonte Area SD,SD,6229,Pleasant Gap El Sch,256,90,35.2%
108071003,Bellwood-Antis SD,SD,7144,Bellwood Antis MS,384,145,37.8%
108071003,Bellwood-Antis SD,SD,0917,Bellwood-Antis HS,432,148,34.3%
108071003,Bellwood-Antis SD,SD,0914,Lewis M Myers El Sch,466,179,38.4%
126513070,Belmont Academy Charter School,CS,7557,Belmont Academy Charter School,122,122,100.0%
126510010,Belmont Charter School,CS,7750,Belmont Charter School,481,478,99.4%
122091002,Bensalem Township SD,SD,5211,Belmont Hills El Sch,548,221,40.3%
122091002,Bensalem Township SD,SD,4675,Benjamin Rush El Sch,411,262,63.7%
122091002,Bensalem Township SD,SD,5116,Bensalem Twp HS,"1,945",759,39.0%
122091002,Bensalem Township SD,SD,6451,Cecelia Snyder MS,439,185,42.1%
122091002,Bensalem Township SD,SD,1006,Cornwells El Sch,587,259,44.1%
