Percent of Enrollments from Low-Income Families,,,,,,,
School Level,,,,,,,
Year: 2017 - 2018,,,,,,,
 ,,,,,,,
AUN,LEA,LEA Type,School Number,School,Total Enrollment,Low Income Enrollment,Percent of Enrollment from Low Income Families
124150002,21st Century Cyber CS,CS,7691,21st Century Cyber CS,"1,039",145,14.0%
103020407,A W Beattie Career Center,CTC,5273,A W Beattie Career Center,749,301,40.2%
119350303,Abington Heights SD,SD,5091,Abington Heights HS,"1,048",183,17.5%
119350303,Abington Heights SD,SD,6839,Abington Heights MS,"1,099",245,22.3%
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,341,74,21.7%
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,248,76,30.6%
119350303,Abington Heights SD,SD,6398,South Abington Sch,290,42,14.5%
119350303,Abington Heights SD,SD,2402,Waverly Sch,343,52,15.2%
123460302,Abington SD,SD,3242,Abington JHS,"1,928",447,23.2%
123460302,Abington SD,SD,3241,Abington SHS,"1,781",414,23.2%
123460302,Abington SD,SD,7707,Copper Beech Sch,"1,128",224,19.9%
123460302,Abington SD,SD,3229,Highland Sch,512,148,28.9%
123460302,Abington SD,SD,5075,McKinley Sch,736,136,18.5%
123460302,Abington SD,SD,3232,Overlook Sch,548,174,31.8%
123460302,Abington SD,SD,3234,Roslyn Sch,510,133,26.1%
123460302,Abington SD,SD,3226,Rydal East Sch,607,96,15.8%
123460302,Abington SD,SD,4910,Willow Hill Sch,409,178,43.5%
102020003,Academy CS,CS,7846,Academy CS,104,64,61.5%
125230001,Achievement House CS,CS,7824,Achievement House CS,447,302,67.6%
126514368,ACT Academy Cyber CS,CS,8217,ACT Academy Cyber CS,104,32,30.8%
126510015,Ad Prima CS,CS,7825,Ad Prima CS,589,383,65.0%
108110307,Admiral Peary AVTS,CTC,6661,Admiral Peary AVTS,544,332,61.0%
126510020,Agora Cyber CS,CS,7858,Agora Cyber CS,"6,022","4,359",72.4%
101260303,Albert Gallatin Area SD,SD,8364,A L Wilson El Sch,358,184,51.4%
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,"1,073",522,48.6%
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,406,223,54.9%
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,371,207,55.8%
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,206,136,66.0%
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,326,191,58.6%
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,241,183,75.9%
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,317,170,53.6%
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,596,595,99.8%
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,455,455,100.0%
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,515,345,67.0%
103020603,Allegheny Valley SD,SD,5296,Acmetonia Primary Sch,266,148,55.6%
103020603,Allegheny Valley SD,SD,0024,Colfax Upper El Sch,222,118,53.2%
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,419,200,47.7%
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,379,202,53.3%
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,322,129,40.1%
121390302,Allentown City SD,SD,8412,Building 21 Allentown,406,325,80.0%
121390302,Allentown City SD,SD,2790,Central El Sch,727,565,77.7%
121390302,Allentown City SD,SD,7102,Cleveland El Sch,289,251,86.9%
121390302,Allentown City SD,SD,2792,Francis D Raub MS,859,729,84.9%
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,753,635,84.3%
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,649,482,74.3%
121390302,Allentown City SD,SD,8413,Jackson Early Childhood Center,226,204,90.3%
121390302,Allentown City SD,SD,2774,Jefferson El Sch,557,387,69.5%
121390302,Allentown City SD,SD,2775,Lehigh Parkway El Sch,338,233,68.9%
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,"1,839","1,431",77.8%
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,697,644,92.4%
121390302,Allentown City SD,SD,2777,McKinley El Sch,240,223,92.9%
121390302,Allentown City SD,SD,2779,Mosser El Sch,549,483,88.0%
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,448,356,79.5%
121390302,Allentown City SD,SD,2781,Ritter El Sch,604,507,83.9%
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,670,601,89.7%
121390302,Allentown City SD,SD,6448,Sheridan El Sch,642,641,99.8%
121390302,Allentown City SD,SD,2793,South Mountain MS,972,835,85.9%
121390302,Allentown City SD,SD,4929,Trexler MS,768,680,88.5%
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,669,598,89.4%
121390302,Allentown City SD,SD,2786,Washington El Sch,427,408,95.6%
121390302,Allentown City SD,SD,2794,William Allen HS,"2,747","2,096",76.3%
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,468,316,67.5%
108070502,Altoona Area SD,SD,0913,Altoona Area HS,"1,684",961,57.1%
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,"1,745","1,060",60.7%
108070502,Altoona Area SD,SD,0891,Baker El Sch,330,161,48.8%
108070502,Altoona Area SD,SD,0908,Irving El Sch,352,119,33.8%
108070502,Altoona Area SD,SD,0895,Juniata El Sch,601,495,82.4%
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,693,406,58.6%
108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,38,35,92.1%
108070502,Altoona Area SD,SD,0933,Logan El Sch,532,330,62.0%
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,610,443,72.6%
108070502,Altoona Area SD,SD,8280,Penn-Lincoln El Sch,439,396,90.2%
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,582,406,69.8%
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,773,348,45.0%
127040703,Ambridge Area SD,SD,0633,Ambridge Area JHS,371,230,62.0%
127040703,Ambridge Area SD,SD,0629,Economy El Sch,504,179,35.5%
127040703,Ambridge Area SD,SD,0661,Highland El Sch,427,297,69.6%
127040703,Ambridge Area SD,SD,0632,State Street El Sch,280,162,57.9%
113380303,Annville-Cleona SD,SD,2725,Annville Cleona HS,464,147,31.7%
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,436,163,37.4%
113380303,Annville-Cleona SD,SD,8178,Annville-Cleona MS,250,92,36.8%
113380303,Annville-Cleona SD,SD,2723,Cleona El Sch,290,105,36.2%
114060503,Antietam SD,SD,0820,Antietam MS/HS,488,241,49.4%
114060503,Antietam SD,SD,5205,Mt Penn El Sch,462,287,62.1%
114060503,Antietam SD,SD,7838,Mt Penn Primary Ctr,185,107,57.8%
104510394,Antonia Pantoja Community Charter School,CS,8031,Antonia Pantoja Community Charter School,697,457,65.6%
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,524,287,54.8%
