Percent Of Enrollments from Low-Income Families,,,,,,,,,
,,,,,,,,,
School Level,,,,,,,,,
Year: 2022-2023,,,,,,,,,
SUBMITTING AUN,LEA NAME,LEA TYPE,SCHOOL NUMBER,SCHOOL NAME,TOTAL ENROLLMENT,LOW INCOME ENROLLMENT,PERCENT OF ENROLLMENT FROM LOW INCOME FAMILIES,,
124150002,21st Century Cyber CS,Cyber CS,7691,21st Century Cyber CS,1241,107,8.62%,,
103020407,A W Beattie Career Center,OCCCTC,5273,A W Beattie Career Center,920,367,39.89%,,
119350303,Abington Heights SD,SD,5091,Abington Heights HS,1127,196,17.39%,,
119350303,Abington Heights SD,SD,6839,Abington Heights MS,1097,196,17.86%,,
119350303,Abington Heights SD,SD,7570,Clarks Summit El Sch,441,44,9.97%,,
119350303,Abington Heights SD,SD,2407,Newton-Ransom Sch,196,29,14.79%,,
119350303,Abington Heights SD,SD,6398,South Abington Sch,289,20,6.92%,,
119350303,Abington Heights SD,SD,2402,Waverly Sch,310,17,5.48%,,
123460302,Abington SD,SD,3242,Abington MS,2048,631,30.81%,,
123460302,Abington SD,SD,3241,Abington SHS,2749,871,31.68%,,
123460302,Abington SD,SD,7707,Copper Beech Sch,918,253,27.55%,,
123460302,Abington SD,SD,3229,Highland Sch,440,158,35.90%,,
123460302,Abington SD,SD,5075,McKinley Sch,572,168,29.37%,,
123460302,Abington SD,SD,3232,Overlook Sch,461,174,37.74%,,
123460302,Abington SD,SD,3234,Roslyn Sch,415,140,33.73%,,
123460302,Abington SD,SD,3226,Rydal El Sch,521,134,25.71%,,
123460302,Abington SD,SD,4910,Willow Hill Sch,411,187,45.49%,,
125230001,Achievement House CS,Cyber CS,7824,Achievement House CS,958,598,62.42%,,
126510015,Ad Prima CS,CS,7825,Ad Prima CS,582,534,91.75%,,
112015106,Adams County Technical Institute,OCCCTC,8471,Adams County Technical Institute,254,80,31.49%,,
108110307,Admiral Peary AVTS,OCCCTC,6661,Admiral Peary AVTS,741,366,49.39%,,
126510020,Agora Cyber CS,Cyber CS,7858,Agora Cyber CS,4957,2127,42.90%,,
101260303,Albert Gallatin Area SD,SD,8364,A L Wilson El Sch,344,191,55.52%,,
101260303,Albert Gallatin Area SD,SD,6001,Albert Gallatin Area SHS,972,517,53.18%,,
101260303,Albert Gallatin Area SD,SD,7607,Albert Gallatin North MS,385,208,54.02%,,
101260303,Albert Gallatin Area SD,SD,7608,Albert Gallatin South MS,360,205,56.94%,,
101260303,Albert Gallatin Area SD,SD,4922,Friendship Hill El Sch,169,114,67.45%,,
101260303,Albert Gallatin Area SD,SD,2129,George J Plava El Sch,321,197,61.37%,,
101260303,Albert Gallatin Area SD,SD,6002,Masontown El Sch,249,185,74.29%,,
101260303,Albert Gallatin Area SD,SD,4921,Smithfield El Sch,254,145,57.08%,,
127040503,Aliquippa SD,SD,8085,Aliquippa El Sch,474,406,85.65%,,
127040503,Aliquippa SD,SD,8086,Aliquippa JSHS,474,456,96.20%,,
103000000,Allegheny IU 3,IU,0000,Allegheny IU 3,518,424,81.85%,,
103020603,Allegheny Valley SD,SD,5296,Acmetonia El Sch,484,211,43.59%,,
103020603,Allegheny Valley SD,SD,0029,Springdale JSHS,387,142,36.69%,,
106160303,Allegheny-Clarion Valley SD,SD,7467,Allegheny-Clarion Valley Elem,318,151,47.48%,,
106160303,Allegheny-Clarion Valley SD,SD,4664,Allegheny-Clarion Valley HS,265,134,50.56%,,
121390302,Allentown City SD,SD,8484,Brigadier General Anna Mae Hays El Sch,813,690,84.87%,,
121390302,Allentown City SD,SD,8412,Building 21 Allentown,439,349,79.49%,,
121390302,Allentown City SD,SD,2790,Central El Sch,662,586,88.51%,,
121390302,Allentown City SD,SD,2792,Francis D Raub MS,909,747,82.17%,,
121390302,Allentown City SD,SD,2791,Harrison-Morton MS,733,585,79.80%,,
121390302,Allentown City SD,SD,2768,Hiram W Dodd El Sch,636,492,77.35%,,
121390302,Allentown City SD,SD,8413,Jackson Early Childhood Center,240,209,87.08%,,
121390302,Allentown City SD,SD,2774,Jefferson El Sch,524,424,80.91%,,
121390302,Allentown City SD,SD,2775,Lehigh Parkway El Sch,278,191,68.70%,,
121390302,Allentown City SD,SD,2795,Louis E Dieruff HS,1915,1409,73.57%,,
121390302,Allentown City SD,SD,8140,Luis A. Ramos El Sch,625,516,82.56%,,
121390302,Allentown City SD,SD,2779,Mosser El Sch,482,404,83.81%,,
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,488,361,73.97%,,
121390302,Allentown City SD,SD,2781,Ritter El Sch,409,312,76.28%,,
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,532,426,80.07%,,
121390302,Allentown City SD,SD,6448,Sheridan El Sch,560,487,86.96%,,
121390302,Allentown City SD,SD,2793,South Mountain MS,1007,746,74.08%,,
121390302,Allentown City SD,SD,4929,Trexler MS,820,637,77.68%,,
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,658,514,78.11%,,
121390302,Allentown City SD,SD,2786,Washington El Sch,346,298,86.12%,,
121390302,Allentown City SD,SD,2794,William Allen HS,2852,2164,75.87%,,
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,559,482,86.22%,,
108070502,Altoona Area SD,SD,0913,Altoona Area HS,2228,1386,62.20%,,
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,1727,1220,70.64%,,
108070502,Altoona Area SD,SD,0891,Baker El Sch,299,150,50.16%,,
108070502,Altoona Area SD,SD,0908,Irving El Sch,280,130,46.42%,,
108070502,Altoona Area SD,SD,0895,Juniata El Sch,460,386,83.91%,,
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,553,360,65.09%,,
108070502,Altoona Area SD,SD,7425,Kimmel Alternative School,1,1,100.00%,,
108070502,Altoona Area SD,SD,0933,Logan El Sch,439,297,67.65%,,
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,406,295,72.66%,,
108070502,Altoona Area SD,SD,8280,Penn-Lincoln El Sch,368,323,87.77%,,
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,465,352,75.69%,,
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,733,381,51.97%,,
127040703,Ambridge Area SD,SD,0633,Ambridge Area MS,467,242,51.82%,,
127040703,Ambridge Area SD,SD,0629,Economy El Sch,447,145,32.43%,,
127040703,Ambridge Area SD,SD,0661,Highland El Sch,316,223,70.56%,,
127040703,Ambridge Area SD,SD,0632,State Street El Sch,275,170,61.81%,,
113380303,Annville-Cleona SD,SD,2725,Annville Cleona HS,490,157,32.04%,,
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,444,181,40.76%,,
113380303,Annville-Cleona SD,SD,8178,Annville-Cleona MS,207,83,40.09%,,
113380303,Annville-Cleona SD,SD,2723,Cleona El Sch,299,122,40.80%,,
114060503,Antietam SD,SD,0820,Antietam MS/HS,548,336,61.31%,,
114060503,Antietam SD,SD,5205,Mt Penn El Sch,329,182,55.31%,,
114060503,Antietam SD,SD,8482,Mt Penn Primary Ctr,278,177,63.66%,,
104510394,Antonia Pantoja Community CS,CS,8031,Antonia Pantoja Community CS,699,573,81.97%,,
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,514,302,58.75%,,
128030603,Apollo-Ridge SD,SD,2320,Apollo-Ridge HS,307,130,42.34%,,
128030603,Apollo-Ridge SD,SD,6570,Apollo-Ridge MS,274,153,55.83%,,
108000000,Appalachia IU 8,IU,0000,Appalachia IU 8,176,33,18.75%,,
128000000,ARIN IU 28,IU,0000,ARIN IU 28,39,22,56.41%,,
128030852,Armstrong SD,SD,8342,Armstrong JSHS,1564,692,44.24%,,
128030852,Armstrong SD,SD,0569,Dayton El Sch,201,98,48.75%,,
128030852,Armstrong SD,SD,6574,Elderton El Sch,216,80,37.03%,,
128030852,Armstrong SD,SD,5002,Lenape El Sch,724,382,52.76%,,
128030852,Armstrong SD,SD,6577,Shannock Valley El Sch,336,177,52.67%,,
128030852,Armstrong SD,SD,7896,West Hills Intermediate Sch,475,249,52.42%,,
128030852,Armstrong SD,SD,7895,West Hills Primary Sch,548,287,52.37%,,
128030852,Armstrong SD,SD,7640,West Shamokin JSHS,574,252,43.90%,,
121395927,Arts Academy CS,CS,8214,Arts Academy CS,312,178,57.05%,,
121399898,Arts Academy Elementary CS,CS,8336,Arts Academy Elementary CS,414,313,75.60%,,
181519176,ASPIRA Bilingual Cyber CS,Cyber CS,8148,ASPIRA Bilingual Cyber CS,876,537,61.30%,,
117080503,Athens Area SD,SD,0958,Athens Area HS,664,301,45.33%,,
117080503,Athens Area SD,SD,4918,Audrielle Lynch-Ellen Bustin El Sch,549,184,33.51%,,
117080503,Athens Area SD,SD,8220,Harlan Rowe MS,456,195,42.76%,,
117080503,Athens Area SD,SD,8219,SRU El Sch,400,127,31.75%,,
109530304,Austin Area SD,SD,6221,Austin Area El Sch,78,40,51.28%,,
109530304,Austin Area SD,SD,6222,Austin Area JSHS,93,38,40.86%,,
101630504,Avella Area SD,SD,4165,Avella Area JSHS,227,118,51.98%,,
101630504,Avella Area SD,SD,7098,Avella El Center,252,146,57.93%,,
124150003,Avon Grove CS,CS,7721,Avon Grove CS,1886,715,37.91%,,
124150503,Avon Grove SD,SD,1367,Avon Grove HS,1754,580,33.06%,,
124150503,Avon Grove SD,SD,1365,Avon Grove Intrmd Sch,1457,467,32.05%,,
124150503,Avon Grove SD,SD,5216,Fred S Engle MS,819,246,30.03%,,
124150503,Avon Grove SD,SD,7323,Penn London El Sch,1010,271,26.83%,,
103020753,Avonworth SD,SD,0034,Avonworth El Sch,612,84,13.72%,,
103020753,Avonworth SD,SD,5199,Avonworth HS,564,80,14.18%,,
103020753,Avonworth SD,SD,7669,Avonworth MS,307,47,15.30%,,
103020753,Avonworth SD,SD,8320,Avonworth Primary Center,464,52,11.20%,,
127046517,Baden Academy CS,CS,8211,Baden Academy CS,586,378,64.50%,,
110141003,Bald Eagle Area SD,SD,1335,Bald Eagle Area JSHS,842,335,39.78%,,
110141003,Bald Eagle Area SD,SD,1333,Howard El Sch,90,38,42.22%,,
110141003,Bald Eagle Area SD,SD,1334,Mountaintop Area El Sch,116,47,40.51%,,
110141003,Bald Eagle Area SD,SD,1331,Port Matilda El Sch,100,41,41.00%,,
110141003,Bald Eagle Area SD,SD,1330,Wingate El Sch,373,180,48.25%,,
103021102,Baldwin-Whitehall SD,SD,0050,Baldwin SHS,2088,946,45.30%,,
103021102,Baldwin-Whitehall SD,SD,6787,J.E. Harrison Education Ctr,1143,668,58.44%,,
103021102,Baldwin-Whitehall SD,SD,0037,McAnnulty El Sch,435,191,43.90%,,
103021102,Baldwin-Whitehall SD,SD,0048,Whitehall El Sch,862,420,48.72%,,
120480803,Bangor Area SD,SD,3434,Bangor Area HS,887,369,41.60%,,
120480803,Bangor Area SD,SD,5257,Bangor Area MS,455,216,47.47%,,
120480803,Bangor Area SD,SD,8450,DeFranco El Sch,431,180,41.76%,,
120480803,Bangor Area SD,SD,8449,Five Points El Sch,578,257,44.46%,,
120480803,Bangor Area SD,SD,3430,Washington El Sch,424,202,47.64%,,
118400001,Bear Creek Community CS,CS,7827,Bear Creek Community CS,511,245,47.94%,,
127041203,Beaver Area SD,SD,7386,Beaver Area MS,307,80,26.05%,,
127041203,Beaver Area SD,SD,0640,Beaver Area SHS,644,189,29.34%,,
127041203,Beaver Area SD,SD,8065,College Square El Sch,433,106,24.48%,,
127041203,Beaver Area SD,SD,7823,Dutch Ridge El Sch,589,123,20.88%,,
127041307,Beaver County CTC,OCCCTC,6985,Beaver County CTC,697,365,52.36%,,
127000000,Beaver Valley IU 27,IU,0000,Beaver Valley IU 27,231,128,55.41%,,
108051003,Bedford Area SD,SD,7545,Bedford El Sch,766,390,50.91%,,
108051003,Bedford Area SD,SD,7021,Bedford MS,404,173,42.82%,,
108051003,Bedford Area SD,SD,0726,Bedford SHS,538,233,43.30%,,
108051307,Bedford County Technical Center,OCCCTC,7096,Bedford County Technical Center,342,178,52.04%,,
107650603,Belle Vernon Area SD,SD,4930,Belle Vernon Area HS,752,322,42.81%,,
107650603,Belle Vernon Area SD,SD,8269,Belle Vernon Area MS,334,154,46.10%,,
107650603,Belle Vernon Area SD,SD,4328,Marion El Sch,635,398,62.67%,,
107650603,Belle Vernon Area SD,SD,4325,Rostraver El Sch,646,293,45.35%,,
110141103,Bellefonte Area SD,SD,1343,Bellefonte Area HS,847,246,29.04%,,
110141103,Bellefonte Area SD,SD,1342,Bellefonte Area MS,576,159,27.60%,,
110141103,Bellefonte Area SD,SD,1341,Bellefonte El Sch,335,158,47.16%,,
110141103,Bellefonte Area SD,SD,1339,Benner El Sch,244,54,22.13%,,
110141103,Bellefonte Area SD,SD,1340,Marion-Walker El Sch,404,86,21.28%,,
110141103,Bellefonte Area SD,SD,6229,Pleasant Gap El Sch,193,49,25.38%,,
108071003,Bellwood-Antis SD,SD,7144,Bellwood Antis MS,371,160,43.12%,,
108071003,Bellwood-Antis SD,SD,0917,Bellwood-Antis HS,392,162,41.32%,,
108071003,Bellwood-Antis SD,SD,0914,Lewis M Myers El Sch,400,169,42.25%,,
126510010,Belmont CS,CS,7750,Belmont CS,926,837,90.38%,,
122091002,Bensalem Township SD,SD,5211,Belmont Hills El Sch,542,310,57.19%,,
122091002,Bensalem Township SD,SD,4675,Benjamin Rush El Sch,378,288,76.19%,,
122091002,Bensalem Township SD,SD,5116,Bensalem Twp HS,2120,1181,55.70%,,
122091002,Bensalem Township SD,SD,6451,Cecelia Snyder MS,431,241,55.91%,,
122091002,Bensalem Township SD,SD,1006,Cornwells El Sch,554,332,59.92%,,
122091002,Bensalem Township SD,SD,7030,Robert K Shafer MS,612,382,62.41%,,
122091002,Bensalem Township SD,SD,6896,Russell C Struble El Sch,499,218,43.68%,,
122091002,Bensalem Township SD,SD,1008,Samuel K Faust El Sch,567,443,78.13%,,
122091002,Bensalem Township SD,SD,6788,Valley El Sch,622,321,51.60%,,
116191004,Benton Area SD,SD,1594,Appleman El Sch,316,166,52.53%,,
116191004,Benton Area SD,SD,8434,Benton Area HS,200,95,47.50%,,
116191004,Benton Area SD,SD,8433,Benton Area MS,104,58,55.76%,,
101630903,Bentworth SD,SD,7987,Bentworth El Ctr,378,223,58.99%,,
101630903,Bentworth SD,SD,7988,Bentworth MS,327,180,55.04%,,
101630903,Bentworth SD,SD,4188,Bentworth SHS,344,186,54.06%,,
114000000,Berks County IU 14,IU,0000,Berks County IU 14,145,56,38.62%,,
114060557,Berks CTC,OCCCTC,6304,Berks CTC-East Campus,1008,215,21.32%,,
114060557,Berks CTC,OCCCTC,7068,Berks CTC-West Campus,843,166,19.69%,,
108561003,Berlin Brothersvalley SD,SD,6206,Berlin Brothersvalley El Sch,287,122,42.50%,,
108561003,Berlin Brothersvalley SD,SD,7645,Berlin Brothersvalley MS,225,87,38.66%,,
108561003,Berlin Brothersvalley SD,SD,6207,Berlin Brothersvalley SHS,209,88,42.10%,,
112011103,Bermudian Springs SD,SD,7302,Bermudian Springs El Sch,612,259,42.32%,,
112011103,Bermudian Springs SD,SD,0003,Bermudian Springs HS,592,180,30.40%,,
112011103,Bermudian Springs SD,SD,6921,Bermudian Springs MS,548,206,37.59%,,
116191103,Berwick Area SD,SD,1605,Berwick Area HS,782,430,54.98%,,
116191103,Berwick Area SD,SD,6808,Berwick Area MS,844,511,60.54%,,
116191103,Berwick Area SD,SD,6349,Nescopeck El Sch,156,64,41.02%,,
116191103,Berwick Area SD,SD,1597,Salem El Sch,396,189,47.72%,,
116191103,Berwick Area SD,SD,8378,West Berwick El Sch,486,272,55.96%,,
103021252,Bethel Park SD,SD,4802,Abraham Lincoln El Sch,348,58,16.66%,,
103021252,Bethel Park SD,SD,7326,Benjamin Franklin El Sch,327,64,19.57%,,
103021252,Bethel Park SD,SD,0055,Bethel Memorial El Sch,348,57,16.37%,,
103021252,Bethel Park SD,SD,0062,Bethel Park HS,1340,259,19.32%,,
103021252,Bethel Park SD,SD,4902,George Washington El Sch,261,35,13.40%,,
103021252,Bethel Park SD,SD,0061,Independence MS,537,97,18.06%,,
103021252,Bethel Park SD,SD,7327,Neil Armstrong 5-6 MS,583,110,18.86%,,
103021252,Bethel Park SD,SD,0060,William Penn El Sch,183,27,14.75%,,
120481002,Bethlehem Area SD,SD,5063,Asa Packer El Sch,339,101,29.79%,,
120481002,Bethlehem Area SD,SD,3464,Broughal MS,500,438,87.60%,,
120481002,Bethlehem Area SD,SD,3436,Calypso El Sch,224,144,64.28%,,
120481002,Bethlehem Area SD,SD,3453,Clearview El Sch,382,242,63.35%,,
120481002,Bethlehem Area SD,SD,6722,Donegan El Sch,449,403,89.75%,,
120481002,Bethlehem Area SD,SD,4956,East Hills MS,1047,490,46.80%,,
120481002,Bethlehem Area SD,SD,3456,Farmersville El Sch,361,114,31.57%,,
120481002,Bethlehem Area SD,SD,6723,Fountain Hill El Sch,513,439,85.57%,,
120481002,Bethlehem Area SD,SD,4957,Freedom HS,1753,914,52.13%,,
120481002,Bethlehem Area SD,SD,3458,Freemansburg El Sch,347,270,77.80%,,
120481002,Bethlehem Area SD,SD,3449,Governor Wolf El Sch,459,260,56.64%,,
120481002,Bethlehem Area SD,SD,3459,Hanover El Sch,226,35,15.48%,,
120481002,Bethlehem Area SD,SD,3442,James Buchanan El Sch,263,160,60.83%,,
120481002,Bethlehem Area SD,SD,3465,Liberty HS,2640,1646,62.34%,,
120481002,Bethlehem Area SD,SD,3443,Lincoln El Sch,319,245,76.80%,,
120481002,Bethlehem Area SD,SD,3454,Marvine El Sch,300,271,90.33%,,
120481002,Bethlehem Area SD,SD,3455,Miller Heights El Sch,340,125,36.76%,,
120481002,Bethlehem Area SD,SD,3463,Nitschmann MS,781,379,48.52%,,
120481002,Bethlehem Area SD,SD,3462,Northeast MS,725,541,74.62%,,
120481002,Bethlehem Area SD,SD,3452,Spring Garden El Sch,508,235,46.25%,,
120481002,Bethlehem Area SD,SD,6633,Thomas Jefferson El Sch,224,174,77.67%,,
120481002,Bethlehem Area SD,SD,6634,William Penn El Sch,239,172,71.96%,,
120481107,Bethlehem AVTS,OCCCTC,5286,Bethlehem AVTS,1346,634,47.10%,,
101631003,Bethlehem-Center SD,SD,6975,Bethlehem-Center El Sch,435,213,48.96%,,
101631003,Bethlehem-Center SD,SD,5267,Bethlehem-Center MS,242,141,58.26%,,
101631003,Bethlehem-Center SD,SD,4181,Bethlehem-Center SHS,302,151,50.00%,,
127041503,Big Beaver Falls Area SD,SD,0649,Beaver Falls Area SHS,469,355,75.69%,,
127041503,Big Beaver Falls Area SD,SD,0648,Beaver Falls MS,384,299,77.86%,,
127041503,Big Beaver Falls Area SD,SD,0650,Big Beaver El Sch,291,183,62.88%,,
127041503,Big Beaver Falls Area SD,SD,0642,Central El Sch,497,388,78.06%,,
115210503,Big Spring SD,SD,1677,Big Spring HS,739,296,40.05%,,
115210503,Big Spring SD,SD,6326,Big Spring MS,593,261,44.01%,,
115210503,Big Spring SD,SD,7951,Mount Rock Elem Sch,327,122,37.30%,,
115210503,Big Spring SD,SD,1676,Newville El Sch,357,188,52.66%,,
115210503,Big Spring SD,SD,7355,Oak Flat El Sch,394,175,44.41%,,
127041603,Blackhawk SD,SD,6707,Blackhawk HS,762,265,34.77%,,
127041603,Blackhawk SD,SD,8476,Blackhawk Intermediate Sch,708,262,37.00%,,
127041603,Blackhawk SD,SD,6558,Highland MS,700,247,35.28%,,
127041603,Blackhawk SD,SD,6560,Patterson Primary Sch,146,52,35.61%,,
108110603,Blacklick Valley SD,SD,6828,Blacklick Valley El Ctr,318,192,60.37%,,
108110603,Blacklick Valley SD,SD,5135,Blacklick Valley JSHS,282,123,43.61%,,
117000000,BLaST IU 17,IU,0000,BLaST IU 17,272,168,61.76%,,
116191203,Bloomsburg Area SD,SD,1610,Beaver-Main El Sch,99,38,38.38%,,
116191203,Bloomsburg Area SD,SD,1612,Bloomsburg Area HS,428,184,42.99%,,
116191203,Bloomsburg Area SD,SD,1611,Bloomsburg Area MS,354,164,46.32%,,
116191203,Bloomsburg Area SD,SD,1606,Memorial El Sch,432,266,61.57%,,
116191203,Bloomsburg Area SD,SD,1608,W W Evans Memorial El Sch,220,67,30.45%,,
129540803,Blue Mountain SD,SD,4659,Blue Mountain El East Sch,616,203,32.95%,,
129540803,Blue Mountain SD,SD,3891,Blue Mountain HS,803,257,32.00%,,
129540803,Blue Mountain SD,SD,5263,Blue Mountain MS,575,196,34.08%,,
129540803,Blue Mountain SD,SD,8505,Elementary West,451,161,35.69%,,
