DistrictName,SchoolName,Schl,AcademicYearId,AUN,DataElement,DisplayValue
Albert Gallatin Area SD,Albert Gallatin Area SHS,6001,19,101260303,Federal - Non-Personnel,35.22
Albert Gallatin Area SD,Albert Gallatin North MS,7607,19,101260303,Federal - Non-Personnel,41.89
Albert Gallatin Area SD,Albert Gallatin South MS,7608,19,101260303,Federal - Non-Personnel,41.81
Albert Gallatin Area SD,Friendship Hill El Sch,4922,19,101260303,Federal - Non-Personnel,160.13
Albert Gallatin Area SD,George J Plava El Sch,2129,19,101260303,Federal - Non-Personnel,108.38
Albert Gallatin Area SD,Masontown El Sch,6002,19,101260303,Federal - Non-Personnel,153.75
Albert Gallatin Area SD,Smithfield El Sch,4921,19,101260303,Federal - Non-Personnel,135.06
Brownsville Area SD,Brownsville Area HS,4818,19,101260803,Federal - Non-Personnel,163.93
Brownsville Area SD,Brownsville Area MS,2154,19,101260803,Federal - Non-Personnel,55.17
Connellsville Area SD,Bullskin El Sch,2097,19,101261302,Federal - Non-Personnel,190.89
Connellsville Area SD,Connellsville Area SHS,5228,19,101261302,Federal - Non-Personnel,205.55
Connellsville Area SD,Connellsville Area MS,2105,19,101261302,Federal - Non-Personnel,193.91
Connellsville Area SD,Dunbar Twp El Sch,5048,19,101261302,Federal - Non-Personnel,189.87
Connellsville Area SD,Springfield El Sch,2172,19,101261302,Federal - Non-Personnel,202.21
Connellsville Area SD,West Crawford El Sch,4939,19,101261302,Federal - Non-Personnel,192.83
Frazier SD,Frazier HS,2126,19,101262903,Federal - Non-Personnel,85.64
Frazier SD,Frazier MS,7176,19,101262903,Federal - Non-Personnel,85.67
Frazier SD,Frazier El Sch,6686,19,101262903,Federal - Non-Personnel,88.89
Laurel Highlands SD,Clark El Sch,2146,19,101264003,Federal - Non-Personnel,0
Laurel Highlands SD,Hatfield El Sch,2163,19,101264003,Federal - Non-Personnel,0
Laurel Highlands SD,Hutchinson El Sch,4700,19,101264003,Federal - Non-Personnel,0
Laurel Highlands SD,Laurel Highlands MS,5146,19,101264003,Federal - Non-Personnel,0
Laurel Highlands SD,Laurel Highlands SHS,6600,19,101264003,Federal - Non-Personnel,1199.23
Laurel Highlands SD,Marshall El Sch,4820,19,101264003,Federal - Non-Personnel,0
Uniontown Area SD,A J McMullen Sch,6933,19,101268003,Federal - Non-Personnel,81.14
Uniontown Area SD,Ben Franklin Sch,2182,19,101268003,Federal - Non-Personnel,31.24
Uniontown Area SD,Franklin Sch,6007,19,101268003,Federal - Non-Personnel,104.59
Uniontown Area SD,Lafayette El Sch,7933,19,101268003,Federal - Non-Personnel,46.52
Uniontown Area SD,Lafayette MS,7934,19,101268003,Federal - Non-Personnel,76.33
Uniontown Area SD,Marclay Sch,2137,19,101268003,Federal - Non-Personnel,113.89
Uniontown Area SD,Menallen Sch,2139,19,101268003,Federal - Non-Personnel,53.66
Uniontown Area SD,Uniontown Area SHS,2184,19,101268003,Federal - Non-Personnel,49.5
Uniontown Area SD,Wharton Sch,2185,19,101268003,Federal - Non-Personnel,87.25
Carmichaels Area SD,Carmichaels Area El Ctr,7315,19,101301303,Federal - Non-Personnel,54.77
Carmichaels Area SD,Carmichaels Area HS,7112,19,101301303,Federal - Non-Personnel,5.9
Central Greene SD,Miller MS,6010,19,101301403,Federal - Non-Personnel,0
Central Greene SD,Waynesburg Central El School,7476,19,101301403,Federal - Non-Personnel,25.55
Central Greene SD,Waynesburg Central HS,5118,19,101301403,Federal - Non-Personnel,0
Jefferson-Morgan SD,Jefferson-Morgan El Sch,7029,19,101303503,Federal - Non-Personnel,117.54
Jefferson-Morgan SD,Jefferson-Morgan MS/HS,2280,19,101303503,Federal - Non-Personnel,110.02
Southeastern Greene SD,Bobtown El Sch,2271,19,101306503,Federal - Non-Personnel,0
Southeastern Greene SD,Mapletown JSHS,2284,19,101306503,Federal - Non-Personnel,0
Avella Area SD,Avella Area JSHS,4165,19,101630504,Federal - Non-Personnel,199.84
Avella Area SD,Avella El Center,7098,19,101630504,Federal - Non-Personnel,164.07
Bentworth SD,Bentworth El Ctr,7987,19,101630903,Federal - Non-Personnel,238.8
Bentworth SD,Bentworth MS,7988,19,101630903,Federal - Non-Personnel,232.76
Bentworth SD,Bentworth SHS,4188,19,101630903,Federal - Non-Personnel,232.81
Bethlehem-Center SD,Bethlehem-Center El Sch,6975,19,101631003,Federal - Non-Personnel,73.22
Bethlehem-Center SD,Bethlehem-Center MS,5267,19,101631003,Federal - Non-Personnel,88.21
Bethlehem-Center SD,Bethlehem-Center SHS,4181,19,101631003,Federal - Non-Personnel,87.64
Burgettstown Area SD,Burgettstown El Ctr,7477,19,101631203,Federal - Non-Personnel,22.45
Burgettstown Area SD,Burgettstown MS/HS,4195,19,101631203,Federal - Non-Personnel,19.09
California Area SD,California Area El Sch,7221,19,101631503,Federal - Non-Personnel,42.18
California Area SD,California Area Intermediate MS,8051,19,101631503,Federal - Non-Personnel,32.54
California Area SD,California Area MS,6939,19,101631503,Federal - Non-Personnel,32.79
California Area SD,California Area SHS,4203,19,101631503,Federal - Non-Personnel,57.28
Canon-McMillan SD,Borland Manor El Sch,4211,19,101631703,Federal - Non-Personnel,13.7
Canon-McMillan SD,Canon-McMillan SHS,4217,19,101631703,Federal - Non-Personnel,6.01
Canon-McMillan SD,Canonsburg MS,7217,19,101631703,Federal - Non-Personnel,6.01
Canon-McMillan SD,Cecil Intrmd Sch,7216,19,101631703,Federal - Non-Personnel,13.64
Canon-McMillan SD,Hills-Hendersonville El Sch,4938,19,101631703,Federal - Non-Personnel,13.67
Canon-McMillan SD,Muse El Sch,8397,19,101631703,Federal - Non-Personnel,13.69
Canon-McMillan SD,North Strabane Intrmd Sch,7764,19,101631703,Federal - Non-Personnel,13.64
Canon-McMillan SD,South Central El,4937,19,101631703,Federal - Non-Personnel,13.64
Canon-McMillan SD,Wylandville El Sch,4214,19,101631703,Federal - Non-Personnel,13.88
Charleroi SD,Charleroi Area El Ctr,7258,19,101631803,Federal - Non-Personnel,40.83
Charleroi SD,Charleroi Area HS,4715,19,101631803,Federal - Non-Personnel,44.77
Charleroi SD,Charleroi Area MS,7157,19,101631803,Federal - Non-Personnel,40.45
Chartiers-Houston SD,Allison Park El Sch,4234,19,101631903,Federal - Non-Personnel,0
Chartiers-Houston SD,Chartiers-Houston JSHS,4235,19,101631903,Federal - Non-Personnel,0
McGuffey SD,Claysville El Sch,4248,19,101633903,Federal - Non-Personnel,96.35
McGuffey SD,Joe Walker El Sch,4244,19,101633903,Federal - Non-Personnel,72.71
McGuffey SD,McGuffey HS,4249,19,101633903,Federal - Non-Personnel,84.86
McGuffey SD,McGuffey MS,6976,19,101633903,Federal - Non-Personnel,34.38
Peters Township SD,Bower Hill El Sch,7594,19,101636503,Federal - Non-Personnel,2.93
Peters Township SD,McMurray El Sch,7393,19,101636503,Federal - Non-Personnel,2.92
Peters Township SD,Peters Twp HS,5083,19,101636503,Federal - Non-Personnel,0
Peters Township SD,Peters Twp MS,4256,19,101636503,Federal - Non-Personnel,0
Peters Township SD,Pleasant Valley El Sch,4255,19,101636503,Federal - Non-Personnel,2.94
Ringgold SD,Ringgold MS,8103,19,101637002,Federal - Non-Personnel,23.7
