Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
3,19.33,17.18,1649.15,6224.19,1214.51,4507.17
10,28.26,35.22,1783.21,8429.74,725.34,3634.26
13,0,0,985.7,6776.74,628.3,4319.59
14,0,0,1142.93,7761.11,728.52,4947.04
17,36.85,185.3,1519.99,7643.47,746.18,3752.25
18,0,0,1643.72,6184.02,1230.32,4749.53
19,0,0,1485.64,6097.38,1112,4682.99
21,0,99.54,3095.5,6218.62,2321.89,4664.51
29,116.26,104.23,8351.16,7397.35,2621.87,3579.95
30,66.59,384.2,1604.84,9259.84,1000.66,5773.79
34,8.25,346.13,810.37,8565.81,233.36,2466.63
37,21.44,281.33,1595.02,8656.76,0,0
48,21.49,281.58,1612.66,9559.52,0,0
50,21.58,282.64,2381.08,11342.47,0,0
53,98.43,466.12,2372.47,11234.17,1479.3,7004.85
55,0,0.53,1.28,32.03,0,6.82
60,0,4.72,2.4,59.67,0.01,21.55
61,0,0.85,0.75,17.07,0.02,3.53
62,0,0,0.62,8.22,0,0.96
68,154.12,150.29,1274.06,7273.66,959.17,5475.96
69,92.95,256.28,1102.39,6581.85,829.93,4955.14
70,0,204.49,1948.52,9102.46,1466.94,6852.77
77,310.72,1018.9,2252,11811.12,17.05,2601.1
78,112.65,1130.19,2226.8,10872.27,62.84,1957.38
79,295.15,0.92,2446.51,14641.16,162.16,2039.05
107,109.6,499.22,2380.91,9979.94,1398.31,5861.29
136,0,776.58,578.64,8680.04,439.61,6594.47
139,143.33,1026.2,521.13,7215.87,395.91,5482.1
142,0,0,627.71,8981.1,476.89,6823.19
144,0,0,1911.4,10728.06,1452.14,8150.41
147,40.26,592.76,2507.77,15220.42,621.08,3769.5
149,8.95,211.65,2303.78,13716.2,570.56,3396.96
153,34.7,1047.15,2798.06,15800.99,692.97,3913.28
156,47.92,55.26,3245.69,15506.73,803.83,3840.41
157,46.55,778.78,1312.45,10364.08,487.64,3850.82
161,39.23,1054.15,1300.69,10107.01,483.28,3755.3
165,40.51,586.59,1304.09,10305.88,484.54,3829.19
167,3.83,418.67,3422.95,10783.24,1271.81,4006.56
169,73.49,350.49,2891.41,10209.32,1074.32,3793.31
170,8.62,591.5,2836.96,12044.19,1054.08,4475.07
175,270.38,247.86,1002.57,9349.63,380.76,3550.88
176,266.38,243.17,1046.28,9272.34,397.23,3521.52
178,265.04,243.3,974.2,9245.97,369.99,3511.51
179,205.83,177.8,1021.54,11095.74,387.97,4214.03
182,89.53,297.16,1794.4,5955.52,1846.63,6128.86
191,109.57,350,2195.92,7014.65,2259.83,7218.82
193,678.39,3259.03,1275.55,32509.96,0,0
196,41.38,0,11497.15,17449.41,0,0
203,0,0,1936.14,10760.82,601.73,3344.33
204,14.29,1413.09,1904.12,8996.15,591.78,2795.89
240,33.23,197.05,1598.43,9477.55,478.21,2835.44
245,49.94,538.05,742.67,9493.21,200.11,2540.66
246,20.92,452.28,763.4,8788.81,197.29,2376.32
247,21.04,93.82,753.89,10427.58,204.98,2855.21
248,20.81,23.11,732.4,9760.74,199.27,2622.66
249,20.9,27.25,779.78,11084.49,212.41,2979.56
250,21.19,25.12,828.1,10327.36,225.4,2782.23
251,28.84,35.16,988.99,11298.31,269.11,3070.47
254,21.92,367.92,1322.37,11776.42,361.17,3212.57
259,0,2.26,2634.84,9801.23,0,0
260,39.86,0,1758.83,12038.26,0,0
263,67.39,14.08,1741.68,12925.02,1.66,65.93
265,93.17,16.95,1600.16,14970.93,1.66,171.22
266,104.92,57.16,1593.98,14945.44,1.66,139.71
268,99.55,95.05,1644.59,13847.59,1.66,240.23
269,90.74,66.38,1671.35,15264.57,1.66,101.25
270,86.24,14.13,1746.18,15748.71,1.66,0.69
290,0,387.38,2001.72,12498.75,0,0
291,0,298.17,1927.27,11246.85,0,0
295,0,198.32,1855.26,9057.6,446.81,3050.33
309,60.3,316.65,2466.67,8368.86,1838.91,6239.03
314,15.89,315.72,1948.62,10748.52,455.51,2512.6
315,16.3,266.52,2569.24,10237.55,600.59,2393.16
326,252.02,1567.52,1853.27,8945.38,1456.75,7031.36
330,256.49,1595.32,1886.14,9104.04,1482.58,7156.08
351,253.95,1579.56,1867.5,9014.06,1467.93,7085.35
363,260.06,1617.54,1912.42,9230.84,1503.23,7255.75
365,252.75,1572.07,1858.65,8971.31,1460.97,7051.75
379,247.56,1539.79,1820.48,8787.11,1430.97,6906.96
395,249.46,1551.58,1834.43,8854.41,1441.93,6959.86
400,249.71,1553.18,1836.32,8863.53,1443.42,6967.03
409,246.19,1531.27,1810.41,8738.48,1423.05,6868.74
412,237.59,1477.78,1747.17,8433.26,1373.35,6628.82
416,231.18,1437.9,1700.02,8205.66,1336.28,6449.92
427,0,479.73,48.08,6103.16,32.72,4154.25
435,0,98.75,81.6,6555.43,55.54,4462.1
438,20.65,764.41,1171.71,4026.55,2413.3,8293.27
440,7.9,265.96,1143.81,3705.45,2355.84,7631.91
447,9.87,64.67,2563.35,14052.03,473.06,2593.28
448,9.94,373.24,2892.71,14078.62,533.85,2598.19
458,0.02,0.57,4.86,30.12,0.55,5.39
460,0.02,0.17,1.55,10.61,0.18,1.53
461,8.84,248.33,2621.6,13150.96,649.27,3256.98
467,304.99,0,5438.09,4920.6,0,8343.75
468,31.57,311.39,1403.03,8157.33,237.82,2270.18
470,32.33,43.02,1717.09,10985.17,429.58,2278.08
477,0,516.1,9672.04,10922.8,14.91,20.33
490,20.03,548.97,2492.4,13225.47,0,0
